Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material,Category
Walls,Basic Wall,LC02(E),Basic Wall,B2010100,Exterior Wall Construction,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC02(E),100MM THK. ALC PANEL WALL,,Precision Blockwall
Walls,Basic Wall,LC02(E),Basic Wall,B2010100,Exterior Wall Construction,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC02(E),100MM THK. ALC PANEL WALL,,Precision Blockwall
Walls,Basic Wall,LC02,Basic Wall,B2010100,Exterior Wall Construction,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC02,100MM THK. ALC PANEL WALL,,Precision Blockwall
Walls,Basic Wall,LC02,Basic Wall,B2010100,Exterior Wall Construction,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC02,100MM THK. ALC PANEL WALL,,Precision Blockwall
Walls,Basic Wall,LC01 (F) @ 15MMTHK FIN,Basic Wall,B2010100,Exterior Wall Construction,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC01 (F) @ 15MMTHK FIN,100MM THK. ALC PANEL WALL,,Precision Blockwall
Walls,Basic Wall,RC+1P,Basic Wall,B2010100,Exterior Wall Construction,350MM THK RC WALL,MCR17,RC+1P,Concrete - Cast In Situ,,Cast In-Situ RC Wall
Walls,Basic Wall,RC,Basic Wall,,,350MM THK RC WALL,MCR17,RC,Concrete - Cast In Situ,,Cast In-Situ RC Wall
Walls,Basic Wall,LC01(F),Basic Wall,,,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC01(F),100MM THK. ALC PANEL WALL,,Precision Blockwall
Walls,Basic Wall,LC01 (3.1),Basic Wall,,,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC01 (3.1),100MM THK. ALC PANEL WALL,,Precision Blockwall
Walls,Basic Wall,LC01+1HR,Basic Wall,,,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC01+1HR,100MM THK. ALC PANEL WALL,,Precision Blockwall
Walls,Basic Wall,LC01(F)/1HR,Basic Wall,,,600MMX100MMX200MM(H) AAC BLOCK WALL,.,LC01(F)/1HR,100MM THK. ALC PANEL WALL,,Precision Blockwall
Walls,Basic Wall,LC01(F)+3KB+1T-300x600 (H),Basic Wall,B2010,Exterior Walls,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC01(F)+3KB+1T-300x600 (H),100MM THK. ALC PANEL WALL,,Precision Blockwall
