Family,SubFamily,ObjectGroup,ObjectName,ObjectID,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material,Category
Walls,Basic Wall,TS_150mm Thk. PC Non-Structural Wall,Basic Wall,[3087524],,,,WALL : 150mm Thk. Precast Non-Structural Wall,(BS 3.2) Precast Concrete Wall with Skim Coat,TS_150mm Thk. PC Non-Structural Wall,TS_PC Wall,
Walls,Basic Wall,TS_150mm Thk. PC Non-Structural Wall,Basic Wall,[3087529],,,,WALL : 150mm Thk. Precast Non-Structural Wall,(BS 3.2) Precast Concrete Wall with Skim Coat,TS_150mm Thk. PC Non-Structural Wall,TS_PC Wall,
Walls,Basic Wall,TS_150mm Thk. PC Non-Structural Wall,Basic Wall,[3103143],,,,WALL : 150mm Thk. Precast Non-Structural Wall,(BS 3.2) Precast Concrete Wall with Skim Coat,TS_150mm Thk. PC Non-Structural Wall,TS_PC Wall,
Walls,Basic Wall,TS_150mm Thk. PC Non-Structural Wall,Basic Wall,[3103436],,,,WALL : 150mm Thk. Precast Non-Structural Wall,(BS 3.2) Precast Concrete Wall with Skim Coat,TS_150mm Thk. PC Non-Structural Wall,TS_PC Wall,
Walls,Basic Wall,TS_150mm Thk. PC Non-Structural Wall,Basic Wall,[3103672],,,,WALL : 150mm Thk. Precast Non-Structural Wall,(BS 3.2) Precast Concrete Wall with Skim Coat,TS_150mm Thk. PC Non-Structural Wall,TS_PC Wall,
Walls,Basic Wall,TS_150mm Thk. PC Non-Structural Wall,Basic Wall,[3104765],,,,WALL : 150mm Thk. Precast Non-Structural Wall,(BS 3.2) Precast Concrete Wall with Skim Coat,TS_150mm Thk. PC Non-Structural Wall,TS_PC Wall,
Walls,Basic Wall,TS_150mm Thk. PC Non-Structural Wall,Basic Wall,[3105650],,,,WALL : 150mm Thk. Precast Non-Structural Wall,(BS 3.2) Precast Concrete Wall with Skim Coat,TS_150mm Thk. PC Non-Structural Wall,TS_PC Wall,
Walls,Basic Wall,TS_150mm Thk. PC Non-Structural Wall,Basic Wall,[3105651],,,,WALL : 150mm Thk. Precast Non-Structural Wall,(BS 3.2) Precast Concrete Wall with Skim Coat,TS_150mm Thk. PC Non-Structural Wall,TS_PC Wall,
Walls,Basic Wall,TS_150mm Thk. PC Non-Structural Wall,Basic Wall,[3106166],,,,WALL : 150mm Thk. Precast Non-Structural Wall,(BS 3.2) Precast Concrete Wall with Skim Coat,TS_150mm Thk. PC Non-Structural Wall,TS_PC Wall,
Floors,Floor,TS_5mm Thk. Finish (FC-01),Floor,[88169146],,,FLOOR : Cement Screed with Monolithic Non-Metallic Hardener with Hardening and Dust-Proofing Compound,FF,TS_5mm Thk. Finish (FC-01),TS_FC-01,<By Category>,
