"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Walls","Basic Wall","LC02(E)","Basic Wall","[789364]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02(E)","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02(E)","Basic Wall","[789554]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02(E)","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02(E)","Basic Wall","[789588]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02(E)","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02(E)","Basic Wall","[789657]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02(E)","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02(E)","Basic Wall","[789721]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02(E)","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02(E)","Basic Wall","[811543]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02(E)","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02(E)","Basic Wall","[919856]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02(E)","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02(E)","Basic Wall","[919857]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02(E)","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02(E)","Basic Wall","[919858]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02(E)","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02(E)","Basic Wall","[920857]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02(E)","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02(E)","Basic Wall","[920894]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02(E)","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02(E)","Basic Wall","[924959]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02(E)","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02(E)","Basic Wall","[2223858]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02(E)","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02(E)","Basic Wall","[2225250]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02(E)","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02(E)","Basic Wall","[2225667]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02(E)","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02(E)","Basic Wall","[2226346]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02(E)","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02(E)","Basic Wall","[2226828]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02(E)","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02(E)","Basic Wall","[2229156]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02(E)","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02(E)","Basic Wall","[2229705]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02(E)","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02(E)","Basic Wall","[2656253]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02(E)","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02(E)","Basic Wall","[2659984]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02(E)","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02(E)","Basic Wall","[2660130]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02(E)","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02(E)","Basic Wall","[2661435]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02(E)","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02(E)","Basic Wall","[2661529]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02(E)","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02(E)","Basic Wall","[2661613]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02(E)","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02(E)","Basic Wall","[2661686]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02(E)","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02(E)","Basic Wall","[2663986]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02(E)","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02(E)","Basic Wall","[2762796]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02(E)","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02(E)","Basic Wall","[3219237]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02(E)","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02(E)","Basic Wall","[7324561]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02(E)","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02(E)","Basic Wall","[7324562]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02(E)","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02(E)","Basic Wall","[7325501]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02(E)","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02(E)","Basic Wall","[7325510]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02(E)","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02(E)","Basic Wall","[7325519]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02(E)","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02(E)","Basic Wall","[7332950]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02(E)","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02(E)","Basic Wall","[7332951]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02(E)","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02(E)","Basic Wall","[7332952]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02(E)","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02(E)","Basic Wall","[7332953]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02(E)","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02","Basic Wall","[789677]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02","Basic Wall","[789846]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02","Basic Wall","[920024]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02","Basic Wall","[2231542]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02","Basic Wall","[2277078]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02","Basic Wall","[2277335]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02","Basic Wall","[2277780]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02","Basic Wall","[2279015]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02","Basic Wall","[2279580]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02","Basic Wall","[2279945]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02","Basic Wall","[2280108]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02","Basic Wall","[2280405]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02","Basic Wall","[2280656]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02","Basic Wall","[2293203]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02","Basic Wall","[2293477]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02","Basic Wall","[2661260]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02","Basic Wall","[2951862]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02","Basic Wall","[3081871]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC02","Basic Wall","[3081979]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC02","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC01 (F) @ 15MMTHK FIN","Basic Wall","[814006]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC01 (F) @ 15MMTHK FIN","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC01 (F) @ 15MMTHK FIN","Basic Wall","[814007]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC01 (F) @ 15MMTHK FIN","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC01 (F) @ 15MMTHK FIN","Basic Wall","[814008]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC01 (F) @ 15MMTHK FIN","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","LC01 (F) @ 15MMTHK FIN","Basic Wall","[814009]","B2010100","Exterior Wall Construction","600MMX100MMX200MM(H) AAC BLOCK WALL","MCR17","LC01 (F) @ 15MMTHK FIN","100MM THK. ALC PANEL WALL",""
"Walls","Basic Wall","RC+1P","Basic Wall","[919851]","B2010100","Exterior Wall Construction","350MM THK RC WALL","MCR17","RC+1P","Concrete - Cast In Situ",""
"Walls","Basic Wall","RC+1P","Basic Wall","[919852]","B2010100","Exterior Wall Construction","350MM THK RC WALL","MCR17","RC+1P","Concrete - Cast In Situ",""
"Walls","Basic Wall","RC+1P","Basic Wall","[919853]","B2010100","Exterior Wall Construction","350MM THK RC WALL","MCR17","RC+1P","Concrete - Cast In Situ",""
