Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Plumbing Fixtures,,,JTC_M_InspectionChamber (900 x 700),,,,,,,
Plumbing Fixtures,,,JTC_M_WasteSump,,,,,,,
Plumbing Fixtures,,,IC,,,,,,,
Plumbing Fixtures,,,JTC_M_InspectionChamber (1350 x 700),,,,,,,
Plumbing Fixtures,M_Sink - Island - Single,455 mmx455 mm - Private,M_Sink - Island - Single,,,,,455 mmx455 mm - Private,,
Plumbing Fixtures,JTC_Bidet Spray2,BS Bidet Spray,JTC_Bidet Spray2,,,Bidet Spray,,BS Bidet Spray,,
Plumbing Fixtures,,,Gully Trap,,,,,,,
Plumbing Fixtures,,,MH,,,,,,,
Plumbing Fixtures,Floor_Trap Cover,Floor_Trap Cover,Floor_Trap Cover,,,,,Floor_Trap Cover,,
Plumbing Fixtures,Floor Waste 150,Floor Waste 75,Floor Waste 150,,,,,Floor Waste 75,,
Plumbing Fixtures,,,Gully Trap-coever,,,,,,,
Pipe Accessories,,,JTC_M_FloorWaste,,,,,,,
Pipe Accessories,,,JTC_M_FloorTrap,,,,,,,
Pipe Accessories,,,JTC_M_FloorTrap1,,,,,,,
Pipes,,,Pipe Types,,,,,,,
Pipe Fittings,,,M_Tee Reducing Sanitary - PVC - Sch 40 - DWV,,,,,,,
Pipe Fittings,,,M_Bend - PVC - Sch 40 - DWV,,,,,,,
Pipe Fittings,,,JTC_M_Bottle Trap,,,,,,,
Pipe Fittings,,,M_Transition - Generic,,,,,,,
Pipe Fittings,,,vent cowl,,,,,,,
Pipe Fittings,,,P&S_S-Trap-with vent,,,,,,,
Pipe Fittings,,,M_Reducer - PVC - Sch 40 - DWV,,,,,,,
Pipe Fittings,,,M_Bend - PVC - Sch 40 - DWV_Shorten,,,,,,,
Pipe Fittings,,,KP U-with U Side with out ven STD,,,,,,,
Pipe Fittings,,,M_Coupling - PVC - Sch 40 - DWV,,,,,,,
Pipe Fittings,,,M_Tee Sanitary - PVC - Sch 40 - DWV,,,,,,,
Pipe Fittings,,,SAN_Pipe Fittings_Tee Reducing Sanitary - PVC - Sch 40 - DWV,,,,,,,
Pipe Fittings,,,KP U-with U Side Vent VicPlas STD,,,,,,,
Pipe Fittings,,,M_Tee - PVC - Sch 40,,,,,,,
Pipe Fittings,,,M_Tee Double Sanitary - PVC - Sch 40 - DWV,,,,,,,
Pipe Fittings,,,M_Elbow - Generic,,,,,,,
Pipe Fittings,,,M_Tee Reducing Double Sanitary - PVC - Sch 40 - DWV,,,,,,,
