"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3232986]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3232990]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3232992]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3232994]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3232996]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3232998]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233000]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233002]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233004]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233006]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233008]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233010]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233012]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233014]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233016]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233018]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233020]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233022]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233024]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233026]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233028]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233030]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233032]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233040]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233042]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233044]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233046]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233048]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233050]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233280]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233282]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233284]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233286]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233288]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233290]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233292]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233294]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233296]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233300]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233302]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233304]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233522]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233526]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233528]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233530]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233532]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233534]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233536]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233538]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233540]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233542]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233544]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233546]","","","","","400 x 400mm","Concrete - Cast In Situ",""
"Structural Columns","M_Concrete-Rectangular-Column","400 x 400mm","M_Concrete-Rectangular-Column","[3233548]","","","","","400 x 400mm","Concrete - Cast In Situ",""
