"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Plumbing Fixtures","","","JTC_M_InspectionChamber (900 x 700)","[1060394]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (900 x 700)","[1060682]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (900 x 700)","[1815709]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (900 x 700)","[1817988]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (900 x 700)","[1824733]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (900 x 700)","[1835529]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (900 x 700)","[1835530]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (900 x 700)","[1835585]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (900 x 700)","[1836651]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (900 x 700)","[1836716]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (900 x 700)","[1836717]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (900 x 700)","[1836738]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (900 x 700)","[1836770]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (900 x 700)","[1837664]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (900 x 700)","[1837665]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (900 x 700)","[1837686]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (900 x 700)","[1837718]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (900 x 700)","[1839800]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (900 x 700)","[1840063]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (900 x 700)","[1841323]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (900 x 700)","[1841324]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (900 x 700)","[1841345]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (900 x 700)","[1841376]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (900 x 700)","[1841700]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (900 x 700)","[1841701]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (900 x 700)","[1841722]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (900 x 700)","[1864853]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (900 x 700)","[1871817]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (900 x 700)","[3069344]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (900 x 700)","[3078712]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (900 x 700)","[3626825]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (900 x 700)","[3631657]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (900 x 700)","[3632235]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (900 x 700)","[3635453]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (900 x 700)","[3640109]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (900 x 700)","[3641707]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (900 x 700)","[4655103]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (900 x 700)","[5712306]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_WasteSump","[1793871]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_WasteSump","[1816649]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_WasteSump","[1868106]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_WasteSump","[1872128]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_WasteSump","[1881303]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_WasteSump","[4824325]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_WasteSump","[4825208]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_WasteSump","[4825220]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_WasteSump","[4825344]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_WasteSump","[4825356]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_WasteSump","[4825408]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_WasteSump","[4825420]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_WasteSump","[4825437]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_WasteSump","[4825449]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_WasteSump","[4826590]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_WasteSump","[4827155]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_WasteSump","[4827190]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_WasteSump","[4827292]","","","","","","","",""
"Plumbing Fixtures","","","IC","[1817284]","","","","","","","",""
"Plumbing Fixtures","","","IC","[1835531]","","","","","","","",""
"Plumbing Fixtures","","","IC","[3621157]","","","","","","","",""
"Plumbing Fixtures","","","IC","[3633782]","","","","","","","",""
"Plumbing Fixtures","","","IC","[3634476]","","","","","","","",""
"Plumbing Fixtures","","","IC","[4652822]","","","","","","","",""
"Plumbing Fixtures","","","IC","[5772283]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (1350 x 700)","[1834711]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (1350 x 700)","[1835595]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (1350 x 700)","[1836780]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (1350 x 700)","[1838542]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (1350 x 700)","[1841511]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (1350 x 700)","[1864862]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (1350 x 700)","[3069345]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (1350 x 700)","[3079101]","","","","","","","",""
"Plumbing Fixtures","","","JTC_M_InspectionChamber (1350 x 700)","[3513223]","","","","","","","",""
"Plumbing Fixtures","M_Sink - Island - Single","455 mmx455 mm - Private","M_Sink - Island - Single","[2338460]","","","","","455 mmx455 mm - Private","",""
"Plumbing Fixtures","M_Sink - Island - Single","455 mmx455 mm - Private","M_Sink - Island - Single","[3657221]","","","","","455 mmx455 mm - Private","",""
"Plumbing Fixtures","M_Sink - Island - Single","455 mmx455 mm - Private","M_Sink - Island - Single","[3666504]","","","","","455 mmx455 mm - Private","",""
"Plumbing Fixtures","M_Sink - Island - Single","455 mmx455 mm - Private","M_Sink - Island - Single","[5202672]","","","","","455 mmx455 mm - Private","",""
"Plumbing Fixtures","M_Sink - Island - Single","455 mmx455 mm - Private","M_Sink - Island - Single","[5484310]","","","","","455 mmx455 mm - Private","",""
"Plumbing Fixtures","M_Sink - Island - Single","455 mmx455 mm - Private","M_Sink - Island - Single","[5484480]","","","","","455 mmx455 mm - Private","",""
"Plumbing Fixtures","M_Sink - Island - Single","455 mmx455 mm - Private","M_Sink - Island - Single","[5484645]","","","","","455 mmx455 mm - Private","",""
