"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Floors","Floor","Concrete Slab","Floor","[291848]","","","","","Concrete Slab","Concrete - Pre Cast",""
"Floors","Floor","Concrete Slab","Floor","[291861]","","","","","Concrete Slab","Concrete - Pre Cast",""
"Floors","Floor","Concrete Slab","Floor","[291907]","","","","","Concrete Slab","Concrete - Pre Cast",""
"Floors","Floor","Concrete Slab","Floor","[291920]","","","","","Concrete Slab","Concrete - Pre Cast",""
"Floors","Floor","Concrete Slab","Floor","[293321]","","","","","Concrete Slab","Concrete - Pre Cast",""
"Floors","Floor","Concrete Slab","Floor","[293360]","","","","","Concrete Slab","Concrete - Pre Cast",""
"Floors","Floor","Concrete Slab","Floor","[1382339]","","","","","Concrete Slab","Concrete - Pre Cast",""
"Floors","Floor","Concrete Slab","Floor","[1382365]","","","","","Concrete Slab","Concrete - Pre Cast",""
"Floors","Floor","Concrete Slab Toilet","Floor","[291878]","","","","","Concrete Slab Toilet","Concrete - Pre Cast",""
"Floors","Floor","Concrete Slab Toilet","Floor","[293338]","","","","","Concrete Slab Toilet","Concrete - Pre Cast",""
"Floors","Floor","Concrete Slab Toilet Modular","Floor","[1440664]","","","","","Concrete Slab Toilet Modular","Concrete - Cast In Situ",""
"Floors","Floor","Concrete Slab Toilet Modular","Floor","[1440690]","","","","","Concrete Slab Toilet Modular","Concrete - Cast In Situ",""
"Floors","Floor","Interior Stairs Slab","Floor","[2039270]","","","","","Interior Stairs Slab","Gray",""
"Floors","Floor","CONCRETE 100mm","Floor","[3912771]","","","","","CONCRETE 100mm","Concrete - Cast-in-Place Concrete",""
"Floors","Floor","CONCRETE 100mm","Floor","[3953959]","","","","","CONCRETE 100mm","Concrete - Cast-in-Place Concrete",""
"Floors","Precast Slanted @ window","Precast Slanted @ window","Precast Slanted @ window","[3915268]","","","","","Precast Slanted @ window","<By Category>",""
"Columns","Rectangular","900 x 900mm","Rectangular","[352132]","","","","","900 x 900mm","","Pre Cast Concrete Coloumn"
"Columns","Rectangular","900 x 900mm","Rectangular","[352142]","","","","","900 x 900mm","","Pre Cast Concrete Coloumn"
"Columns","Rectangular","900 x 900mm","Rectangular","[352156]","","","","","900 x 900mm","","Pre Cast Concrete Coloumn"
"Columns","Rectangular","900 x 900mm","Rectangular","[352170]","","","","","900 x 900mm","","Pre Cast Concrete Coloumn"
"Columns","Rectangular","900 x 900mm","Rectangular","[352184]","","","","","900 x 900mm","","Pre Cast Concrete Coloumn"
"Columns","Rectangular","900 x 900mm","Rectangular","[352194]","","","","","900 x 900mm","","Pre Cast Concrete Coloumn"
"Columns","Rectangular","900 x 900mm","Rectangular","[357316]","","","","","900 x 900mm","","Pre Cast Concrete Coloumn"
"Columns","Rectangular","900 x 900mm","Rectangular","[357317]","","","","","900 x 900mm","","Pre Cast Concrete Coloumn"
"Columns","Rectangular","900 x 900mm","Rectangular","[357318]","","","","","900 x 900mm","","Pre Cast Concrete Coloumn"
"Columns","Rectangular","900 x 900mm","Rectangular","[357319]","","","","","900 x 900mm","","Pre Cast Concrete Coloumn"
"Columns","Rectangular","900 x 900mm","Rectangular","[357320]","","","","","900 x 900mm","","Pre Cast Concrete Coloumn"
"Columns","Rectangular","900 x 900mm","Rectangular","[357321]","","","","","900 x 900mm","","Pre Cast Concrete Coloumn"
"Columns","Rectangular","900 x 900mm","Rectangular","[413402]","","","","","900 x 900mm","","Pre Cast Concrete Coloumn"
"Columns","Rectangular","900 x 900mm","Rectangular","[413403]","","","","","900 x 900mm","","Pre Cast Concrete Coloumn"
"Columns","Rectangular","900 x 900mm","Rectangular","[413404]","","","","","900 x 900mm","","Pre Cast Concrete Coloumn"
"Columns","Rectangular","900 x 900mm","Rectangular","[413405]","","","","","900 x 900mm","","Pre Cast Concrete Coloumn"
"Columns","Rectangular","900 x 900mm","Rectangular","[413406]","","","","","900 x 900mm","","Pre Cast Concrete Coloumn"
"Columns","Rectangular","900 x 900mm","Rectangular","[413407]","","","","","900 x 900mm","","Pre Cast Concrete Coloumn"
"Columns","Rectangular","900 x 900mm","Rectangular","[413479]","","","","","900 x 900mm","","Pre Cast Concrete Coloumn"
"Columns","Rectangular","900 x 900mm","Rectangular","[413480]","","","","","900 x 900mm","","Pre Cast Concrete Coloumn"
"Columns","Rectangular","900 x 900mm","Rectangular","[413481]","","","","","900 x 900mm","","Pre Cast Concrete Coloumn"
"Columns","Rectangular","900 x 900mm","Rectangular","[413482]","","","","","900 x 900mm","","Pre Cast Concrete Coloumn"
"Columns","Rectangular","900 x 900mm","Rectangular","[413483]","","","","","900 x 900mm","","Pre Cast Concrete Coloumn"
"Columns","Rectangular","900 x 900mm","Rectangular","[413484]","","","","","900 x 900mm","","Pre Cast Concrete Coloumn"
"Columns","Rectangular","800 x 800mm","Rectangular","[353091]","","","","","800 x 800mm","","Pre Cast Concrete Coloumn"
"Columns","Rectangular","800 x 800mm","Rectangular","[353105]","","","","","800 x 800mm","","Pre Cast Concrete Coloumn"
"Columns","Rectangular","800 x 800mm","Rectangular","[353117]","","","","","800 x 800mm","","Pre Cast Concrete Coloumn"
"Columns","Rectangular","800 x 800mm","Rectangular","[367872]","","","","","800 x 800mm","","Pre Cast Concrete Coloumn"
"Columns","Rectangular","800 x 800mm","Rectangular","[367892]","","","","","800 x 800mm","","Pre Cast Concrete Coloumn"
"Columns","Rectangular","800 x 800mm","Rectangular","[367910]","","","","","800 x 800mm","","Pre Cast Concrete Coloumn"
"Columns","Rectangular","400 x 400mm","Rectangular","[4549523]","","","","","400 x 400mm","","Pre Cast Concrete Coloumn"
"Columns","Rectangular","400 x 400mm","Rectangular","[4549537]","","","","","400 x 400mm","","Pre Cast Concrete Coloumn"
"Columns","Rectangular","400 x 400mm","Rectangular","[4549649]","","","","","400 x 400mm","","Pre Cast Concrete Coloumn"
"Columns","Rectangular","400 x 400mm","Rectangular","[4549650]","","","","","400 x 400mm","","Pre Cast Concrete Coloumn"
"Columns","Rectangular","400 x 400mm","Rectangular","[4549659]","","","","","400 x 400mm","","Pre Cast Concrete Coloumn"
"Columns","Rectangular","400 x 400mm","Rectangular","[4549660]","","","","","400 x 400mm","","Pre Cast Concrete Coloumn"
"Columns","Rectangular","400 x 400mm","Rectangular","[4549669]","","","","","400 x 400mm","","Pre Cast Concrete Coloumn"
"Columns","Rectangular","400 x 400mm","Rectangular","[4549670]","","","","","400 x 400mm","","Pre Cast Concrete Coloumn"
"Roofs","","","Basic Roof","[969140]","","","","","","","",""
"Roofs","","","Basic Roof","[969311]","","","","","","","",""
"Walls","Basic Wall","External Pre-Cast Concrete 100mm","Basic Wall","[3512931]","","","","","External Pre-Cast Concrete 100mm","Concrete - Pre Cast",""
"Walls","Basic Wall","External Pre-Cast Concrete 100mm","Basic Wall","[3514162]","","","","","External Pre-Cast Concrete 100mm","Concrete - Pre Cast",""
"Walls","Basic Wall","External Pre-Cast Concrete 100mm","Basic Wall","[3515300]","","","","","External Pre-Cast Concrete 100mm","Concrete - Pre Cast",""
"Walls","Basic Wall","External Pre-Cast Concrete 100mm","Basic Wall","[3516472]","","","","","External Pre-Cast Concrete 100mm","Concrete - Pre Cast",""
"Walls","Basic Wall","External Pre-Cast Concrete 100mm","Basic Wall","[3516496]","","","","","External Pre-Cast Concrete 100mm","Concrete - Pre Cast",""
"Walls","Basic Wall","Exterior Canopy","Basic Wall","[1573295]","","","","","Exterior Canopy","Cladding - Vertical Ribbed",""
"Walls","Basic Wall","Exterior Canopy","Basic Wall","[1573446]","","","","","Exterior Canopy","Cladding - Vertical Ribbed",""
"Walls","Basic Wall","Exterior Canopy","Basic Wall","[1573468]","","","","","Exterior Canopy","Cladding - Vertical Ribbed",""
"Walls","Basic Wall","Internal_RC_225mm","Basic Wall","[3511750]","","","","","Internal_RC_225mm","Wall_Concrete",""
"Walls","Basic Wall","Internal_RC_225mm","Basic Wall","[3511751]","","","","","Internal_RC_225mm","Wall_Concrete",""
"Walls","Basic Wall","Internal_RC_225mm","Basic Wall","[3511752]","","","","","Internal_RC_225mm","Wall_Concrete",""
"Walls","Basic Wall","Internal_RC_225mm","Basic Wall","[3511753]","","","","","Internal_RC_225mm","Wall_Concrete",""
"Walls","Basic Wall","Internal_RC_225mm","Basic Wall","[3511754]","","","","","Internal_RC_225mm","Wall_Concrete",""
"Walls","Basic Wall","Internal_RC_225mm","Basic Wall","[3511755]","","","","","Internal_RC_225mm","Wall_Concrete",""
"Walls","Basic Wall","Internal_RC_225mm","Basic Wall","[3511756]","","","","","Internal_RC_225mm","Wall_Concrete",""
"Walls","Basic Wall","Internal_RC_225mm","Basic Wall","[3511757]","","","","","Internal_RC_225mm","Wall_Concrete",""
"Walls","Basic Wall","Internal_RC_225mm","Basic Wall","[3511758]","","","","","Internal_RC_225mm","Wall_Concrete",""
"Walls","Basic Wall","Internal_RC_225mm","Basic Wall","[3511759]","","","","","Internal_RC_225mm","Wall_Concrete",""
"Walls","Basic Wall","Internal_RC_225mm","Basic Wall","[3511760]","","","","","Internal_RC_225mm","Wall_Concrete",""
"Walls","Basic Wall","Internal_RC_225mm","Basic Wall","[3511761]","","","","","Internal_RC_225mm","Wall_Concrete",""
"Walls","Basic Wall","Internal_RC_225mm","Basic Wall","[3511762]","","","","","Internal_RC_225mm","Wall_Concrete",""
"Walls","Basic Wall","Internal_RC_225mm","Basic Wall","[3511763]","","","","","Internal_RC_225mm","Wall_Concrete",""
"Walls","Basic Wall","Internal_RC_225mm","Basic Wall","[3511765]","","","","","Internal_RC_225mm","Wall_Concrete",""
"Walls","Basic Wall","Internal_RC_225mm","Basic Wall","[3511766]","","","","","Internal_RC_225mm","Wall_Concrete",""
"Walls","Basic Wall","Internal_RC_225mm","Basic Wall","[3511768]","","","","","Internal_RC_225mm","Wall_Concrete",""
"Walls","Basic Wall","Internal_RC_225mm","Basic Wall","[3511769]","","","","","Internal_RC_225mm","Wall_Concrete",""
"Walls","Basic Wall","Internal_RC_225mm","Basic Wall","[3511770]","","","","","Internal_RC_225mm","Wall_Concrete",""
"Walls","Basic Wall","Internal_RC_225mm","Basic Wall","[3512380]","","","","","Internal_RC_225mm","Wall_Concrete",""
"Walls","Basic Wall","Internal_RC_225mm","Basic Wall","[3512381]","","","","","Internal_RC_225mm","Wall_Concrete",""
"Walls","Basic Wall","Internal_RC_225mm","Basic Wall","[3512382]","","","","","Internal_RC_225mm","Wall_Concrete",""
"Walls","Basic Wall","Internal_RC_225mm","Basic Wall","[3512383]","","","","","Internal_RC_225mm","Wall_Concrete",""
"Walls","Basic Wall","Internal_RC_225mm","Basic Wall","[3512384]","","","","","Internal_RC_225mm","Wall_Concrete",""
"Walls","Basic Wall","Internal_RC_225mm","Basic Wall","[3512385]","","","","","Internal_RC_225mm","Wall_Concrete",""
"Walls","Basic Wall","Internal_RC_225mm","Basic Wall","[3512386]","","","","","Internal_RC_225mm","Wall_Concrete",""
"Walls","Basic Wall","Internal_RC_225mm","Basic Wall","[3514169]","","","","","Internal_RC_225mm","Wall_Concrete",""
"Walls","Basic Wall","Internal_RC_225mm","Basic Wall","[3514170]","","","","","Internal_RC_225mm","Wall_Concrete",""
"Walls","Basic Wall","Internal Pre-Cast Concrete 100mm","Basic Wall","[3511827]","","","","","Internal Pre-Cast Concrete 100mm","Concrete - Pre Cast",""
"Walls","Basic Wall","Internal Pre-Cast Concrete 100mm","Basic Wall","[3511828]","","","","","Internal Pre-Cast Concrete 100mm","Concrete - Pre Cast",""
"Walls","Basic Wall","Internal Pre-Cast Concrete 100mm","Basic Wall","[3511829]","","","","","Internal Pre-Cast Concrete 100mm","Concrete - Pre Cast",""
"Walls","Basic Wall","Internal Pre-Cast Concrete 100mm","Basic Wall","[3511830]","","","","","Internal Pre-Cast Concrete 100mm","Concrete - Pre Cast",""
"Walls","Basic Wall","Internal Pre-Cast Concrete 100mm","Basic Wall","[3511833]","","","","","Internal Pre-Cast Concrete 100mm","Concrete - Pre Cast",""
"Walls","Basic Wall","Internal Pre-Cast Concrete 100mm","Basic Wall","[3511834]","","","","","Internal Pre-Cast Concrete 100mm","Concrete - Pre Cast",""
"Walls","Basic Wall","Internal Pre-Cast Concrete 100mm","Basic Wall","[3511835]","","","","","Internal Pre-Cast Concrete 100mm","Concrete - Pre Cast",""
"Walls","Basic Wall","Internal Pre-Cast Concrete 100mm","Basic Wall","[3511836]","","","","","Internal Pre-Cast Concrete 100mm","Concrete - Pre Cast",""
"Walls","Basic Wall","Internal Pre-Cast Concrete 100mm","Basic Wall","[3511837]","","","","","Internal Pre-Cast Concrete 100mm","Concrete - Pre Cast",""
"Walls","Basic Wall","Internal Pre-Cast Concrete 100mm","Basic Wall","[3511838]","","","","","Internal Pre-Cast Concrete 100mm","Concrete - Pre Cast",""
"Walls","Basic Wall","Internal Pre-Cast Concrete 100mm","Basic Wall","[3511839]","","","","","Internal Pre-Cast Concrete 100mm","Concrete - Pre Cast",""
"Walls","Basic Wall","Internal Pre-Cast Concrete 100mm","Basic Wall","[3511840]","","","","","Internal Pre-Cast Concrete 100mm","Concrete - Pre Cast",""
"Walls","Basic Wall","Internal Pre-Cast Concrete 100mm","Basic Wall","[3511841]","","","","","Internal Pre-Cast Concrete 100mm","Concrete - Pre Cast",""
"Walls","Basic Wall","Internal Pre-Cast Concrete 100mm","Basic Wall","[3511842]","","","","","Internal Pre-Cast Concrete 100mm","Concrete - Pre Cast",""
"Walls","Basic Wall","Internal Pre-Cast Concrete 100mm","Basic Wall","[3511843]","","","","","Internal Pre-Cast Concrete 100mm","Concrete - Pre Cast",""
"Walls","Basic Wall","Internal Pre-Cast Concrete 100mm","Basic Wall","[3511844]","","","","","Internal Pre-Cast Concrete 100mm","Concrete - Pre Cast",""
"Walls","Basic Wall","Internal Pre-Cast Concrete 100mm","Basic Wall","[3511845]","","","","","Internal Pre-Cast Concrete 100mm","Concrete - Pre Cast",""
"Walls","Basic Wall","Internal Pre-Cast Concrete 100mm","Basic Wall","[3511846]","","","","","Internal Pre-Cast Concrete 100mm","Concrete - Pre Cast",""
"Walls","Basic Wall","Internal Pre-Cast Concrete 100mm","Basic Wall","[3511847]","","","","","Internal Pre-Cast Concrete 100mm","Concrete - Pre Cast",""
"Walls","Basic Wall","Internal Pre-Cast Concrete 100mm","Basic Wall","[3511848]","","","","","Internal Pre-Cast Concrete 100mm","Concrete - Pre Cast",""
"Walls","Basic Wall","Internal Pre-Cast Concrete 100mm","Basic Wall","[3511849]","","","","","Internal Pre-Cast Concrete 100mm","Concrete - Pre Cast",""
"Walls","Basic Wall","Internal Pre-Cast Concrete 100mm","Basic Wall","[3511850]","","","","","Internal Pre-Cast Concrete 100mm","Concrete - Pre Cast",""
"Walls","Basic Wall","Internal Pre-Cast Concrete 100mm","Basic Wall","[3511851]","","","","","Internal Pre-Cast Concrete 100mm","Concrete - Pre Cast",""
"Walls","Basic Wall","Internal Pre-Cast Concrete 100mm","Basic Wall","[3511852]","","","","","Internal Pre-Cast Concrete 100mm","Concrete - Pre Cast",""
"Walls","Basic Wall","Internal Pre-Cast Concrete 100mm","Basic Wall","[3517186]","","","","","Internal Pre-Cast Concrete 100mm","Concrete - Pre Cast",""
"Walls","Basic Wall","Internal Pre-Cast Concrete 100mm","Basic Wall","[3517190]","","","","","Internal Pre-Cast Concrete 100mm","Concrete - Pre Cast",""
"Walls","Basic Wall","Precast Wall 100mm","Basic Wall","[3512119]","","","","","Precast Wall 100mm","Concrete - Precast Concrete",""
"Walls","Basic Wall","Precast Wall 100mm","Basic Wall","[3512120]","","","","","Precast Wall 100mm","Concrete - Precast Concrete",""
"Walls","Basic Wall","Precast Wall 100mm","Basic Wall","[3512121]","","","","","Precast Wall 100mm","Concrete - Precast Concrete",""
"Walls","Basic Wall","Precast Wall 100mm","Basic Wall","[3512122]","","","","","Precast Wall 100mm","Concrete - Precast Concrete",""
"Walls","Basic Wall","Precast Wall 100mm","Basic Wall","[3512123]","","","","","Precast Wall 100mm","Concrete - Precast Concrete",""
"Walls","Basic Wall","Precast Wall 100mm","Basic Wall","[3512124]","","","","","Precast Wall 100mm","Concrete - Precast Concrete",""
"Walls","Basic Wall","Precast Wall 100mm","Basic Wall","[3512125]","","","","","Precast Wall 100mm","Concrete - Precast Concrete",""
"Walls","Basic Wall","Precast Wall 100mm","Basic Wall","[3512126]","","","","","Precast Wall 100mm","Concrete - Precast Concrete",""
"Walls","Basic Wall","Precast Wall 100mm","Basic Wall","[3512127]","","","","","Precast Wall 100mm","Concrete - Precast Concrete",""
"Walls","Basic Wall","Precast Wall 100mm","Basic Wall","[3512128]","","","","","Precast Wall 100mm","Concrete - Precast Concrete",""
"Walls","Basic Wall","Precast Wall 100mm","Basic Wall","[3512129]","","","","","Precast Wall 100mm","Concrete - Precast Concrete",""
"Walls","Basic Wall","Precast Wall 100mm","Basic Wall","[3512130]","","","","","Precast Wall 100mm","Concrete - Precast Concrete",""
"Walls","Basic Wall","Precast Wall 100mm","Basic Wall","[3512131]","","","","","Precast Wall 100mm","Concrete - Precast Concrete",""
"Walls","Basic Wall","Precast Wall 100mm","Basic Wall","[3512132]","","","","","Precast Wall 100mm","Concrete - Precast Concrete",""
"Walls","Basic Wall","Precast Wall 100mm","Basic Wall","[3512133]","","","","","Precast Wall 100mm","Concrete - Precast Concrete",""
"Walls","Basic Wall","Precast Wall 100mm","Basic Wall","[3512134]","","","","","Precast Wall 100mm","Concrete - Precast Concrete",""
"Walls","Basic Wall","Precast Wall 100mm","Basic Wall","[3512135]","","","","","Precast Wall 100mm","Concrete - Precast Concrete",""
"Walls","Basic Wall","Precast Wall 100mm","Basic Wall","[3512136]","","","","","Precast Wall 100mm","Concrete - Precast Concrete",""
"Walls","Basic Wall","Precast Wall 100mm","Basic Wall","[3512137]","","","","","Precast Wall 100mm","Concrete - Precast Concrete",""
"Walls","Basic Wall","Precast Wall 100mm","Basic Wall","[3512138]","","","","","Precast Wall 100mm","Concrete - Precast Concrete",""
"Walls","Basic Wall","Precast Wall 100mm","Basic Wall","[3512139]","","","","","Precast Wall 100mm","Concrete - Precast Concrete",""
"Walls","Basic Wall","Precast Wall 100mm","Basic Wall","[3512148]","","","","","Precast Wall 100mm","Concrete - Precast Concrete",""
"Walls","Basic Wall","Precast Wall 100mm","Basic Wall","[3512366]","","","","","Precast Wall 100mm","Concrete - Precast Concrete",""
"Walls","Basic Wall","Precast Wall 100mm","Basic Wall","[3512368]","","","","","Precast Wall 100mm","Concrete - Precast Concrete",""
"Walls","Basic Wall","Precast Wall 100mm","Basic Wall","[3512369]","","","","","Precast Wall 100mm","Concrete - Precast Concrete",""
"Walls","Basic Wall","Precast Wall 100mm","Basic Wall","[3512813]","","","","","Precast Wall 100mm","Concrete - Precast Concrete",""
"Walls","Basic Wall","Precast Wall 100mm","Basic Wall","[3512814]","","","","","Precast Wall 100mm","Concrete - Precast Concrete",""
"Walls","Basic Wall","Precast Wall 100mm","Basic Wall","[3512815]","","","","","Precast Wall 100mm","Concrete - Precast Concrete",""
"Walls","Basic Wall","Precast Wall 100mm","Basic Wall","[3512816]","","","","","Precast Wall 100mm","Concrete - Precast Concrete",""
"Walls","Basic Wall","Precast Wall 100mm","Basic Wall","[3514013]","","","","","Precast Wall 100mm","Concrete - Precast Concrete",""
"Walls","Basic Wall","Precast Wall 100mm","Basic Wall","[3518353]","","","","","Precast Wall 100mm","Concrete - Precast Concrete",""
"Walls","Basic Wall","Precast Wall 100mm","Basic Wall","[3518354]","","","","","Precast Wall 100mm","Concrete - Precast Concrete",""
"Walls","Basic Wall","Precast Wall 100mm","Basic Wall","[4179889]","","","","","Precast Wall 100mm","Concrete - Precast Concrete",""
"Walls","Basic Wall","External Pre Cast Concrete Wall 150mm","Basic Wall","[3512339]","","","","","External Pre Cast Concrete Wall 150mm","<By Category>",""
"Walls","Basic Wall","External Pre Cast Concrete Wall 150mm","Basic Wall","[3512340]","","","","","External Pre Cast Concrete Wall 150mm","<By Category>",""
"Walls","Basic Wall","External Pre Cast Concrete Wall 150mm","Basic Wall","[3512341]","","","","","External Pre Cast Concrete Wall 150mm","<By Category>",""
"Walls","Basic Wall","External Pre Cast Concrete Wall 150mm","Basic Wall","[3512343]","","","","","External Pre Cast Concrete Wall 150mm","<By Category>",""
"Walls","Basic Wall","External Pre Cast Concrete Wall 150mm","Basic Wall","[3512344]","","","","","External Pre Cast Concrete Wall 150mm","<By Category>",""
"Walls","Basic Wall","External Pre Cast Concrete Wall 150mm","Basic Wall","[3512753]","","","","","External Pre Cast Concrete Wall 150mm","<By Category>",""
"Walls","Basic Wall","External Pre Cast Concrete Wall 150mm","Basic Wall","[3512754]","","","","","External Pre Cast Concrete Wall 150mm","<By Category>",""
"Walls","Basic Wall","External Pre Cast Concrete Wall 150mm","Basic Wall","[3512755]","","","","","External Pre Cast Concrete Wall 150mm","<By Category>",""
"Walls","Basic Wall","External Pre Cast Concrete Wall 150mm","Basic Wall","[3512756]","","","","","External Pre Cast Concrete Wall 150mm","<By Category>",""
"Walls","Basic Wall","External Pre Cast Concrete Wall 150mm","Basic Wall","[3512757]","","","","","External Pre Cast Concrete Wall 150mm","<By Category>",""
"Walls","Basic Wall","External Pre Cast Concrete Wall 150mm","Basic Wall","[3512758]","","","","","External Pre Cast Concrete Wall 150mm","<By Category>",""
"Walls","Basic Wall","External Pre Cast Concrete Wall 150mm","Basic Wall","[3512799]","","","","","External Pre Cast Concrete Wall 150mm","<By Category>",""
"Walls","Basic Wall","External Pre Cast Concrete Wall 150mm","Basic Wall","[3512800]","","","","","External Pre Cast Concrete Wall 150mm","<By Category>",""
"Walls","Basic Wall","External Pre Cast Concrete Wall 150mm","Basic Wall","[3512806]","","","","","External Pre Cast Concrete Wall 150mm","<By Category>",""
"Walls","Basic Wall","External Pre Cast Concrete Wall 150mm","Basic Wall","[3512825]","","","","","External Pre Cast Concrete Wall 150mm","<By Category>",""
"Walls","Basic Wall","External Pre Cast Concrete Wall 150mm","Basic Wall","[3512826]","","","","","External Pre Cast Concrete Wall 150mm","<By Category>",""
"Walls","Basic Wall","External Pre Cast Concrete Wall 150mm","Basic Wall","[3512930]","","","","","External Pre Cast Concrete Wall 150mm","<By Category>",""
"Walls","Basic Wall","External Pre Cast Concrete Wall 150mm","Basic Wall","[3512932]","","","","","External Pre Cast Concrete Wall 150mm","<By Category>",""
"Walls","Basic Wall","External Pre Cast Concrete Wall 150mm","Basic Wall","[3512933]","","","","","External Pre Cast Concrete Wall 150mm","<By Category>",""
"Walls","Basic Wall","External Pre Cast Concrete Wall 150mm","Basic Wall","[3514293]","","","","","External Pre Cast Concrete Wall 150mm","<By Category>",""
"Walls","Basic Wall","External Pre Cast Concrete Wall 150mm","Basic Wall","[3514298]","","","","","External Pre Cast Concrete Wall 150mm","<By Category>",""
"Walls","Basic Wall","External Pre Cast Concrete Wall 150mm","Basic Wall","[3514299]","","","","","External Pre Cast Concrete Wall 150mm","<By Category>",""
"Walls","Basic Wall","External Pre Cast Concrete Wall 150mm","Basic Wall","[3514300]","","","","","External Pre Cast Concrete Wall 150mm","<By Category>",""
"Walls","Basic Wall","External Pre Cast Concrete Wall 150mm","Basic Wall","[3514301]","","","","","External Pre Cast Concrete Wall 150mm","<By Category>",""
"Walls","Basic Wall","External Pre Cast Concrete Wall 150mm","Basic Wall","[3514303]","","","","","External Pre Cast Concrete Wall 150mm","<By Category>",""
"Walls","Basic Wall","External Pre Cast Concrete Wall 150mm","Basic Wall","[3514318]","","","","","External Pre Cast Concrete Wall 150mm","<By Category>",""
"Walls","Basic Wall","External Pre Cast Concrete Wall 150mm","Basic Wall","[3516478]","","","","","External Pre Cast Concrete Wall 150mm","<By Category>",""
"Walls","Basic Wall","Stacked Wall To Be Excluded 300mm","Basic Wall","[3514081]","","","","","Stacked Wall To Be Excluded 300mm","Concrete - Precast Concrete",""
"Walls","Basic Wall","Stacked Wall To Be Excluded 300mm","Basic Wall","[3514087]","","","","","Stacked Wall To Be Excluded 300mm","Concrete - Precast Concrete",""
"Walls","Basic Wall","Stacked Wall To Be Excluded 300mm","Basic Wall","[3514115]","","","","","Stacked Wall To Be Excluded 300mm","Concrete - Precast Concrete",""
"Walls","Basic Wall","Stacked Wall To Be Excluded 300mm","Basic Wall","[3514122]","","","","","Stacked Wall To Be Excluded 300mm","Concrete - Precast Concrete",""
"Walls","Basic Wall","Stacked Wall To Be Excluded 300mm","Basic Wall","[3514399]","","","","","Stacked Wall To Be Excluded 300mm","Concrete - Precast Concrete",""
"Walls","Basic Wall","Stack Wall Reinforce Concrete 150mm","Basic Wall","[3514644]","","","","","Stack Wall Reinforce Concrete 150mm","<By Category>",""
"Walls","Basic Wall","Stack Wall Reinforce Concrete 150mm","Basic Wall","[3514648]","","","","","Stack Wall Reinforce Concrete 150mm","<By Category>",""
"Walls","Basic Wall","Stack Wall Reinforce Concrete 150mm","Basic Wall","[3514653]","","","","","Stack Wall Reinforce Concrete 150mm","<By Category>",""
"Walls","Basic Wall","Stack Wall Reinforce Concrete 150mm","Basic Wall","[3514659]","","","","","Stack Wall Reinforce Concrete 150mm","<By Category>",""
"Walls","Basic Wall","Stack Wall Reinforce Concrete 150mm","Basic Wall","[3514663]","","","","","Stack Wall Reinforce Concrete 150mm","<By Category>",""
"Walls","Basic Wall","Stack Wall Reinforce Concrete 150mm","Basic Wall","[3514728]","","","","","Stack Wall Reinforce Concrete 150mm","<By Category>",""
"Walls","Basic Wall","Stack Wall Reinforce Concrete 150mm","Basic Wall","[3514733]","","","","","Stack Wall Reinforce Concrete 150mm","<By Category>",""
"Walls","Basic Wall","Stack Wall Reinforce Concrete 150mm","Basic Wall","[3514738]","","","","","Stack Wall Reinforce Concrete 150mm","<By Category>",""
"Walls","Basic Wall","Stack Wall Reinforce Concrete 150mm","Basic Wall","[3514743]","","","","","Stack Wall Reinforce Concrete 150mm","<By Category>",""
"Walls","Basic Wall","Stack Wall Reinforce Concrete 150mm","Basic Wall","[3515086]","","","","","Stack Wall Reinforce Concrete 150mm","<By Category>",""
"Walls","Basic Wall","Stack Wall Reinforce Concrete 150mm","Basic Wall","[3515091]","","","","","Stack Wall Reinforce Concrete 150mm","<By Category>",""
"Walls","Basic Wall","Stack Wall Reinforce Concrete 150mm","Basic Wall","[3515096]","","","","","Stack Wall Reinforce Concrete 150mm","<By Category>",""
