"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Floors","Floor","Internal Road (Tarmac)","Floor","[789241]","","","","","Internal Road (Tarmac)","Tarmac Road",""
"Floors","Floor","Internal Road (Tarmac)","Floor","[791933]","","","","","Internal Road (Tarmac)","Tarmac Road",""
"Floors","Floor","Internal Road (Tarmac)","Floor","[794465]","","","","","Internal Road (Tarmac)","Tarmac Road",""
"Floors","Floor","Internal Road (Tarmac)","Floor","[3771703]","","","","","Internal Road (Tarmac)","Tarmac Road",""
"Floors","Floor","Internal Road (Tarmac)","Floor","[5653267]","","","","","Internal Road (Tarmac)","Tarmac Road",""
"Floors","Floor","Internal Road (Tarmac)","Floor","[5653476]","","","","","Internal Road (Tarmac)","Tarmac Road",""
"Floors","Floor","Internal Road (Tarmac)","Floor","[5653540]","","","","","Internal Road (Tarmac)","Tarmac Road",""
"Floors","Floor","Internal Road (Tarmac)","Floor","[5653627]","","","","","Internal Road (Tarmac)","Tarmac Road",""
"Floors","Floor","Turfing","Floor","[803002]","","","","","Turfing","<By Category>",""
"Floors","Floor","Turfing","Floor","[803742]","","","","","Turfing","<By Category>",""
"Floors","Floor","Turfing","Floor","[5652766]","","","","","Turfing","<By Category>",""
"Floors","Floor","Turfing","Floor","[5652910]","","","","","Turfing","<By Category>",""
"Floors","Floor","Turfing","Floor","[5737934]","","","","","Turfing","<By Category>",""
"Floors","Floor","Footpath (Concrete Screed)","Floor","[3432995]","","","","","Footpath (Concrete Screed)","Concrete - Cast In Situ",""
"Floors","Floor","Footpath (Concrete Screed)","Floor","[5652762]","","","","","Footpath (Concrete Screed)","Concrete - Cast In Situ",""
"Floors","Floor","Footpath (Concrete Screed)","Floor","[5652898]","","","","","Footpath (Concrete Screed)","Concrete - Cast In Situ",""
"Floors","Floor","K2 Kerb (Concrete Screed)","Floor","[5662901]","","","","","K2 Kerb (Concrete Screed)","Concrete - Cast In Situ",""
"Floors","Floor","K2 Kerb (Concrete Screed)","Floor","[5663114]","","","","","K2 Kerb (Concrete Screed)","Concrete - Cast In Situ",""
"Floors","Floor","K2 Kerb (Concrete Screed)","Floor","[5680345]","","","","","K2 Kerb (Concrete Screed)","Concrete - Cast In Situ",""
"Floors","Floor","K2 Kerb (Concrete Screed)","Floor","[5692293]","","","","","K2 Kerb (Concrete Screed)","Concrete - Cast In Situ",""
"Floors","Floor","K2 Kerb (Concrete Screed)","Floor","[5737769]","","","","","K2 Kerb (Concrete Screed)","Concrete - Cast In Situ",""
"Floors","Floor","Footpath (Concrete Screed)_150mm","Floor","[5663377]","","","","","Footpath (Concrete Screed)_150mm","Concrete - Cast In Situ",""
"Floors","Floor","Footpath (Concrete Screed)_150mm","Floor","[5663421]","","","","","Footpath (Concrete Screed)_150mm","Concrete - Cast In Situ",""
"Floors","Floor","Footpath (Concrete Screed)_150mm","Floor","[5663477]","","","","","Footpath (Concrete Screed)_150mm","Concrete - Cast In Situ",""
"Floors","Floor","Internal Road (Tarmac) 2","Floor","[5736753]","","","","","Internal Road (Tarmac) 2","Tarmac Road",""
"Floors","Floor","Footpath (Concrete Screed) 2","Floor","[5738060]","","","","","Footpath (Concrete Screed) 2","Concrete - Cast In Situ",""
"Floors","Floor","Footpath (Concrete Screed) 2","Floor","[5738292]","","","","","Footpath (Concrete Screed) 2","Concrete - Cast In Situ",""
"Generic Models","","","Straight On Arrow","[1891754]","","","","","","","",""
"Generic Models","","","Straight On Arrow","[1892142]","","","","","","","",""
"Generic Models","","","Straight On Arrow","[1892210]","","","","","","","",""
"Generic Models","","","Straight On Arrow","[1892211]","","","","","","","",""
"Generic Models","","","Straight On Arrow","[1892287]","","","","","","","",""
"Generic Models","","","Straight On Arrow","[1892347]","","","","","","","",""
"Generic Models","","","Straight On Arrow","[1892365]","","","","","","","",""
"Generic Models","","","Straight On Arrow","[1894214]","","","","","","","",""
"Generic Models","","","Straight On Arrow","[3182476]","","","","","","","",""
"Generic Models","","","Straight w Turn","[1892286]","","","","","","","",""
"Generic Models","","","Straight w Turn","[1892346]","","","","","","","",""
"Generic Models","","","Straight w Turn","[1892366]","","","","","","","",""
"Generic Models","","","Left Right Turn Arrow","[1893211]","","","","","","","",""
"Generic Models","","","Left Right Turn Arrow","[1894044]","","","","","","","",""
"Generic Models","","","Left Right Turn Arrow","[1894213]","","","","","","","",""
"Generic Models","","","Left Right Turn Arrow","[1895290]","","","","","","","",""
"Generic Models","","","Left Right Turn Arrow","[2143325]","","","","","","","",""
"Generic Models","","","Future Development","[5649100]","","","","","","","",""
"Generic Models","","","JTC_Drain_Int","[5664659]","","","","","","","",""
"Generic Models","","","JTC_Drain_Int","[5665816]","","","","","","","",""
"Generic Models","","","JTC_Drain_Int","[5666968]","","","","","","","",""
"Generic Models","","","JTC_Drain_Int","[5667589]","","","","","","","",""
"Generic Models","","","JTC_Drain_Int","[5673462]","","","","","","","",""
"Generic Models","","","JTC_Drain_Int","[5673593]","","","","","","","",""
"Generic Models","","","JTC_Drain_Int","[5674053]","","","","","","","",""
"Generic Models","","","JTC_Drain_Int","[5674298]","","","","","","","",""
"Generic Models","","","JTC_Drain_Int","[5675059]","","","","","","","",""
"Generic Models","","","JTC_Drain_Int","[5677046]","","","","","","","",""
"Generic Models","","","JTC_Drain_Int","[5726471]","","","","","","","",""
"Generic Models","","","JTC_Drain_Int","[5671782]","","","","","","","",""
"Generic Models","","","Generic Models 1","[5672290]","","","","","","","",""
"Generic Models","","","Generic Models 2","[5672403]","","","","","","","",""
"Generic Models","","","Generic Models 3","[5673241]","","","","","","","",""
"Generic Models","","","Generic Models 4","[5674984]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5676144]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5676190]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5676568]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5676618]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5676639]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5676660]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5676681]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5676702]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5676733]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5676848]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5676894]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5677270]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5677371]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5677439]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5677474]","","","","","","","",""
"Generic Models","","","PD_Drain Cover","[5677509]","","","","","","","",""
