"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Floors","Floor","JTC_Power Float Fin_50mm","Floor","[5675051]","","","","","JTC_Power Float Fin_50mm","<By Category>",""
"Floors","Floor","JTC_Power Float Fin_50mm","Floor","[5718870]","","","","","JTC_Power Float Fin_50mm","<By Category>",""
"Floors","Floor","JTC_Power Float Fin_50mm","Floor","[5745651]","","","","","JTC_Power Float Fin_50mm","<By Category>",""
"Floors","Floor","JTC_Power Float Fin_50mm","Floor","[5773627]","","","","","JTC_Power Float Fin_50mm","<By Category>",""
"Floors","Floor","JTC_Power Float Fin_50mm","Floor","[5795801]","","","","","JTC_Power Float Fin_50mm","<By Category>",""
"Floors","Floor","JTC_Power Float Fin_50mm","Floor","[5795836]","","","","","JTC_Power Float Fin_50mm","<By Category>",""
"Floors","Floor","JTC_Power Float Fin_50mm","Floor","[5890667]","","","","","JTC_Power Float Fin_50mm","<By Category>",""
"Floors","Floor","Turfing","Floor","[5675084]","","","","","Turfing","<By Category>",""
"Floors","Floor","Turfing","Floor","[5675087]","","","","","Turfing","<By Category>",""
"Floors","Floor","JTC_Power Float w/ Epoxy Fin_150mm","Floor","[5675536]","","","","","JTC_Power Float w/ Epoxy Fin_150mm","<By Category>",""
"Floors","Floor","JTC_Floor Tile_300x600","Floor","[5676520]","","","","","JTC_Floor Tile_300x600","<By Category>",""
"Floors","Floor","JTC_Floor Tile_300x600","Floor","[5676539]","","","","","JTC_Floor Tile_300x600","<By Category>",""
"Floors","Floor","JTC_Floor Tile_300x600","Floor","[5676546]","","","","","JTC_Floor Tile_300x600","<By Category>",""
"Floors","Floor","JTC_Floor Tile_300x600","Floor","[5677580]","","","","","JTC_Floor Tile_300x600","<By Category>",""
"Floors","Floor","JTC_Floor Tile_300x600","Floor","[5677586]","","","","","JTC_Floor Tile_300x600","<By Category>",""
"Floors","Floor","JTC_Floor Tile_300x600","Floor","[5739443]","","","","","JTC_Floor Tile_300x600","<By Category>",""
"Floors","Floor","JTC_Floor Tile_300x600","Floor","[5745218]","","","","","JTC_Floor Tile_300x600","<By Category>",""
"Floors","Floor","JTC_Floor Tile_300x600","Floor","[5782118]","","","","","JTC_Floor Tile_300x600","<By Category>",""
"Floors","Floor","RC Plinth","Floor","[5677561]","","","","","RC Plinth","Concrete - RC Cast In Situ",""
"Floors","Floor","JTC_Power Float w/ Waterproofing_30mm","Floor","[5677693]","","","","","JTC_Power Float w/ Waterproofing_30mm","<By Category>",""
"Floors","Floor","JTC_Concrete Floor_Power Float Fin","Floor","[5677795]","","","","","JTC_Concrete Floor_Power Float Fin","Concrete - Sand/Cement Screed",""
"Floors","Floor","JTC_Concrete Screed_Power Float w/ Waterproofing","Floor","[5677901]","","","","","JTC_Concrete Screed_Power Float w/ Waterproofing","<By Category>",""
"Floors","Floor","Footpath (Concrete Screed)","Floor","[5678564]","","","","","Footpath (Concrete Screed)","Concrete - Cast In Situ",""
"Floors","Floor","Internal Road (Driveway)","Floor","[5680168]","","","","","Internal Road (Driveway)","Driveway",""
"Floors","Floor","Internal Road (Driveway)","Floor","[5811297]","","","","","Internal Road (Driveway)","Driveway",""
"Floors","Floor","Internal Road (Driveway)","Floor","[5831225]","","","","","Internal Road (Driveway)","Driveway",""
"Floors","Floor","Counter Top","Floor","[5713746]","","","","","Counter Top","<By Category>",""
"Floors","Floor","Counter Top","Floor","[5714109]","","","","","Counter Top","<By Category>",""
"Floors","Floor","Counter Top","Floor","[5727164]","","","","","Counter Top","<By Category>",""
"Floors","Floor","Counter Top","Floor","[5728118]","","","","","Counter Top","<By Category>",""
"Floors","Floor","Counter Top","Floor","[5950924]","","","","","Counter Top","<By Category>",""
"Floors","Floor","JTC_Floor Tile_300x300","Floor","[5744775]","","","","","JTC_Floor Tile_300x300","<By Category>",""
"Floors","Floor","RC Kerb_100mm","Floor","[5782896]","","","","","RC Kerb_100mm","Concrete - RC Cast In Situ",""
"Floors","Floor","RC Kerb_100mm","Floor","[5783035]","","","","","RC Kerb_100mm","Concrete - RC Cast In Situ",""
"Floors","Floor","JTC_Power Float Fin_125mm","Floor","[5838826]","","","","","JTC_Power Float Fin_125mm","<By Category>",""
"Walls","Basic Wall","External_PC_150mm with Skim Coat","Basic Wall","[5675063]","","","","","External_PC_150mm with Skim Coat","Concrete - RC Cast In Situ",""
"Walls","Basic Wall","External_PC_150mm with Skim Coat","Basic Wall","[5675071]","","","","","External_PC_150mm with Skim Coat","Concrete - RC Cast In Situ",""
"Walls","Basic Wall","External_PC_150mm with Skim Coat","Basic Wall","[5675072]","","","","","External_PC_150mm with Skim Coat","Concrete - RC Cast In Situ",""
"Walls","Basic Wall","External_PC_150mm with Skim Coat","Basic Wall","[5675506]","","","","","External_PC_150mm with Skim Coat","Concrete - RC Cast In Situ",""
"Walls","Basic Wall","External_PC_150mm with Skim Coat","Basic Wall","[5675509]","","","","","External_PC_150mm with Skim Coat","Concrete - RC Cast In Situ",""
"Walls","Basic Wall","External_PC_150mm with Skim Coat","Basic Wall","[5675527]","","","","","External_PC_150mm with Skim Coat","Concrete - RC Cast In Situ",""
"Walls","Basic Wall","External_PC_150mm with Skim Coat","Basic Wall","[5675528]","","","","","External_PC_150mm with Skim Coat","Concrete - RC Cast In Situ",""
"Walls","Basic Wall","External_PC_150mm with Skim Coat","Basic Wall","[5675542]","","","","","External_PC_150mm with Skim Coat","Concrete - RC Cast In Situ",""
"Walls","Basic Wall","External_PC_150mm with Skim Coat","Basic Wall","[5675597]","","","","","External_PC_150mm with Skim Coat","Concrete - RC Cast In Situ",""
"Walls","Basic Wall","External_PC_150mm with Skim Coat","Basic Wall","[5675671]","","","","","External_PC_150mm with Skim Coat","Concrete - RC Cast In Situ",""
"Walls","Basic Wall","External_PC_150mm with Skim Coat","Basic Wall","[5675677]","","","","","External_PC_150mm with Skim Coat","Concrete - RC Cast In Situ",""
