"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Floors","Floor","Turfing","Floor","[5686178]","","","","","Turfing","<By Category>",""
"Floors","Floor","JTC_Power Float Fin_50mm","Floor","[5686182]","","","","","JTC_Power Float Fin_50mm","<By Category>",""
"Floors","Floor","JTC_Power Float Fin_50mm","Floor","[5686965]","","","","","JTC_Power Float Fin_50mm","<By Category>",""
"Floors","Floor","JTC_Power Float Fin_50mm","Floor","[5687659]","","","","","JTC_Power Float Fin_50mm","<By Category>",""
"Floors","Floor","JTC_Power Float Fin_50mm","Floor","[5688142]","","","","","JTC_Power Float Fin_50mm","<By Category>",""
"Floors","Floor","JTC_Power Float Fin_50mm","Floor","[5689140]","","","","","JTC_Power Float Fin_50mm","<By Category>",""
"Floors","Floor","JTC_Power Float Fin_50mm","Floor","[5740293]","","","","","JTC_Power Float Fin_50mm","<By Category>",""
"Floors","Floor","JTC_Power Float Fin_50mm","Floor","[5742830]","","","","","JTC_Power Float Fin_50mm","<By Category>",""
"Floors","Floor","JTC_Power Float Fin_50mm","Floor","[5758517]","","","","","JTC_Power Float Fin_50mm","<By Category>",""
"Floors","Floor","JTC_Power Float Fin_50mm","Floor","[5758605]","","","","","JTC_Power Float Fin_50mm","<By Category>",""
"Floors","Floor","JTC_Power Float Fin_50mm","Floor","[5758730]","","","","","JTC_Power Float Fin_50mm","<By Category>",""
"Floors","Floor","JTC_Power Float Fin_50mm","Floor","[5758737]","","","","","JTC_Power Float Fin_50mm","<By Category>",""
"Floors","Floor","JTC_Power Float Fin_50mm","Floor","[5833290]","","","","","JTC_Power Float Fin_50mm","<By Category>",""
"Floors","Floor","JTC_Power Float Fin_50mm","Floor","[6045850]","","","","","JTC_Power Float Fin_50mm","<By Category>",""
"Floors","Floor","JTC_Power Float Fin_50mm","Floor","[6045880]","","","","","JTC_Power Float Fin_50mm","<By Category>",""
"Floors","Floor","JTC_Power Float Fin_50mm","Floor","[6047724]","","","","","JTC_Power Float Fin_50mm","<By Category>",""
"Floors","Floor","JTC_Power Float Fin_50mm","Floor","[6047732]","","","","","JTC_Power Float Fin_50mm","<By Category>",""
"Floors","Floor","JTC_Concrete Floor_Power Float w/ Epoxy Fin","Floor","[5686357]","","","","","JTC_Concrete Floor_Power Float w/ Epoxy Fin","Concrete - Sand/Cement Screed",""
