Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Mechanical Equipment,FD-HoseReels-CabinetFixed,Hosereel Cabinet,FD-HoseReels-CabinetFixed,D4010.10,Water-Based Fire-Suppression,Hosereel,Hosereel,Hosereel Cabinet,,14GalvanizedPlug
Mechanical Equipment,EQP_M_F-Hydrant,Hydrant,EQP_M_F-Hydrant,G3010.30,Site Fire Protection Water Distribution,Fire Hydrant,FH,Hydrant,,<By Category>
Mechanical Equipment,EQP-MotorControlPanel,EQP-MotorControlPanel,EQP-MotorControlPanel,,,Fire Hydrant Pump Controller,,EQP-MotorControlPanel,,<By Category>
Mechanical Equipment,Jockey Pump Control Panel,Jockey Pump Control Panel,Jockey Pump Control Panel,,,Sprinkler Pump Controller,Sprinkler Pump,Jockey Pump Control Panel,,<By Category>
Mechanical Equipment,FD-Fire Extinguisher With Box,Fire Extinguisher With Box,FD-Fire Extinguisher With Box,23-29 25 19 11 11,,Fire Extinguisher,,Fire Extinguisher With Box,,<By Category>
Mechanical Equipment,EQP-Pump-Sprinkler Centrifugal-20LPS,Modular Pump,EQP-Pump-Sprinkler Centrifugal-20LPS,,,Sprinkler Pump,Sprinkler Pump,Modular Pump,,<By Category>
Mechanical Equipment,EQP-Pump-Hydrant Centrifugal-20LPS,Modular Pump,EQP-Pump-Hydrant Centrifugal-20LPS,,,Fire Hydrant Pump,Fire Hydrant Pump,Modular Pump,,<By Category>
Fire Alarm Devices,FD-FiremenIntercomFixtureAndDevice-Weather Proof Strobe Light,Wall Mount,FD-FiremenIntercomFixtureAndDevice-Weather Proof Strobe Light,D7050.10,Fire Detection and Alarm,Strobe Light,Strobe Light,Wall Mount,,<By Category>
Fire Alarm Devices,FD-FiremenIntercomFixtureAndDevice-Manual call point,Outdoor,FD-FiremenIntercomFixtureAndDevice-Manual call point,D7050,Detection and Alarm,Manual Call Point,Manual Call Point,Outdoor,,<By Category>
Fire Alarm Devices,FD-FiremenIntercomFixtureAndDevice-Manual call point,Indoor,FD-FiremenIntercomFixtureAndDevice-Manual call point,D7050,Detection and Alarm,Manual Call Point,Manual Call Point,Indoor,,<By Category>
Fire Alarm Devices,FD-FiremenIntercomFixtureAndDevice-Fire Alarm bell,Outdoor,FD-FiremenIntercomFixtureAndDevice-Fire Alarm bell,D40,Fire Protection,Fire Alarm Bell,Fire Alarm Bell,Outdoor,,<By Category>
Fire Alarm Devices,FD-FiremenIntercomFixtureAndDevice-Fire Alarm bell,Indoor,FD-FiremenIntercomFixtureAndDevice-Fire Alarm bell,D7050.10,Fire Detection and Alarm,Fire Alarm Bell,Fire Alarm Bell,Indoor,,<By Category>
Fire Alarm Devices,FD-FiremenIntercomFixtureAndDevice-Smoke detector,Exposed,FD-FiremenIntercomFixtureAndDevice-Smoke detector,D7050.10,Fire Detection and Alarm,Smoke Detector,Smoke Detector,Exposed,,<By Category>
Fire Alarm Devices,FD-FiremenIntercomFixtureAndDevice-RemoteHandset,Fireman Intercom,FD-FiremenIntercomFixtureAndDevice-RemoteHandset,D7050.10,Fire Detection and Alarm,Fireman Intercom,Fireman Intercom,Fireman Intercom,,<By Category>
Fire Alarm Devices,FD-FiremenIntercomFixtureAndDevice-Strobe Light,Wall Mount,FD-FiremenIntercomFixtureAndDevice-Strobe Light,D7050.10,Fire Detection and Alarm,Strobe Light,Strobe Light,Wall Mount,,<By Category>
Fire Alarm Devices,FD-FiremenIntercomFixtureAndDevice-Master mimic panel,Master Mimic,FD-FiremenIntercomFixtureAndDevice-Master mimic panel,D7050.10,Fire Detection and Alarm,Master Mimic Panel,Master Mimic Panel,Master Mimic,,<By Category>
Fire Alarm Devices,FD-FiremenIntercomFixtureAndDevice-Main voice communication panel,MVCP,FD-FiremenIntercomFixtureAndDevice-Main voice communication panel,D6020.20,Voice Communications Terminal Equipment,Fireman Intercom Panel,Fireman Intercom Panel,MVCP,,<By Category>
