Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Walls,Curtain Wall,Wall-CLAD-TRIMO-100THK,FTV HL-HR-RAL,,,,Trimoterm Invisio,100_RAL_7016,,
Walls,Curtain Wall,Wall-CLAD-TRIMO-100THK,FTV HL-HR-RAL,,,,Trimoterm Invisio,100_RAL_9006,,
Walls,Curtain Wall,Wall-CLAD-TRIMO-100THK,Curtain Panel2,,,,,Curtain Panel,,
Walls,Curtain Wall,Wall-CLAD-TRIMO-100THK,Curtain Wall,,,,HORIZONTALLY LAID,Wall-CLAD-TRIMO-100THK,<By Category>,
Walls,Curtain Wall,Wall-CLAD-TRIMO-100THK,Curtain Panel4,,,,,Curtain Panel,,
Walls,Curtain Wall,Wall-CLAD-TRIMO-100THK,Curtain Panel18,,,,,Curtain Panel,,
Walls,Curtain Wall,Wall-CLAD-TRIMO-100THK,Curtain Panel5,,,,,Curtain Panel,,
Walls,Curtain Wall,Wall-CLAD-TRIMO-100THK,Curtain Panel3,,,,,Curtain Panel,,
Walls,Curtain Wall,Wall-CLAD-TRIMO-100THK,Curtain Panel6,,,,,Curtain Panel,,
Walls,Curtain Wall,Wall-CLAD-TRIMO-100THK,Curtain Panel38,,,,,Curtain Panel,,
Walls,Curtain Wall,Wall-CLAD-TRIMO-100THK,Curtain Panel39,,,,,Curtain Panel,,
Walls,Curtain Wall,Wall-CLAD-TRIMO-100THK,Corner-FTV-HR-MS,,,Copyright CGS plus,Trimoterm Standard,RAL9006_Length-280mm,,
Walls,Curtain Wall,Wall-CLAD-TRIMO-100THK,Corner-FTV-HR-MS,,,Copyright CGS plus,Trimoterm Standard,RAL9010_Length-280mm,,
Walls,Curtain Wall,Wall-CLAD-TRIMO-100THK,Curtain Panel,,,,,Curtain Panel,,
Walls,Curtain Wall,Wall-CLAD-TRIMO-100THK,System Panel,,,,,Top panel,,RAL 9006
Walls,Curtain Wall,Wall-CLAD-TRIMO-100THK,Curtain Panel22,,,,,Curtain Panel,,
Walls,Curtain Wall,Wall-CLAD-TRIMO-100THK,Curtain Panel15,,,,,Curtain Panel,,
Walls,Curtain Wall,Wall-CLAD-TRIMO-100THK,Curtain Panel34,,,,,Curtain Panel,,
Walls,Curtain Wall,Wall-CLAD-TRIMO-100THK,Curtain Panel32,,,,,Curtain Panel,,
Walls,Curtain Wall,Wall-CLAD-TRIMO-100THK,Curtain Panel31,,,,,Curtain Panel,,
Walls,Curtain Wall,Wall-CLAD-TRIMO-100THK,Curtain Panel30,,,,,Curtain Panel,,
Walls,Curtain Wall,Wall-CLAD-TRIMO-100THK,System Panel,,,,,Cut panel,,RAL 9006
