"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[1603146]","","","","","SR-Pipes-SoilWaste-HDDI_Underground","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[1603147]","","","","","","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[1612493]","","","","","SR-Pipes-SoilWaste-HDDI_Underground","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[1612494]","","","","","","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[1696940]","","","","","SR-Pipes-SoilWaste-HDDI_Underground","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[1696941]","","","","","","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[1697477]","","","","","SR-Pipes-SoilWaste-HDDI_Underground","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[1697478]","","","","","","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[1706182]","","","","","SR-Pipes-SoilWaste-HDDI_Underground","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[1706183]","","","","","","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[1706188]","","","","","SR-Pipes-SoilWaste-HDDI_Underground","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[1706189]","","","","","","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[1706205]","","","","","SR-Pipes-SoilWaste-HDDI_Underground","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[1706206]","","","","","","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[1706211]","","","","","SR-Pipes-SoilWaste-HDDI_Underground","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[1706212]","","","","","","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[1708265]","","","","","SR-Pipes-SoilWaste-HDDI_Underground","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[1708266]","","","","","","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[1708276]","","","","","SR-Pipes-SoilWaste-HDDI_Underground","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[1708277]","","","","","","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[1708287]","","","","","SR-Pipes-SoilWaste-HDDI_Underground","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[1708288]","","","","","","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[1844583]","","","","","SR-Pipes-SoilWaste-HDDI_Underground","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[1844584]","","","","","","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[1973893]","","","","","SR-Pipes-SoilWaste-HDDI_Underground","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[1973894]","","","","","","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[1992293]","","","","","SR-Pipes-SoilWaste-HDDI_Underground","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[1992294]","","","","","","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[1998719]","","","","","SR-Pipes-SoilWaste-HDDI_Underground","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[1998720]","","","","","","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[2004842]","","","","","SR-Pipes-SoilWaste-HDDI_Underground","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[2004843]","","","","","","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[2005481]","","","","","SR-Pipes-SoilWaste-HDDI_Underground","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[2005482]","","","","","","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[2005563]","","","","","SR-Pipes-SoilWaste-HDDI_Underground","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[2005564]","","","","","","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[2007528]","","","","","SR-Pipes-SoilWaste-HDDI_Underground","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[2007529]","","","","","","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[2007690]","","","","","SR-Pipes-SoilWaste-HDDI_Underground","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[2007691]","","","","","","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[2007857]","","","","","SR-Pipes-SoilWaste-HDDI_Underground","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[2007858]","","","","","","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[2007869]","","","","","SR-Pipes-SoilWaste-HDDI_Underground","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[2007870]","","","","","","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[2304765]","","","","","SR-Pipes-SoilWaste-HDDI_Underground","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[2304766]","","","","","","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[2422379]","","","","","SR-Pipes-SoilWaste-HDDI_Underground","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[2422380]","","","","","","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[2427373]","","","","","SR-Pipes-SoilWaste-HDDI_Underground","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[2427374]","","","","","","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[2436196]","","","","","SR-Pipes-SoilWaste-HDDI_Underground","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[2436197]","","","","","","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[2599637]","","","","","SR-Pipes-SoilWaste-HDDI_Underground","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[2599638]","","","","","","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[2667800]","","","","","SR-Pipes-SoilWaste-HDDI_Underground","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[2667801]","","","","","","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[2672081]","","","","","SR-Pipes-SoilWaste-HDDI_Underground","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[2672082]","","","","","","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[2681792]","","","","","SR-Pipes-SoilWaste-HDDI_Underground","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[2681793]","","","","","","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[3288336]","","","","","SR-Pipes-SoilWaste-HDDI_Underground","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[3288337]","","","","","","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[3292853]","","","","","SR-Pipes-SoilWaste-HDDI_Underground","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[3292854]","","","","","","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[3293803]","","","","","SR-Pipes-SoilWaste-HDDI_Underground","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[3293804]","","","","","","","Ductile Iron"
"Pipes","Pipe Types","SR-Pipes-SoilWaste-HDDI_Underground","Pipe Types","[3295818]","","","","","SR-Pipes-SoilWaste-HDDI_Underground","","Ductile Iron"
