Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Walls,PANEL,PANEL,PANEL,,,,,PANEL,<By Category>,
Walls,Unnamed,Unnamed,Unnamed,,,,,Unnamed,<By Category>,
Walls,Unnamed 4160,Unnamed 4160,Unnamed 4160,,,,,Unnamed 4160,<By Category>,
Walls,Unnamed 4181,Unnamed 4181,Unnamed 4181,,,,,Unnamed 4181,<By Category>,
Walls,Unnamed 4195,Unnamed 4195,Unnamed 4195,,,,,Unnamed 4195,<By Category>,
Walls,Unnamed 4238,Unnamed 4238,Unnamed 4238,,,,,Unnamed 4238,<By Category>,
Walls,Unnamed 4283,Unnamed 4283,Unnamed 4283,,,,,Unnamed 4283,<By Category>,
Walls,Unnamed 4303,Unnamed 4303,Unnamed 4303,,,,,Unnamed 4303,<By Category>,
Walls,Unnamed 4316,Unnamed 4316,Unnamed 4316,,,,,Unnamed 4316,<By Category>,
Walls,Unnamed 4325,Unnamed 4325,Unnamed 4325,,,,,Unnamed 4325,<By Category>,
Walls,Unnamed 4356,Unnamed 4356,Unnamed 4356,,,,,Unnamed 4356,<By Category>,
Walls,Unnamed 4394,Unnamed 4394,Unnamed 4394,,,,,Unnamed 4394,<By Category>,
Walls,Unnamed 4433,Unnamed 4433,Unnamed 4433,,,,,Unnamed 4433,<By Category>,
Walls,Unnamed 4448,Unnamed 4448,Unnamed 4448,,,,,Unnamed 4448,<By Category>,
Walls,Unnamed 4457,Unnamed 4457,Unnamed 4457,,,,,Unnamed 4457,<By Category>,
Walls,Unnamed 4488,Unnamed 4488,Unnamed 4488,,,,,Unnamed 4488,<By Category>,
Walls,PANEL 4577,PANEL 4577,PANEL 4577,,,,,PANEL 4577,<By Category>,
Walls,PANEL 4652,PANEL 4652,PANEL 4652,,,,,PANEL 4652,<By Category>,
Walls,PANEL 34701,PANEL 34701,PANEL 34701,,,,,PANEL 34701,<By Category>,
Walls,PBU1MX-023,PBU1MX-023,PBU1MX-023,,,,,PBU1MX-023,<By Category>,
Walls,PANEL 34827,PANEL 34827,PANEL 34827,,,,,PANEL 34827,<By Category>,
Walls,Unnamed 34873,Unnamed 34873,Unnamed 34873,,,,,Unnamed 34873,<By Category>,
