Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Generic Models,Fire Engine Access,Fire Engine Access,Fire Engine Access,,,,,Fire Engine Access,,<By Category>
Generic Models,Staircase Landing Sign_Type 1,Staircase Landing Sign Type 1,Staircase Landing Sign_Type 1,,,,,Staircase Landing Sign Type 1,,<By Category>
Generic Models,Room Name Label_Double_330W x 145H,Room Name Label_Double_330W x 145H,Room Name Label_Double_330W x 145H,,,,,Room Name Label_Double_330W x 145H,,<By Category>
Generic Models,Room Name Label_Single_330W x 70H,Room Name Label_Single_330W x 70H,Room Name Label_Single_330W x 70H,,,,,Room Name Label_Single_330W x 70H,,<By Category>
Generic Models,Room Name Label_Single_440W x 70H,Room Name Label_Single_440W x 70H,Room Name Label_Single_440W x 70H,,,,,Room Name Label_Single_440W x 70H,,<By Category>
Generic Models,Combine Firehose Reel _ Fire Extinguisher_Type 2,Combine Firehose Reel _ Fire Extinguisher_Type 2,Combine Firehose Reel _ Fire Extinguisher_Type 2,,,,,Combine Firehose Reel _ Fire Extinguisher_Type 2,,<By Category>
Generic Models,Vehicula Internal Dirveway Directional Sign 5_B-2-5,Vehicula Internal Dirveway Directional Sign 5_B-2-5,Vehicula Internal Dirveway Directional Sign 5_B-2-5,,,,,Vehicula Internal Dirveway Directional Sign 5_B-2-5,,<By Category>
Generic Models,Vehicula Internal Dirveway Directional Sign 4_B-2-4,Vehicula Internal Dirveway Directional Sign 4_B-2-4,Vehicula Internal Dirveway Directional Sign 4_B-2-4,,,,,Vehicula Internal Dirveway Directional Sign 4_B-2-4,,<By Category>
Generic Models,Fire Hose Reel & Fire Extinguisher Signs,Fire Hose Reel & Fire Extinguisher Signs,Fire Hose Reel & Fire Extinguisher Signs,,,,,Fire Hose Reel & Fire Extinguisher Signs,,<By Category>
Generic Models,Turn on Inlet Valve Sign,Turn on Inlet Valve Sign,Turn on Inlet Valve Sign,,,,,Turn on Inlet Valve Sign,,<By Category>
Generic Models,Staircase Landing Sign_Type 2,Staircase Landing Sign Type 2,Staircase Landing Sign_Type 2,,,,,Staircase Landing Sign Type 2,,<By Category>
Generic Models,Sprinkler Control Valve Sign_VO,Sprinkler Control Valve Sign_VO,Sprinkler Control Valve Sign_VO,,,,,Sprinkler Control Valve Sign_VO,,<By Category>
