"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Walls","Unnamed","Unnamed","Unnamed","[128484]","","","","","Unnamed","<By Category>",""
"Walls","Unnamed 171","Unnamed 171","Unnamed 171","[128538]","","","","","Unnamed 171","<By Category>",""
"Walls","Unnamed 195","Unnamed 195","Unnamed 195","[128552]","","","","","Unnamed 195","<By Category>",""
"Walls","Unnamed 209","Unnamed 209","Unnamed 209","[128566]","","","","","Unnamed 209","<By Category>",""
"Walls","Unnamed 253","Unnamed 253","Unnamed 253","[128580]","","","","","Unnamed 253","<By Category>",""
"Walls","Unnamed 302","Unnamed 302","Unnamed 302","[128595]","","","","","Unnamed 302","<By Category>",""
"Walls","Unnamed 344","Unnamed 344","Unnamed 344","[128609]","","","","","Unnamed 344","<By Category>",""
"Walls","Unnamed 358","Unnamed 358","Unnamed 358","[128623]","","","","","Unnamed 358","<By Category>",""
"Walls","Unnamed 367","Unnamed 367","Unnamed 367","[128637]","","","","","Unnamed 367","<By Category>",""
"Walls","Unnamed 398","Unnamed 398","Unnamed 398","[128651]","","","","","Unnamed 398","<By Category>",""
"Walls","Unnamed 435","Unnamed 435","Unnamed 435","[128665]","","","","","Unnamed 435","<By Category>",""
"Walls","Unnamed 476","Unnamed 476","Unnamed 476","[128679]","","","","","Unnamed 476","<By Category>",""
"Walls","Unnamed 491","Unnamed 491","Unnamed 491","[128693]","","","","","Unnamed 491","<By Category>",""
"Walls","Unnamed 500","Unnamed 500","Unnamed 500","[128707]","","","","","Unnamed 500","<By Category>",""
"Walls","Unnamed 532","Unnamed 532","Unnamed 532","[128721]","","","","","Unnamed 532","<By Category>",""
"Walls","PANEL","PANEL","PANEL","[128736]","","","","","PANEL","<By Category>",""
"Walls","PANEL 686","PANEL 686","PANEL 686","[128744]","","","","","PANEL 686","<By Category>",""
"Walls","Unnamed 744","Unnamed 744","Unnamed 744","[128760]","","","","","Unnamed 744","<By Category>",""
"Walls","Unnamed 766","Unnamed 766","Unnamed 766","[128774]","","","","","Unnamed 766","<By Category>",""
"Walls","Unnamed 784","Unnamed 784","Unnamed 784","[128788]","","","","","Unnamed 784","<By Category>",""
"Walls","Unnamed 798","Unnamed 798","Unnamed 798","[128802]","","","","","Unnamed 798","<By Category>",""
"Walls","Unnamed 840","Unnamed 840","Unnamed 840","[128816]","","","","","Unnamed 840","<By Category>",""
"Walls","Unnamed 883","Unnamed 883","Unnamed 883","[128830]","","","","","Unnamed 883","<By Category>",""
"Walls","Unnamed 896","Unnamed 896","Unnamed 896","[128844]","","","","","Unnamed 896","<By Category>",""
"Walls","Unnamed 905","Unnamed 905","Unnamed 905","[128858]","","","","","Unnamed 905","<By Category>",""
"Walls","Unnamed 914","Unnamed 914","Unnamed 914","[128872]","","","","","Unnamed 914","<By Category>",""
"Walls","Unnamed 945","Unnamed 945","Unnamed 945","[128886]","","","","","Unnamed 945","<By Category>",""
"Walls","Unnamed 981","Unnamed 981","Unnamed 981","[128900]","","","","","Unnamed 981","<By Category>",""
"Walls","Unnamed 1020","Unnamed 1020","Unnamed 1020","[128914]","","","","","Unnamed 1020","<By Category>",""
"Walls","Unnamed 1035","Unnamed 1035","Unnamed 1035","[128928]","","","","","Unnamed 1035","<By Category>",""
"Walls","Unnamed 1044","Unnamed 1044","Unnamed 1044","[128942]","","","","","Unnamed 1044","<By Category>",""
"Walls","Unnamed 1076","Unnamed 1076","Unnamed 1076","[128956]","","","","","Unnamed 1076","<By Category>",""
"Walls","PANEL 1125","PANEL 1125","PANEL 1125","[128970]","","","","","PANEL 1125","<By Category>",""
"Walls","PANEL 1200","PANEL 1200","PANEL 1200","[128984]","","","","","PANEL 1200","<By Category>",""
