"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Generic Models","FT02-FW5A","NL-WD-LW-1P-FP-1050W*2900H","FT02-FW5A","[1419110]","","","1050X2900","Louver with Vision Glass","NL-WD-LW-1P-FP-1050W*2900H","","Aluminum"
"Generic Models","FT02-FW5A","NL-WD-LW-1P-FP-1050W*2900H","FT02-FW5A","[2257933]","","","1050X2900","Louver with Vision Glass","NL-WD-LW-1P-FP-1050W*2900H","","Aluminum"
"Generic Models","FT02-FW5A","NL-WD-LW-1P-FP-1050W*2900H","FT02-FW5A","[2258016]","","","1050X2900","Louver with Vision Glass","NL-WD-LW-1P-FP-1050W*2900H","","Aluminum"
"Generic Models","FT02-FW5A","NL-WD-LW-1P-FP-1050W*2900H","FT02-FW5A","[2258098]","","","1050X2900","Louver with Vision Glass","NL-WD-LW-1P-FP-1050W*2900H","","Aluminum"
"Generic Models","FT02-FW5A","NL-WD-LW-1P-FP-1050W*2900H","FT02-FW5A","[2345475]","","","1050X2900","Louver with Vision Glass","NL-WD-LW-1P-FP-1050W*2900H","","Aluminum"
"Generic Models","FT02-FW5A","NL-WD-LW-1P-FP-1050W*2900H","FT02-FW5A","[2387499]","","","1050X2900","Louver with Vision Glass","NL-WD-LW-1P-FP-1050W*2900H","","Aluminum"
"Generic Models","FT02-FW5A","NL-WD-LW-1P-FP-1050W*2900H","FT02-FW5A","[2404496]","","","1050X2900","Louver with Vision Glass","NL-WD-LW-1P-FP-1050W*2900H","","Aluminum"
"Generic Models","FT02-FW5A","NL-WD-LW-1P-FP-1050W*2900H","FT02-FW5A","[2404499]","","","1050X2900","Louver with Vision Glass","NL-WD-LW-1P-FP-1050W*2900H","","Aluminum"
"Generic Models","FT02-FW5A","NL-WD-LW-1P-FP-1050W*2900H","FT02-FW5A","[2404501]","","","1050X2900","Louver with Vision Glass","NL-WD-LW-1P-FP-1050W*2900H","","Aluminum"
"Generic Models","FT02-FW5A","NL-WD-LW-1P-FP-1050W*2900H","FT02-FW5A","[2404503]","","","1050X2900","Louver with Vision Glass","NL-WD-LW-1P-FP-1050W*2900H","","Aluminum"
"Generic Models","FT02-FW5A","NL-WD-LW-1P-FP-1050W*2900H","FT02-FW5A","[2404505]","","","1050X2900","Louver with Vision Glass","NL-WD-LW-1P-FP-1050W*2900H","","Aluminum"
"Generic Models","FT02-FW5A","NL-WD-LW-1P-FP-1050W*2900H","FT02-FW5A","[2404507]","","","1050X2900","Louver with Vision Glass","NL-WD-LW-1P-FP-1050W*2900H","","Aluminum"
"Generic Models","FT02-FW5A","NL-WD-LW-1P-FP-1050W*2900H","FT02-FW5A","[2405839]","","","1050X2900","Louver with Vision Glass","NL-WD-LW-1P-FP-1050W*2900H","","Aluminum"
"Generic Models","FT02-FW5A","NL-WD-LW-1P-FP-1050W*2900H","FT02-FW5A","[2405892]","","","1050X2900","Louver with Vision Glass","NL-WD-LW-1P-FP-1050W*2900H","","Aluminum"
"Generic Models","FT02-FW5A","NL-WD-LW-1P-FP-1050W*2900H","FT02-FW5A","[2405939]","","","1050X2900","Louver with Vision Glass","NL-WD-LW-1P-FP-1050W*2900H","","Aluminum"
"Generic Models","FT02-FW5A","NL-WD-LW-1P-FP-1050W*2900H","FT02-FW5A","[2405986]","","","1050X2900","Louver with Vision Glass","NL-WD-LW-1P-FP-1050W*2900H","","Aluminum"
