Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Walls,Basic Wall,SC.100mm_Solid_LW_External,Basic Wall,,,,,SC.100mm_Solid_LW_External,LWCP_SkimCoat_External,
Walls,Basic Wall,SC.100mm_Hollow_LW_Internal,Basic Wall,,,,,SC.100mm_Hollow_LW_Internal,LWCP_SkimCoat_Internal,
Walls,Basic Wall,SC.100mm_AAC,Basic Wall,,,,,SC.100mm_AAC,LWCP_SkimCoat_External,
Walls,Basic Wall,BSS.50,Basic Wall,,,,,BSS.50,SC.Concrete Wall,
Walls,Basic Wall,BSS.2 Waterproofing 300mm,Basic Wall,,,,,BSS.2 Waterproofing 300mm,Waterproofing,
Walls,Basic Wall,BSS.2 Waterproofing 1800mm,Basic Wall,,,,,BSS.2 Waterproofing 1800mm,Waterproofing,
Walls,Basic Wall,BSS.15mm 300x600 Wall Finishes,Basic Wall,,,,,BSS.15mm 300x600 Wall Finishes,<By Category>,
Walls,Basic Wall,SC.10_SkimCoat_Paint_Int,Basic Wall,,,,,SC.10_SkimCoat_Paint_Int,SC.SkimCoat_Int,
Walls,Basic Wall,SC.9_Gypsum board_Paint,Basic Wall,,,,,SC.9_Gypsum board_Paint,SC.Gypsum board,
Walls,Basic Wall,Thin Wall-1,Basic Wall,,,,,Thin Wall-1,Concrete - Cast In Situ,
Walls,Basic Wall,Wall_100mm,Basic Wall,,,,,Wall_100mm,Concrete - Cast In Situ,
Doors,SC.DR_FR_Glass_2leaf_Uneven,SC.1600/2900,SC.DR_FR_Glass_2leaf_Uneven,,,,,SC.1600/2900,,
Doors,Roller shutter,SC.5520/3000_RS1,Roller shutter,,,AUTOMATIC ROLLER SHUTTER TO MANUFACTURER'S SPECIFICATION.,,SC.5520/3000_RS1,,
Doors,SC.DR_Timber_Toilet,SC.900/2230_TD02,SC.DR_Timber_Toilet,,,SOLID CORE TIMBER LOUVERED DOOR,,SC.900/2230_TD02,,
Doors,SC.DR_Meter_Comp,SC.800/2400,SC.DR_Meter_Comp,,,,,SC.800/2400,,
Structural Columns,SHS-Square Hollow Section-Column,SC.75/75_SHS,SHS-Square Hollow Section-Column,,,,,SC.75/75_SHS,"Steel, 45-345",
Structural Columns,SHS-Square Hollow Section-Column,SC.100/75_RHS,SHS-Square Hollow Section-Column,,,,,SC.100/75_RHS,"Steel, 45-345",
Structural Framing,RHS-Rectangular Hollow Section,SC.75/100/6_RHS,RHS-Rectangular Hollow Section,,,,,SC.75/100/6_RHS,"Steel, 45-345",
Structural Framing,M_HSS-Hollow Structural Section,SC.75/75/6_HSS,M_HSS-Hollow Structural Section,,,Lintel,,SC.75/75/6_HSS,"Steel, 45-345",
Structural Framing,M_Concrete-Rectangular Beam,SC.75/75_Lintel,M_Concrete-Rectangular Beam,,,,,SC.75/75_Lintel,"Concrete, Cast-in-Place gray",
Structural Framing,I-Beams,I250x125x7.5,I-Beams,,,,,I250x125x7.5,Metal - Steel - 345 MPa,
Structural Framing,IBeam - CT_ 150 h-,I Beam - 150x152x60,IBeam - CT_ 150 h-,,,,,I Beam - 150x152x60,Metal - Steel - 345 MPa,
Floors,Floor,Concrete - 120mm,Floor,,,,,Concrete - 120mm,Concrete - Cast In Situ,
Floors,Floor,BSS.20 300x600 Floor Tiles H63074 (F10),Floor,,,,,BSS.20 300x600 Floor Tiles H63074 (F10),BSS.300x600 Floor Finishes,
Floors,Floor,BSS.60 Top Slab,Floor,,,,,BSS.60 Top Slab,BSS.Concrete Floor,
Floors,Floor,BSS.70,Floor,,,,,BSS.70,BSS.Concrete Floor,
Floors,Floor,BSS.2 Waterproofing floor,Floor,,,,,BSS.2 Waterproofing floor,Waterproofing,
Floors,Floor,SC.150_Kerb,Floor,,,,,SC.150_Kerb,Concrete - Cast In Situ,
Floors,Floor,Concrete - 100mm,Floor,,,,,Concrete - 100mm,Concrete - Cast In Situ,
Floors,Floor,Concrete - 1,Floor,,,,,Concrete - 1,Concrete - Cast In Situ - Floor Slab,
Floors,Floor,Concrete - 200mm,Floor,,,,,Concrete - 200mm,Concrete - Cast In Situ,
Floors,Floor,Generic 150mm Plinth,Floor,,,,,Generic 150mm Plinth,Concrete - Cast-in-Place Concrete,
