"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Pipes","","","Pipe Types","[3185990]","","","","","","","",""
"Pipes","","","Pipe Types","[3265848]","","","","","","","",""
"Pipes","","","Pipe Types","[3853717]","","","","","","","",""
"Pipes","","","Pipe Types","[4901452]","","","","","","","",""
"Pipes","","","Pipe Types","[4918257]","","","","","","","",""
"Pipes","","","Pipe Types","[4922563]","","","","","","","",""
"Pipes","","","Pipe Types","[1599533]","","","","","","","",""
"Pipes","","","Pipe Types","[3032229]","","","","","","","",""
"Pipes","","","Pipe Types","[3032232]","","","","","","","",""
"Pipes","","","Pipe Types","[3032444]","","","","","","","",""
"Pipes","","","Pipe Types","[3032447]","","","","","","","",""
"Pipes","","","Pipe Types","[4909191]","","","","","","","",""
"Pipes","","","Pipe Types","[4909285]","","","","","","","",""
"Pipes","","","Pipe Types","[4909422]","","","","","","","",""
"Pipes","","","Pipe Types","[4909712]","","","","","","","",""
"Pipes","","","Pipe Types","[5107683]","","","","","","","",""
"Pipes","","","Pipe Types","[5107702]","","","","","","","",""
"Pipes","","","Pipe Types","[5134825]","","","","","","","",""
"Pipes","","","Pipe Types","[5134833]","","","","","","","",""
"Pipes","","","Pipe Types","[5134845]","","","","","","","",""
"Pipes","","","Pipe Types","[5134893]","","","","","","","",""
"Pipes","","","Pipe Types","[1207829]","","","","","","","",""
"Pipes","","","Pipe Types","[1207830]","","","","","","","",""
"Pipes","","","Pipe Types","[1207836]","","","","","","","",""
"Pipes","","","Pipe Types","[1219943]","","","","","","","",""
"Pipes","","","Pipe Types","[1220117]","","","","","","","",""
"Pipes","","","Pipe Types","[1221276]","","","","","","","",""
"Pipes","","","Pipe Types","[1290582]","","","","","","","",""
"Pipes","","","Pipe Types","[1290918]","","","","","","","",""
"Pipes","","","Pipe Types","[1290921]","","","","","","","",""
"Pipes","","","Pipe Types","[1290922]","","","","","","","",""
"Pipes","","","Pipe Types","[1290926]","","","","","","","",""
"Pipes","","","Pipe Types","[1291163]","","","","","","","",""
"Pipes","","","Pipe Types","[1291167]","","","","","","","",""
"Pipes","","","Pipe Types","[1291171]","","","","","","","",""
"Pipes","","","Pipe Types","[1592891]","","","","","","","",""
"Pipes","","","Pipe Types","[1593449]","","","","","","","",""
"Pipes","","","Pipe Types","[1604035]","","","","","","","",""
"Pipes","","","Pipe Types","[1604036]","","","","","","","",""
"Pipes","","","Pipe Types","[1604040]","","","","","","","",""
"Pipes","","","Pipe Types","[1604042]","","","","","","","",""
"Pipes","","","Pipe Types","[1658652]","","","","","","","",""
"Pipes","","","Pipe Types","[1658672]","","","","","","","",""
"Pipes","","","Pipe Types","[1913643]","","","","","","","",""
"Pipes","","","Pipe Types","[1913755]","","","","","","","",""
"Pipes","","","Pipe Types","[1913757]","","","","","","","",""
"Pipes","","","Pipe Types","[1913761]","","","","","","","",""
"Pipes","","","Pipe Types","[1913806]","","","","","","","",""
"Pipes","","","Pipe Types","[2289941]","","","","","","","",""
"Pipes","","","Pipe Types","[2291352]","","","","","","","",""
"Pipes","","","Pipe Types","[2292263]","","","","","","","",""
"Pipes","","","Pipe Types","[2295230]","","","","","","","",""
"Pipes","","","Pipe Types","[2348654]","","","","","","","",""
"Pipes","","","Pipe Types","[2349176]","","","","","","","",""
"Pipes","","","Pipe Types","[2430562]","","","","","","","",""
"Pipes","","","Pipe Types","[2436446]","","","","","","","",""
"Pipes","","","Pipe Types","[2436449]","","","","","","","",""
"Pipes","","","Pipe Types","[2436450]","","","","","","","",""
"Pipes","","","Pipe Types","[2436454]","","","","","","","",""
"Pipes","","","Pipe Types","[2581168]","","","","","","","",""
"Pipes","","","Pipe Types","[2619093]","","","","","","","",""
"Pipes","","","Pipe Types","[3032224]","","","","","","","",""
"Pipes","","","Pipe Types","[3035983]","","","","","","","",""
"Pipes","","","Pipe Types","[3035986]","","","","","","","",""
"Pipes","","","Pipe Types","[3035988]","","","","","","","",""
"Pipes","","","Pipe Types","[3035991]","","","","","","","",""
"Pipes","","","Pipe Types","[3228123]","","","","","","","",""
"Pipes","","","Pipe Types","[3228260]","","","","","","","",""
"Pipes","","","Pipe Types","[3228367]","","","","","","","",""
"Pipes","","","Pipe Types","[3241386]","","","","","","","",""
"Pipes","","","Pipe Types","[3243992]","","","","","","","",""
"Pipes","","","Pipe Types","[3258044]","","","","","","","",""
"Pipes","","","Pipe Types","[3258338]","","","","","","","",""
"Pipes","","","Pipe Types","[3258341]","","","","","","","",""
"Pipes","","","Pipe Types","[3258597]","","","","","","","",""
"Pipes","","","Pipe Types","[3263219]","","","","","","","",""
"Pipes","","","Pipe Types","[3263230]","","","","","","","",""
"Pipes","","","Pipe Types","[3263870]","","","","","","","",""
"Pipes","","","Pipe Types","[3265164]","","","","","","","",""
"Pipes","","","Pipe Types","[3305907]","","","","","","","",""
"Pipes","","","Pipe Types","[3305918]","","","","","","","",""
"Pipes","","","Pipe Types","[3458449]","","","","","","","",""
"Pipes","","","Pipe Types","[3522871]","","","","","","","",""
"Pipes","","","Pipe Types","[3523114]","","","","","","","",""
"Pipes","","","Pipe Types","[3525199]","","","","","","","",""
"Pipes","","","Pipe Types","[3525263]","","","","","","","",""
"Pipes","","","Pipe Types","[3525427]","","","","","","","",""
"Pipes","","","Pipe Types","[3525475]","","","","","","","",""
"Pipes","","","Pipe Types","[3525545]","","","","","","","",""
"Pipes","","","Pipe Types","[3525727]","","","","","","","",""
"Pipes","","","Pipe Types","[3529246]","","","","","","","",""
"Pipes","","","Pipe Types","[3529459]","","","","","","","",""
"Pipes","","","Pipe Types","[3529468]","","","","","","","",""
"Pipes","","","Pipe Types","[3549081]","","","","","","","",""
"Pipes","","","Pipe Types","[3549166]","","","","","","","",""
"Pipes","","","Pipe Types","[3858604]","","","","","","","",""
"Pipes","","","Pipe Types","[3858638]","","","","","","","",""
"Pipes","","","Pipe Types","[3858898]","","","","","","","",""
"Pipes","","","Pipe Types","[3858950]","","","","","","","",""
"Pipes","","","Pipe Types","[3858959]","","","","","","","",""
"Pipes","","","Pipe Types","[3859049]","","","","","","","",""
"Pipes","","","Pipe Types","[3859058]","","","","","","","",""
"Pipes","","","Pipe Types","[3859081]","","","","","","","",""
"Pipes","","","Pipe Types","[3859090]","","","","","","","",""
"Pipes","","","Pipe Types","[3945355]","","","","","","","",""
"Pipes","","","Pipe Types","[3945408]","","","","","","","",""
"Pipes","","","Pipe Types","[3945787]","","","","","","","",""
"Pipes","","","Pipe Types","[3946286]","","","","","","","",""
"Pipes","","","Pipe Types","[3948795]","","","","","","","",""
"Pipes","","","Pipe Types","[4910190]","","","","","","","",""
"Pipes","","","Pipe Types","[5084470]","","","","","","","",""
"Pipes","","","Pipe Types","[5087466]","","","","","","","",""
"Pipes","","","Pipe Types","[5087650]","","","","","","","",""
"Pipes","","","Pipe Types","[5087736]","","","","","","","",""
"Pipes","","","Pipe Types","[5087739]","","","","","","","",""
"Pipes","","","Pipe Types","[5087742]","","","","","","","",""
"Pipes","","","Pipe Types","[5089691]","","","","","","","",""
