"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Electrical Equipment","ACM_ELEC_DB","DB-SS","ACM_ELEC_DB","[3315249]","","","","","DB-SS","",""
"Electrical Equipment","","","2000KVA TRANSFORMER","[3082460]","","","","","","","",""
"Electrical Equipment","","","2000KVA TRANSFORMER","[3082461]","","","","","","","",""
"Electrical Equipment","","","2000KVA TRANSFORMER","[3082462]","","","","","","","",""
"Floors","SPPG","SPPG","SPPG","[881106]","","","","","SPPG","<By Category>",""
"Lighting Fixtures","ACM_LIGT_Emergency Wall Light","Weather Proof","ACM_LIGT_Emergency Wall Light","[1264548]","","","","","Weather Proof","","Metal - Paint Finish - Ivory, Glossy"
"Lighting Fixtures","ACM_LIGT_Emergency Wall Light","Weather Proof","ACM_LIGT_Emergency Wall Light","[1264585]","","","","","Weather Proof","","Metal - Paint Finish - Ivory, Glossy"
"Lighting Fixtures","ACM_LIGT_Emergency Wall Light","Weather Proof","ACM_LIGT_Emergency Wall Light","[1698225]","","","","","Weather Proof","","Metal - Paint Finish - Ivory, Glossy"
"Lighting Fixtures","ACM_LIGT_Emergency Wall Light","Weather Proof","ACM_LIGT_Emergency Wall Light","[1698382]","","","","","Weather Proof","","Metal - Paint Finish - Ivory, Glossy"
"Lighting Fixtures","ACM_LIGT_Emergency Wall Light","Weather Proof","ACM_LIGT_Emergency Wall Light","[4493520]","","","","","Weather Proof","","Metal - Paint Finish - Ivory, Glossy"
"Lighting Fixtures","ACM_LIGT_LED Linear-Wall Mounted 1200","ACM_1200mm 34W_WP EB (L1)","ACM_LIGT_LED Linear-Wall Mounted 1200","[1638785]","","","","","ACM_1200mm 34W_WP EB (L1)","",""
"Lighting Fixtures","","","ACM_LIGT_Emergency Lighting-Surface Mounted","[1640900]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Emergency Lighting-Surface Mounted","[1640983]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Emergency Lighting-Surface Mounted","[1641089]","","","","","","","",""
