Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Structural Framing,LCBC_Precast T-Beam,1000x1400 PT,LCBC_Precast T-Beam,,,,Beam Precast,1000x1400 PT,ST-PRECAST CONC,
Structural Framing,LCBC_Precast L-Beam,1000x1200,LCBC_Precast L-Beam,,,,Beam Precast,1000x1200,ST-PRECAST CONC,
Structural Framing,LCBC_Precast Edge-Beam,1000x1000,LCBC_Precast Edge-Beam,,,,,1000x1000,ST-PRECAST CONC,
Structural Framing,LCBC_Concrete-Rectangular Beam1,1000Dx1000W,LCBC_Concrete-Rectangular Beam1,,,,,1000Dx1000W,ST-CONC,
Structural Framing,LCBC_Concrete-Rectangular Beam1,800Dx300W,LCBC_Concrete-Rectangular Beam1,,,,,800Dx300W,ST-CONC,
Structural Framing,LCBC_Concrete-Rectangular Beam1,1000Dx400W,LCBC_Concrete-Rectangular Beam1,,,,,1000Dx400W,ST-CONC,
Structural Framing,LCBC_Concrete-Rectangular Beam1,1100Dx300W (Coupling Beam),LCBC_Concrete-Rectangular Beam1,,,,,1100Dx300W (Coupling Beam),ST-Coupling Beam,
Structural Framing,LCBC_Concrete-Rectangular Beam1,300Dx150W,LCBC_Concrete-Rectangular Beam1,,,,,300Dx150W,ST-CONC,
Structural Framing,LCBC_Concrete-Rectangular Beam2,1100Dx300W (Coupling Beam) 2,LCBC_Concrete-Rectangular Beam2,,,,,1100Dx300W (Coupling Beam) 2,ST-Coupling Beam,
Structural Framing,LCBC_Concrete-Rectangular Beam2,3500Dx300W (Coupling Beam),LCBC_Concrete-Rectangular Beam2,,,,,3500Dx300W (Coupling Beam),ST-Coupling Beam,
Structural Framing,LCBC_Concrete-Rectangular Beam2,1000Dx375W,LCBC_Concrete-Rectangular Beam2,,,,,1000Dx375W,ST-CONC,
Structural Framing,LCBC_Concrete-Rectangular Beam2,1900Dx300W (Coupling Beam),LCBC_Concrete-Rectangular Beam2,,,,,1900Dx300W (Coupling Beam),ST-Coupling Beam,
Structural Framing,LCBC_Concrete-Rectangular Beam2,1700Dx300W (Coupling Beam),LCBC_Concrete-Rectangular Beam2,,,,,1700Dx300W (Coupling Beam),ST-Coupling Beam,
Floors,Floor,LCBC_Struct_FL_360mm HCS w/ 75mm Topping,Floor,,,360mm HCS with 75mm Topping,360,LCBC_Struct_FL_360mm HCS w/ 75mm Topping,ST-HOLLOWCORE,
Floors,Floor,LCBC_Struct_FL_250mm,Floor,,,250mm THK RC FLOOR SLAB,,LCBC_Struct_FL_250mm,ST-CONC,
Floors,Floor,LCBC_Struct_FL_300mm,Floor,,,300mm THK RC FLOOR SLAB,,LCBC_Struct_FL_300mm,ST-CONC,
Floors,Floor,LCBC_Struct_FL_50mm,Floor,,,50mm THK RC FLOOR SLAB,,LCBC_Struct_FL_50mm,ST-CONC,
Structural Columns,LCBC_Concrete-Rectangular-Column,1000 x 1000,LCBC_Concrete-Rectangular-Column,,,,,1000 x 1000,ST-Precast Column,
Structural Columns,LCBC_Concrete-Rectangular-Column,1000 x 1000 Topping,LCBC_Concrete-Rectangular-Column,,,,,1000 x 1000 Topping,ST-Precast Column,
Walls,Basic Wall,LCBC_IN_W4_300mm,Basic Wall,B2010120,Ext. Wall - Precast,300mm THK PC WALL,W4,LCBC_IN_W4_300mm,LCBC_Concrete,
Walls,Basic Wall,LCBC_IN_RC_PARAPET WALL_150mm,Basic Wall,B1010210,Bearing Walls - CIP,150MM THK PARAPET WALL,,LCBC_IN_RC_PARAPET WALL_150mm,ST-PARAPET WALL,
Walls,Basic Wall,LCBC_IN_RC KERB_100 x 300H,Basic Wall,B2010120,Ext. Wall - Precast,100mm THK RC KERB,,LCBC_IN_RC KERB_100 x 300H,LCBC_RC KERB,
