"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Walls","Curtain Wall","BLDG 2_External CW-downhung","JTC_PEPL_B2_GL1-VISION GLASS","[1230756]","","","","","JTC_PEPL_B2_GL1-VISION GLASS","",""
"Walls","Curtain Wall","BLDG 2_External CW-downhung","Rectangular Mullion","[1236599]","","","","","B2_Mullion glass to glass","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","BLDG 2_External CW-downhung","JTC_PEPL_B2_GL1-VISION GLASS","[1236916]","","","","","JTC_PEPL_B2_GL1-VISION GLASS","",""
"Walls","Curtain Wall","BLDG 2_External CW-downhung","Rectangular Mullion","[1236960]","","","","","JTC-B2_Left mullion border","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","BLDG 2_External CW-downhung","JTC_PEPL_B2_GL1-VISION GLASS","[1237058]","","","","","JTC_PEPL_B2_GL1-VISION GLASS","",""
"Walls","Curtain Wall","BLDG 2_External CW-downhung","Rectangular Mullion","[1237064]","","","","","B2_Mullion glass to glass","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","BLDG 2_External CW-downhung","JTC_PEPL_B2_GL1-VISION GLASS","[1237144]","","","","","JTC_PEPL_B2_GL1-VISION GLASS","",""
"Walls","Curtain Wall","BLDG 2_External CW-downhung","Rectangular Mullion","[1237150]","","","","","B2_Mullion glass to glass","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","BLDG 2_External CW-downhung","JTC_PEPL_B2_GL1-VISION GLASS","[1237200]","","","","","JTC_PEPL_B2_GL1-VISION GLASS","",""
"Walls","Curtain Wall","BLDG 2_External CW-downhung","Rectangular Mullion","[1237206]","","","","","B2_Mullion glass to glass","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","BLDG 2_External CW-downhung","JTC_PEPL_B2_GL1-VISION GLASS","[1237380]","","","","","JTC_PEPL_B2_GL1-VISION GLASS","",""
"Walls","Curtain Wall","BLDG 2_External CW-downhung","Rectangular Mullion","[1237386]","","","","","B2_Mullion glass to glass","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","BLDG 2_External CW-downhung","JTC_PEPL_B2_GL1-VISION GLASS","[1238095]","","","","","JTC_PEPL_B2_GL1-VISION GLASS","",""
"Walls","Curtain Wall","BLDG 2_External CW-downhung","Rectangular Mullion","[1238101]","","","","","B2_Mullion glass to glass","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","BLDG 2_External CW-downhung","JTC_PEPL_B2_GL1-VISION GLASS","[1238171]","","","","","JTC_PEPL_B2_GL1-VISION GLASS","",""
"Walls","Curtain Wall","BLDG 2_External CW-downhung","Rectangular Mullion","[1238177]","","","","","B2_Mullion glass to glass","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","BLDG 2_External CW-downhung","JTC_PEPL_B2_GL1-VISION GLASS","[1238229]","","","","","JTC_PEPL_B2_GL1-VISION GLASS","",""
"Walls","Curtain Wall","BLDG 2_External CW-downhung","Rectangular Mullion","[1238235]","","","","","B2_Mullion glass to glass","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","BLDG 2_External CW-downhung","JTC_PEPL_B2_GL1-VISION GLASS","[1238309]","","","","","JTC_PEPL_B2_GL1-VISION GLASS","",""
"Walls","Curtain Wall","BLDG 2_External CW-downhung","Rectangular Mullion","[1238315]","","","","","B2_Mullion glass to glass","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","BLDG 2_External CW-downhung","Rectangular Mullion","[1245286]","","","","","B2_Transom Downhung","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","BLDG 2_External CW-downhung","Rectangular Mullion","[1245287]","","","","","B2_Transom Downhung","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","BLDG 2_External CW-downhung","Rectangular Mullion","[1245288]","","","","","B2_Transom Downhung","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","BLDG 2_External CW-downhung","Rectangular Mullion","[1245289]","","","","","B2_Transom Downhung","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","BLDG 2_External CW-downhung","Rectangular Mullion","[1245290]","","","","","B2_Transom Downhung","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","BLDG 2_External CW-downhung","Rectangular Mullion","[1245291]","","","","","B2_Transom Downhung","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","BLDG 2_External CW-downhung","Rectangular Mullion","[1245292]","","","","","B2_Transom Downhung","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","BLDG 2_External CW-downhung","Rectangular Mullion","[1245293]","","","","","B2_Transom Downhung","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","BLDG 2_External CW-downhung","Rectangular Mullion","[1245294]","","","","","B2_Transom Downhung","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","BLDG 2_External CW-downhung","Rectangular Mullion","[1245295]","","","","","B2_Transom Downhung","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","BLDG 2_External CW-downhung","Rectangular Mullion","[1272402]","","","","","BLDG 2_CW_STACKJOINT TOP","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","BLDG 2_External CW-downhung","Rectangular Mullion","[1272403]","","","","","BLDG 2_CW_STACKJOINT TOP","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","BLDG 2_External CW-downhung","Rectangular Mullion","[1272404]","","","","","BLDG 2_CW_STACKJOINT TOP","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","BLDG 2_External CW-downhung","Rectangular Mullion","[1272405]","","","","","BLDG 2_CW_STACKJOINT TOP","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","BLDG 2_External CW-downhung","Rectangular Mullion","[1272406]","","","","","BLDG 2_CW_STACKJOINT TOP","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","BLDG 2_External CW-downhung","Rectangular Mullion","[1272407]","","","","","BLDG 2_CW_STACKJOINT TOP","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","BLDG 2_External CW-downhung","Rectangular Mullion","[1272408]","","","","","BLDG 2_CW_STACKJOINT TOP","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","BLDG 2_External CW-downhung","Rectangular Mullion","[1272409]","","","","","BLDG 2_CW_STACKJOINT TOP","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","BLDG 2_External CW-downhung","Rectangular Mullion","[1272410]","","","","","BLDG 2_CW_STACKJOINT TOP","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","BLDG 2_External CW-downhung","Rectangular Mullion","[1272411]","","","","","BLDG 2_CW_STACKJOINT TOP","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","BLDG 2_External CW-downhung","Rectangular Mullion","[1319453]","","","","","B2_Mullion_Corner Left","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","BLDG 2_External CW-downhung","JTC_PEPL_B2_GL1-VISION GLASS","[1809523]","","","","","JTC_PEPL_B2_GL1-VISION GLASS","",""
