"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Data Devices","","","PB_ELV_IT_Outlet_Wall Surface","[1491935]","","","","","","","",""
"Data Devices","","","PB_ELV_IT_Outlet_Wall Surface","[1510221]","","","","","","","",""
"Data Devices","","","PB_ELV_IT_Outlet_Wall Surface","[1510223]","","","","","","","",""
"Data Devices","","","PB_ELV_IT_Outlet_Wall Surface","[1510267]","","","","","","","",""
"Data Devices","","","PB_ELV_IT_Outlet_Wall Surface","[1735367]","","","","","","","",""
"Data Devices","","","PB_ELV_IT_Outlet_Wall Surface","[1735418]","","","","","","","",""
"Data Devices","","","PB_ELV_IT_Outlet_Wall Surface","[1735547]","","","","","","","",""
"Data Devices","","","PB_ELV_IT_Outlet_Wall Surface","[1735661]","","","","","","","",""
"Data Devices","","","PB_ELV_IT_Outlet_Wall Surface","[1735675]","","","","","","","",""
"Data Devices","","","PB_ELV_IT_Outlet_Wall Surface","[1735713]","","","","","","","",""
"Data Devices","","","PB_ELV_IT_Outlet_Wall Surface","[1735852]","","","","","","","",""
"Data Devices","","","PB_ELV_IT_Outlet_Wall Surface","[1735878]","","","","","","","",""
"Data Devices","","","PB_ELV_IT_Outlet_Wall Surface","[1736018]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2868813]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2870048]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2872031]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2873386]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2873654]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2873671]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2875546]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2875675]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2875809]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2877061]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2877791]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2878536]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2879087]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2879273]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2879896]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2880005]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2880224]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2880301]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2880630]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2880726]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2880746]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2881227]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2881282]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2881300]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2881773]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2882221]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2882877]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2882897]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2884381]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2886611]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2887010]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2887222]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2888022]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2888593]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2888654]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2889026]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2889560]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2889793]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2889797]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2889798]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2889807]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2889810]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2889812]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2890375]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2890759]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2891662]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2893803]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2894427]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2894444]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2894683]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2894724]","","","","","","","",""
"Data Devices","","","TEE_Data Devices_Data Outlet","[2895944]","","","","","","","",""
