"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Walls","Basic Wall","L166_PLASTER_20mm","Basic Wall","[4851004]","B2010120","Ext. Wall - Precast","20mm THK Plaster","","L166_PLASTER_20mm","L166_Plaster",""
"Walls","Basic Wall","L166_PLASTER_20mm","Basic Wall","[4851095]","B2010120","Ext. Wall - Precast","20mm THK Plaster","","L166_PLASTER_20mm","L166_Plaster",""
"Walls","Basic Wall","L166_PLASTER_20mm","Basic Wall","[4851353]","B2010120","Ext. Wall - Precast","20mm THK Plaster","","L166_PLASTER_20mm","L166_Plaster",""
"Walls","Basic Wall","L166_PLASTER_20mm","Basic Wall","[4879217]","B2010120","Ext. Wall - Precast","20mm THK Plaster","","L166_PLASTER_20mm","L166_Plaster",""
"Walls","Basic Wall","L166_PLASTER_20mm","Basic Wall","[4879219]","B2010120","Ext. Wall - Precast","20mm THK Plaster","","L166_PLASTER_20mm","L166_Plaster",""
"Walls","Basic Wall","L166_PLASTER_20mm","Basic Wall","[4879221]","B2010120","Ext. Wall - Precast","20mm THK Plaster","","L166_PLASTER_20mm","L166_Plaster",""
"Walls","Basic Wall","L166_PLASTER_20mm","Basic Wall","[4879222]","B2010120","Ext. Wall - Precast","20mm THK Plaster","","L166_PLASTER_20mm","L166_Plaster",""
"Walls","Basic Wall","L166_PLASTER_20mm","Basic Wall","[4879223]","B2010120","Ext. Wall - Precast","20mm THK Plaster","","L166_PLASTER_20mm","L166_Plaster",""
"Walls","Basic Wall","L166_PLASTER_20mm","Basic Wall","[4879225]","B2010120","Ext. Wall - Precast","20mm THK Plaster","","L166_PLASTER_20mm","L166_Plaster",""
"Walls","Basic Wall","L166_PLASTER_20mm","Basic Wall","[4879227]","B2010120","Ext. Wall - Precast","20mm THK Plaster","","L166_PLASTER_20mm","L166_Plaster",""
"Walls","Basic Wall","L166_PLASTER_20mm","Basic Wall","[4879229]","B2010120","Ext. Wall - Precast","20mm THK Plaster","","L166_PLASTER_20mm","L166_Plaster",""
"Walls","Basic Wall","L166_PLASTER_20mm","Basic Wall","[4879258]","B2010120","Ext. Wall - Precast","20mm THK Plaster","","L166_PLASTER_20mm","L166_Plaster",""
"Walls","Basic Wall","L166_PLASTER_20mm","Basic Wall","[4879464]","B2010120","Ext. Wall - Precast","20mm THK Plaster","","L166_PLASTER_20mm","L166_Plaster",""
"Walls","Basic Wall","L166_PLASTER_20mm","Basic Wall","[4879465]","B2010120","Ext. Wall - Precast","20mm THK Plaster","","L166_PLASTER_20mm","L166_Plaster",""
"Walls","Basic Wall","L166_PLASTER_20mm","Basic Wall","[4879472]","B2010120","Ext. Wall - Precast","20mm THK Plaster","","L166_PLASTER_20mm","L166_Plaster",""
"Walls","Basic Wall","L166_PLASTER_20mm","Basic Wall","[4879473]","B2010120","Ext. Wall - Precast","20mm THK Plaster","","L166_PLASTER_20mm","L166_Plaster",""
"Walls","Basic Wall","L166_PLASTER_20mm","Basic Wall","[4879474]","B2010120","Ext. Wall - Precast","20mm THK Plaster","","L166_PLASTER_20mm","L166_Plaster",""
"Walls","Basic Wall","L166_PLASTER_20mm","Basic Wall","[4879542]","B2010120","Ext. Wall - Precast","20mm THK Plaster","","L166_PLASTER_20mm","L166_Plaster",""
"Walls","Basic Wall","L166_PLASTER_20mm","Basic Wall","[4879543]","B2010120","Ext. Wall - Precast","20mm THK Plaster","","L166_PLASTER_20mm","L166_Plaster",""
"Walls","Basic Wall","L166_PLASTER_20mm","Basic Wall","[4879544]","B2010120","Ext. Wall - Precast","20mm THK Plaster","","L166_PLASTER_20mm","L166_Plaster",""
"Walls","Basic Wall","L166_PLASTER_20mm","Basic Wall","[4879545]","B2010120","Ext. Wall - Precast","20mm THK Plaster","","L166_PLASTER_20mm","L166_Plaster",""
"Walls","Basic Wall","L166_PLASTER_20mm","Basic Wall","[4879547]","B2010120","Ext. Wall - Precast","20mm THK Plaster","","L166_PLASTER_20mm","L166_Plaster",""
"Walls","Basic Wall","L166_PLASTER_20mm","Basic Wall","[4879550]","B2010120","Ext. Wall - Precast","20mm THK Plaster","","L166_PLASTER_20mm","L166_Plaster",""
"Walls","Basic Wall","L166_PLASTER_20mm","Basic Wall","[4879554]","B2010120","Ext. Wall - Precast","20mm THK Plaster","","L166_PLASTER_20mm","L166_Plaster",""
"Walls","Basic Wall","L166_PLASTER_20mm","Basic Wall","[4879555]","B2010120","Ext. Wall - Precast","20mm THK Plaster","","L166_PLASTER_20mm","L166_Plaster",""
"Walls","Basic Wall","L166_PLASTER_20mm","Basic Wall","[4879556]","B2010120","Ext. Wall - Precast","20mm THK Plaster","","L166_PLASTER_20mm","L166_Plaster",""
"Walls","Basic Wall","L166_PLASTER_20mm","Basic Wall","[4880890]","B2010120","Ext. Wall - Precast","20mm THK Plaster","","L166_PLASTER_20mm","L166_Plaster",""
"Walls","Basic Wall","L166_PLASTER_20mm","Basic Wall","[4880972]","B2010120","Ext. Wall - Precast","20mm THK Plaster","","L166_PLASTER_20mm","L166_Plaster",""
"Walls","Basic Wall","L166_PLASTER_20mm","Basic Wall","[4880982]","B2010120","Ext. Wall - Precast","20mm THK Plaster","","L166_PLASTER_20mm","L166_Plaster",""
"Walls","Basic Wall","L166_PLASTER_20mm","Basic Wall","[4880983]","B2010120","Ext. Wall - Precast","20mm THK Plaster","","L166_PLASTER_20mm","L166_Plaster",""
"Walls","Basic Wall","L166_PLASTER_20mm","Basic Wall","[4881069]","B2010120","Ext. Wall - Precast","20mm THK Plaster","","L166_PLASTER_20mm","L166_Plaster",""
"Walls","Basic Wall","L166_PLASTER_20mm","Basic Wall","[4881072]","B2010120","Ext. Wall - Precast","20mm THK Plaster","","L166_PLASTER_20mm","L166_Plaster",""
"Walls","Basic Wall","L166_PLASTER_20mm","Basic Wall","[4881760]","B2010120","Ext. Wall - Precast","20mm THK Plaster","","L166_PLASTER_20mm","L166_Plaster",""
"Walls","Basic Wall","L166_PLASTER_20mm","Basic Wall","[4881761]","B2010120","Ext. Wall - Precast","20mm THK Plaster","","L166_PLASTER_20mm","L166_Plaster",""
"Walls","Basic Wall","L166_PLASTER_20mm","Basic Wall","[4933623]","B2010120","Ext. Wall - Precast","20mm THK Plaster","","L166_PLASTER_20mm","L166_Plaster",""
"Walls","Basic Wall","L166_PLASTER_20mm","Basic Wall","[4933801]","B2010120","Ext. Wall - Precast","20mm THK Plaster","","L166_PLASTER_20mm","L166_Plaster",""
"Walls","Basic Wall","L166_PLASTER_20mm","Basic Wall","[4974860]","B2010120","Ext. Wall - Precast","20mm THK Plaster","","L166_PLASTER_20mm","L166_Plaster",""
"Walls","Basic Wall","L166_PLASTER_20mm","Basic Wall","[4986303]","B2010120","Ext. Wall - Precast","20mm THK Plaster","","L166_PLASTER_20mm","L166_Plaster",""
"Walls","Basic Wall","L166_PLASTER_20mm","Basic Wall","[5011620]","B2010120","Ext. Wall - Precast","20mm THK Plaster","","L166_PLASTER_20mm","L166_Plaster",""
"Walls","Basic Wall","L166_PLASTER_20mm","Basic Wall","[5139275]","B2010120","Ext. Wall - Precast","20mm THK Plaster","","L166_PLASTER_20mm","L166_Plaster",""
"Walls","Basic Wall","L166_PLASTER_20mm","Basic Wall","[5142780]","B2010120","Ext. Wall - Precast","20mm THK Plaster","","L166_PLASTER_20mm","L166_Plaster",""
"Walls","Basic Wall","L166_Wall 3C_150mm(35 COAT)","Basic Wall","[4878897]","3C:CN60","","150mm THK PC WALL","","L166_Wall 3C_150mm(35 COAT)","00_L166_PRECAST WALL",""
"Walls","Basic Wall","L166_Wall 3C_150mm(35 COAT)","Basic Wall","[4878907]","3C:CN60","","150mm THK PC WALL","","L166_Wall 3C_150mm(35 COAT)","00_L166_PRECAST WALL",""
"Walls","Basic Wall","L166_Wall 3C_150mm(35 COAT)","Basic Wall","[4878920]","3C:CN60","","150mm THK PC WALL","","L166_Wall 3C_150mm(35 COAT)","00_L166_PRECAST WALL",""
"Walls","Basic Wall","L166_Wall 3C_150mm","Basic Wall","[4878908]","3C:CN60","","150mm THK PC WALL","","L166_Wall 3C_150mm","00_L166_PRECAST WALL",""
"Walls","Basic Wall","L166_Wall 3C_150mm","Basic Wall","[4878910]","3C:CN60","","150mm THK PC WALL","","L166_Wall 3C_150mm","00_L166_PRECAST WALL",""
"Walls","Basic Wall","L166_Wall 3C_150mm","Basic Wall","[4878915]","3C:CN60","","150mm THK PC WALL","","L166_Wall 3C_150mm","00_L166_PRECAST WALL",""
"Walls","Basic Wall","L166_Wall 3C_150mm","Basic Wall","[4878925]","3C:CN60","","150mm THK PC WALL","","L166_Wall 3C_150mm","00_L166_PRECAST WALL",""
"Walls","Basic Wall","L166_Wall 3C_150mm","Basic Wall","[4878926]","3C:CN60","","150mm THK PC WALL","","L166_Wall 3C_150mm","00_L166_PRECAST WALL",""
"Walls","Basic Wall","L166_Wall 3C_150mm","Basic Wall","[4878935]","3C:CN60","","150mm THK PC WALL","","L166_Wall 3C_150mm","00_L166_PRECAST WALL",""
"Walls","Basic Wall","L166_Wall 3C_150mm","Basic Wall","[4878936]","3C:CN60","","150mm THK PC WALL","","L166_Wall 3C_150mm","00_L166_PRECAST WALL",""
"Walls","Basic Wall","L166_Wall 3C_150mm","Basic Wall","[4878942]","3C:CN60","","150mm THK PC WALL","","L166_Wall 3C_150mm","00_L166_PRECAST WALL",""
"Walls","Basic Wall","L166_Wall 3C_150mm","Basic Wall","[4878943]","3C:CN60","","150mm THK PC WALL","","L166_Wall 3C_150mm","00_L166_PRECAST WALL",""
"Walls","Basic Wall","L166_Wall 3C_150mm","Basic Wall","[4878944]","3C:CN60","","150mm THK PC WALL","","L166_Wall 3C_150mm","00_L166_PRECAST WALL",""
"Walls","Basic Wall","L166_Wall 3C_150mm","Basic Wall","[4878955]","3C:CN60","","150mm THK PC WALL","","L166_Wall 3C_150mm","00_L166_PRECAST WALL",""
"Walls","Basic Wall","L166_Wall 3C_150mm","Basic Wall","[4878969]","3C:CN60","","150mm THK PC WALL","","L166_Wall 3C_150mm","00_L166_PRECAST WALL",""
"Walls","Basic Wall","L166_Wall 3C_150mm","Basic Wall","[4879006]","3C:CN60","","150mm THK PC WALL","","L166_Wall 3C_150mm","00_L166_PRECAST WALL",""
