"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Structural Framing","LCBC_Concrete-Rectangular Beam3","800Dx325W","LCBC_Concrete-Rectangular Beam3","[2591537]","","","","","800Dx325W","LCBC_Concrete",""
"Structural Framing","LCBC_Concrete-Rectangular Beam3","800Dx325W","LCBC_Concrete-Rectangular Beam3","[2592559]","","","","","800Dx325W","LCBC_Concrete",""
"Structural Framing","LCBC_Concrete-Rectangular Beam3","800Dx400W","LCBC_Concrete-Rectangular Beam3","[2591539]","","","","","800Dx400W","LCBC_Concrete",""
"Structural Framing","LCBC_Concrete-Rectangular Beam3","800Dx400W","LCBC_Concrete-Rectangular Beam3","[2591541]","","","","","800Dx400W","LCBC_Concrete",""
"Structural Framing","LCBC_Concrete-Rectangular Beam3","800Dx400W","LCBC_Concrete-Rectangular Beam3","[2592561]","","","","","800Dx400W","LCBC_Concrete",""
"Structural Framing","LCBC_Concrete-Rectangular Beam3","800Dx400W","LCBC_Concrete-Rectangular Beam3","[2592563]","","","","","800Dx400W","LCBC_Concrete",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","500Dx600W","LCBC_Concrete-Rectangular Beam1","[2593944]","","","","","500Dx600W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","500Dx600W","LCBC_Concrete-Rectangular Beam1","[2594944]","","","","","500Dx600W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","500Dx600W","LCBC_Concrete-Rectangular Beam1","[2594968]","","","","","500Dx600W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","500Dx600W","LCBC_Concrete-Rectangular Beam1","[2594971]","","","","","500Dx600W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","500Dx600W","LCBC_Concrete-Rectangular Beam1","[2595098]","","","","","500Dx600W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","500Dx600W","LCBC_Concrete-Rectangular Beam1","[2595100]","","","","","500Dx600W","ST-CONC",""
