"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Structural Framing","LCBC_Precast T-Beam","1000x1500 PT PCB01a (LOWER ROOF)","LCBC_Precast T-Beam","[2522673]","","","","Beam Precast","1000x1500 PT PCB01a (LOWER ROOF)","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast T-Beam","1000x1500 PT PCB01a (LOWER ROOF)","LCBC_Precast T-Beam","[2522675]","","","","Beam Precast","1000x1500 PT PCB01a (LOWER ROOF)","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast T-Beam","1000x1500 PT PCB01a (LOWER ROOF)","LCBC_Precast T-Beam","[2522677]","","","","Beam Precast","1000x1500 PT PCB01a (LOWER ROOF)","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast T-Beam","1000x1500 PT PCB01a (LOWER ROOF)","LCBC_Precast T-Beam","[2522679]","","","","Beam Precast","1000x1500 PT PCB01a (LOWER ROOF)","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast T-Beam","1000x1500 PT PCB01a (LOWER ROOF)","LCBC_Precast T-Beam","[2522681]","","","","Beam Precast","1000x1500 PT PCB01a (LOWER ROOF)","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast T-Beam","1000x1500 PT PCB01a (LOWER ROOF)","LCBC_Precast T-Beam","[2522687]","","","","Beam Precast","1000x1500 PT PCB01a (LOWER ROOF)","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast T-Beam","1000x1500 PT PCB01a (LOWER ROOF)","LCBC_Precast T-Beam","[2522793]","","","","Beam Precast","1000x1500 PT PCB01a (LOWER ROOF)","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast T-Beam","1000x1500 PT PCB01a (LOWER ROOF)","LCBC_Precast T-Beam","[2620206]","","","","Beam Precast","1000x1500 PT PCB01a (LOWER ROOF)","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast T-Beam","1000x1500 PT PCB01a (LOWER ROOF)","LCBC_Precast T-Beam","[2620318]","","","","Beam Precast","1000x1500 PT PCB01a (LOWER ROOF)","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast Edge-Beam","1000x1000","LCBC_Precast Edge-Beam","[2522717]","","","","","1000x1000","ST-PRECAST CONC",""
