"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Structural Columns","LCBC_UC-Universal Columns-Column","UC254x254x89","LCBC_UC-Universal Columns-Column","[1800211]","","","","","UC254x254x89","Metal - Steel - 345 MPa",""
"Structural Columns","LCBC_UC-Universal Columns-Column","UC254x254x89","LCBC_UC-Universal Columns-Column","[1800213]","","","","","UC254x254x89","Metal - Steel - 345 MPa",""
"Structural Columns","LCBC_UC-Universal Columns-Column","UC254x254x89","LCBC_UC-Universal Columns-Column","[1800215]","","","","","UC254x254x89","Metal - Steel - 345 MPa",""
"Structural Columns","LCBC_UC-Universal Columns-Column","UC254x254x89","LCBC_UC-Universal Columns-Column","[1800217]","","","","","UC254x254x89","Metal - Steel - 345 MPa",""
"Structural Columns","LCBC_UC-Universal Columns-Column","UC254x254x89","LCBC_UC-Universal Columns-Column","[1800219]","","","","","UC254x254x89","Metal - Steel - 345 MPa",""
"Structural Columns","LCBC_UC-Universal Columns-Column","UC254x254x89","LCBC_UC-Universal Columns-Column","[1800221]","","","","","UC254x254x89","Metal - Steel - 345 MPa",""
"Structural Columns","LCBC_UC-Universal Columns-Column","UC254x254x89","LCBC_UC-Universal Columns-Column","[1800223]","","","","","UC254x254x89","Metal - Steel - 345 MPa",""
"Structural Columns","LCBC_UC-Universal Columns-Column","UC254x254x89","LCBC_UC-Universal Columns-Column","[1800225]","","","","","UC254x254x89","Metal - Steel - 345 MPa",""
"Structural Columns","LCBC_UC-Universal Columns-Column","UC254x254x89","LCBC_UC-Universal Columns-Column","[1800227]","","","","","UC254x254x89","Metal - Steel - 345 MPa",""
"Structural Columns","LCBC_UC-Universal Columns-Column","UC254x254x89","LCBC_UC-Universal Columns-Column","[1800229]","","","","","UC254x254x89","Metal - Steel - 345 MPa",""
"Structural Columns","LCBC_UC-Universal Columns-Column","UC254x254x89","LCBC_UC-Universal Columns-Column","[1800231]","","","","","UC254x254x89","Metal - Steel - 345 MPa",""
"Structural Columns","LCBC_UC-Universal Columns-Column","UC254x254x89","LCBC_UC-Universal Columns-Column","[1800233]","","","","","UC254x254x89","Metal - Steel - 345 MPa",""
"Structural Columns","LCBC_UC-Universal Columns-Column","UC254x254x89","LCBC_UC-Universal Columns-Column","[1800235]","","","","","UC254x254x89","Metal - Steel - 345 MPa",""
"Structural Columns","LCBC_UC-Universal Columns-Column","UC254x254x89","LCBC_UC-Universal Columns-Column","[1800239]","","","","","UC254x254x89","Metal - Steel - 345 MPa",""
"Structural Columns","LCBC_UC-Universal Columns-Column","UC254x254x89","LCBC_UC-Universal Columns-Column","[1800241]","","","","","UC254x254x89","Metal - Steel - 345 MPa",""
"Structural Columns","LCBC_UC-Universal Columns-Column","UC254x254x89","LCBC_UC-Universal Columns-Column","[1800243]","","","","","UC254x254x89","Metal - Steel - 345 MPa",""
