"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Floors","Floor","LCBC_Struct_FL_250mm","Floor","[2535986]","","","250mm THK RC FLOOR SLAB","","LCBC_Struct_FL_250mm","ST-CONC",""
"Floors","Floor","LCBC_Struct_FL_250mm","Floor","[2536255]","","","250mm THK RC FLOOR SLAB","","LCBC_Struct_FL_250mm","ST-CONC",""
"Floors","Floor","LCBC_Struct_FL_250mm","Floor","[2548626]","","","250mm THK RC FLOOR SLAB","","LCBC_Struct_FL_250mm","ST-CONC",""
"Floors","Floor","LCBC_Struct_FL_250mm","Floor","[2549973]","","","250mm THK RC FLOOR SLAB","","LCBC_Struct_FL_250mm","ST-CONC",""
"Floors","Floor","LCBC_Struct_FL_250mm","Floor","[2550101]","","","250mm THK RC FLOOR SLAB","","LCBC_Struct_FL_250mm","ST-CONC",""
"Floors","Floor","LCBC_Struct_FL_250mm","Floor","[2550197]","","","250mm THK RC FLOOR SLAB","","LCBC_Struct_FL_250mm","ST-CONC",""
"Floors","Floor","LCBC_Struct_FL_250mm","Floor","[2550380]","","","250mm THK RC FLOOR SLAB","","LCBC_Struct_FL_250mm","ST-CONC",""
"Floors","Floor","LCBC_Struct_FL_250mm","Floor","[2551835]","","","250mm THK RC FLOOR SLAB","","LCBC_Struct_FL_250mm","ST-CONC",""
"Floors","Floor","LCBC_Struct_FL_250mm","Floor","[2551994]","","","250mm THK RC FLOOR SLAB","","LCBC_Struct_FL_250mm","ST-CONC",""
"Floors","Floor","LCBC_Struct_FL_250mm","Floor","[2807300]","","","250mm THK RC FLOOR SLAB","","LCBC_Struct_FL_250mm","ST-CONC",""
"Floors","Floor","LCBC_Struct_FL_200mm","Floor","[2549473]","","","200mm THK RC FLOOR SLAB","","LCBC_Struct_FL_200mm","ST-CONC",""
"Floors","Floor","LCBC_Struct_FL_200mm","Floor","[2549766]","","","200mm THK RC FLOOR SLAB","","LCBC_Struct_FL_200mm","ST-CONC",""
"Floors","Floor","LCBC_Struct_FL_200mm","Floor","[2550275]","","","200mm THK RC FLOOR SLAB","","LCBC_Struct_FL_200mm","ST-CONC",""
"Floors","Floor","LCBC_Struct_FL_200mm","Floor","[2552774]","","","200mm THK RC FLOOR SLAB","","LCBC_Struct_FL_200mm","ST-CONC",""
"Floors","Floor","LCBC_Struct_FL_200mm","Floor","[2552954]","","","200mm THK RC FLOOR SLAB","","LCBC_Struct_FL_200mm","ST-CONC",""
"Floors","Floor","LCBC_Struct_FL_200mm","Floor","[2553236]","","","200mm THK RC FLOOR SLAB","","LCBC_Struct_FL_200mm","ST-CONC",""
"Floors","Floor","LCBC_Struct_FL_200mm","Floor","[2553277]","","","200mm THK RC FLOOR SLAB","","LCBC_Struct_FL_200mm","ST-CONC",""
"Floors","Floor","LCBC_Struct_FL_200mm","Floor","[2557016]","","","200mm THK RC FLOOR SLAB","","LCBC_Struct_FL_200mm","ST-CONC",""
"Floors","Floor","LCBC_Struct_FL_200mm","Floor","[2712481]","","","200mm THK RC FLOOR SLAB","","LCBC_Struct_FL_200mm","ST-CONC",""
"Floors","Floor","LCBC_Struct_FL_200mm","Floor","[2712542]","","","200mm THK RC FLOOR SLAB","","LCBC_Struct_FL_200mm","ST-CONC",""
"Floors","Floor","LCBC_Struct_FL_200mm","Floor","[2804564]","","","200mm THK RC FLOOR SLAB","","LCBC_Struct_FL_200mm","ST-CONC",""
"Floors","Floor","LCBC_Struct_FL_200mm","Floor","[2847441]","","","200mm THK RC FLOOR SLAB","","LCBC_Struct_FL_200mm","ST-CONC",""
"Floors","Floor","LCBC_Struct_FL_200mm","Floor","[2848012]","","","200mm THK RC FLOOR SLAB","","LCBC_Struct_FL_200mm","ST-CONC",""
"Floors","Floor","LCBC_Struct_FL_200mm","Floor","[2848567]","","","200mm THK RC FLOOR SLAB","","LCBC_Struct_FL_200mm","ST-CONC",""
"Floors","Floor","LCBC_Struct_FL_200mm","Floor","[2848754]","","","200mm THK RC FLOOR SLAB","","LCBC_Struct_FL_200mm","ST-CONC",""
"Floors","Floor","LCBC_Struct_FL_200mm","Floor","[2851117]","","","200mm THK RC FLOOR SLAB","","LCBC_Struct_FL_200mm","ST-CONC",""
"Floors","Floor","LCBC_Struct_PLINTH_150mm","Floor","[2839502]","","","150mm THK RC PLINTH","","LCBC_Struct_PLINTH_150mm","ST-CONC",""
"Floors","Floor","LCBC_Struct_PLINTH_150mm","Floor","[2839569]","","","150mm THK RC PLINTH","","LCBC_Struct_PLINTH_150mm","ST-CONC",""
"Floors","Floor","LCBC_Struct_PLINTH_150mm","Floor","[2839629]","","","150mm THK RC PLINTH","","LCBC_Struct_PLINTH_150mm","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2558325]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2558657]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2558700]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2558756]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2558932]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2559341]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2559548]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2559706]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2559843]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2800936]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2800938]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2800994]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2801135]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2801246]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2801328]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2801390]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2801491]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2801514]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2801620]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2801673]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2801807]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2801912]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2802315]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2802614]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2802670]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2802927]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2802929]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2803043]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2803135]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2803184]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2803321]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2803435]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2803437]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2803633]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2803823]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2804197]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2804268]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2804425]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2804637]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2804727]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2804758]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2804878]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2847559]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2847593]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2847626]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2847665]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2848176]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2848993]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2849033]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2849085]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2849161]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2849236]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2849238]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2849276]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2849313]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2851124]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2851126]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2851128]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2851130]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2855582]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2855813]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2855934]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2856012]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2856153]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx200W","LCBC_Concrete-Rectangular Beam1","[2856435]","","","","","400Dx200W","ST-CONC",""
"Structural Framing","LCBC_Concrete-Rectangular Beam1","400Dx300W","LCBC_Concrete-Rectangular Beam1","[2860838]","","","","","400Dx300W","ST-CONC",""
