Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Structural Columns,LCBC_Concrete-Rectangular-Column,1000 x 1000,LCBC_Concrete-Rectangular-Column,,,,,1000 x 1000,LCBC_Concrete,
Structural Columns,LCBC_Concrete-Rectangular-Column,1200 x 1200,LCBC_Concrete-Rectangular-Column,,,,,1200 x 1200,LCBC_Concrete,
Structural Columns,LCBC_Concrete-Rectangular-Column,300 x 300,LCBC_Concrete-Rectangular-Column,,,,,300 x 300,LCBC_Concrete,
Structural Columns,LCBC_Concrete-Rectangular-Column,600 x 600,LCBC_Concrete-Rectangular-Column,,,,,600 x 600,LCBC_Concrete,
Structural Columns,LCBC_Concrete-Rectangular-Column,400 x 400,LCBC_Concrete-Rectangular-Column,,,,,400 x 400,LCBC_Concrete,
Structural Columns,LCBC_Concrete-Rectangular-Column,350 x 350,LCBC_Concrete-Rectangular-Column,,,,,350 x 350,LCBC_Concrete,
Structural Columns,LCBC_Concrete-Rectangular-Column,300 x 350,LCBC_Concrete-Rectangular-Column,,,,,300 x 350,LCBC_Concrete,
Structural Columns,LCBC_Concrete-Rectangular-Column,790 x 600,LCBC_Concrete-Rectangular-Column,,,,,790 x 600,LCBC_Concrete,
Structural Columns,LCBC_Concrete-Rectangular-Column,250 x 400,LCBC_Concrete-Rectangular-Column,,,,,250 x 400,LCBC_Concrete,
Structural Columns,LCBC_Concrete-Rectangular-Column,400 x 200,LCBC_Concrete-Rectangular-Column,,,,,400 x 200,LCBC_Concrete,
Structural Columns,LCBC_Concrete-Rectangular-Column,250 x 250,LCBC_Concrete-Rectangular-Column,,,,,250 x 250,LCBC_Concrete,
Structural Columns,LCBC_UC-Universal Columns,UC254x254x89,LCBC_UC-Universal Columns,,,,,UC254x254x89,Metal - Steel - 345 MPa,
Structural Columns,UC-Universal Columns-Column,UC203x203x46,UC-Universal Columns-Column,,,,,UC203x203x46,Metal - Steel - 345 MPa,
Floors,Floor,LCBC_Struct_FL_150 mm_Variable,Floor,,,150mm THK RC FLOOR SLAB,,LCBC_Struct_FL_150 mm_Variable,LCBC_Concrete,
Floors,Floor,LCBC_Struct_FL_425 mm,Floor,,,425mm THK RC FLOOR SLAB,,LCBC_Struct_FL_425 mm,LCBC_Concrete,
Floors,Floor,LCBC_Struct_FL_450 mm,Floor,,,450mm THK RC FLOOR SLAB,,LCBC_Struct_FL_450 mm,LCBC_Concrete,
Floors,Floor,LCBC_Struct_FL_300mm,Floor,,,300mm THK RC FLOOR SLAB,,LCBC_Struct_FL_300mm,LCBC_Concrete,
Floors,Floor,LCBC_Struct_FL_350mm,Floor,,,350mm THK RC FLOOR SLAB,,LCBC_Struct_FL_350mm,LCBC_Concrete,
Floors,Floor,LCBC_Struct_FL_200 mm,Floor,,,200mm THK RC FLOOR SLAB,,LCBC_Struct_FL_200 mm,LCBC_Concrete,
Floors,Floor,LCBC_Struct_FL_200mm,Floor,,,200mm THK RC FLOOR SLAB,,LCBC_Struct_FL_200mm,LCBC_Concrete,
Floors,Floor,LCBC_Struct_FL_150 mm,Floor,,,150mm THK RC FLOOR SLAB,,LCBC_Struct_FL_150 mm,LCBC_Concrete,
Floors,Floor,LCBC_Struct_FL_250mm,Floor,,,250mm THK RC FLOOR SLAB,,LCBC_Struct_FL_250mm,LCBC_Concrete,
Floors,Floor,LCBC_Struct_FL_500 mm,Floor,,,500mm THK RC FLOOR SLAB,,LCBC_Struct_FL_500 mm,LCBC_Concrete,
Floors,Floor,STR-Conc Insitu Nwt RC (300mm),Floor,,,,,STR-Conc Insitu Nwt RC (300mm),LCBC_Concrete,
Floors,Floor,LCBC_Struct_FL_300 mm_Double Slab,Floor,,,200mm THK RC SLAB,,LCBC_Struct_FL_300 mm_Double Slab,LCBC_PLINTH,
Floors,Floor,LCBC_Struct_FL_500 mm_Variable,Floor,,,500mm THK RC FLOOR SLAB,,LCBC_Struct_FL_500 mm_Variable,LCBC_Concrete,
Floors,Floor,LCBC_Struct_FL_400mm,Floor,,,400mm THK RC FLOOR SLAB,,LCBC_Struct_FL_400mm,LCBC_Concrete,
Floors,Floor,LCBC_Struct_FL_375mm_Var,Floor,,,300mm THK RC FLOOR SLAB,,LCBC_Struct_FL_375mm_Var,LCBC_Concrete,
Floors,Floor,LCBC_Struct_FL_325mm,Floor,,,350mm THK RC FLOOR SLAB,,LCBC_Struct_FL_325mm,LCBC_Concrete,
Floors,Floor,LCBC_Struct_FL_150 mm_Double Slab,Floor,,,150mm THK RC SLAB,,LCBC_Struct_FL_150 mm_Double Slab,LCBC_PLINTH,
Floors,Floor,LCBC_Struct_FL_450mm_Var,Floor,,,300mm THK RC FLOOR SLAB,,LCBC_Struct_FL_450mm_Var,LCBC_Concrete,
Floors,Floor,LCBC_Struct_FL_300mm_Var,Floor,,,300mm THK RC FLOOR SLAB,,LCBC_Struct_FL_300mm_Var,LCBC_Concrete,
Floors,Floor,LCBC_Struct_FL_200 mm_Double Slab,Floor,,,200mm THK RC SLAB,,LCBC_Struct_FL_200 mm_Double Slab,LCBC_PLINTH,
Floors,Floor,LCBC_Struct_FL_Drain Floor_150 mm,Floor,,,150mm THK RC FLOOR SLAB,,LCBC_Struct_FL_Drain Floor_150 mm,LCBC_Concrete,
Floors,Floor,LCBC_Struct_Mass Concrete_327 mm,Floor,,,327mm THK MASS CONCRETE,,LCBC_Struct_Mass Concrete_327 mm,LCBC_Concrete,
Floors,Floor,LCBC_Struct_Mass Concrete_713 mm,Floor,,,713mm THK MASS CONCRETE,,LCBC_Struct_Mass Concrete_713 mm,LCBC_Concrete,
Floors,Floor,LCBC_Struct_Mass Concrete_537 mm,Floor,,,488mm THK MASS CONCRETE,,LCBC_Struct_Mass Concrete_537 mm,LCBC_Concrete,
Floors,Floor,LCBC_Struct_Mass Concrete_102 mm,Floor,,,102mm THK MASS CONCRETE,,LCBC_Struct_Mass Concrete_102 mm,LCBC_Concrete,
Floors,Floor,LCBC_Struct_Mass Concrete_85 mm_var,Floor,,,88mm THK MASS CONCRETE,,LCBC_Struct_Mass Concrete_85 mm_var,LCBC_Concrete,
Floors,Floor,LCBC_Struct_CTFL_50mm_Var,Floor,,,50mm THK RC FLOOR SLAB,,LCBC_Struct_CTFL_50mm_Var,LCBC_Concrete,
Floors,Floor,LCBC_Struct_CTFL_100mm_Var,Floor,,,50mm THK RC FLOOR SLAB,,LCBC_Struct_CTFL_100mm_Var,LCBC_Concrete,
Floors,Floor,LCBC_Struct_FL_400 mm_var,Floor,,,425mm THK RC FLOOR SLAB,,LCBC_Struct_FL_400 mm_var,LCBC_Concrete,
Floors,Floor,LCBC_Struct_FL_425 mm_var,Floor,,,425mm THK RC FLOOR SLAB,,LCBC_Struct_FL_425 mm_var,LCBC_Concrete,
Floors,Floor,LCBC_Struct_Mass Concrete_100 mm_var,Floor,,,102mm THK MASS CONCRETE,,LCBC_Struct_Mass Concrete_100 mm_var,LCBC_Concrete,
Floors,Floor,LCBC_Struct_FL_800mm,Floor,,,350mm THK RC FLOOR SLAB,,LCBC_Struct_FL_800mm,LCBC_Concrete,
Floors,Floor,LCBC_Struct_FL_950mm,Floor,,,350mm THK RC FLOOR SLAB,,LCBC_Struct_FL_950mm,LCBC_Concrete,
Floors,Floor,LCBC_Struct_Mass Concrete_150 mm_var,Floor,,,102mm THK MASS CONCRETE,,LCBC_Struct_Mass Concrete_150 mm_var,LCBC_Concrete,
Floors,Floor,LCBC_Struct_Mass Concrete_50 mm,Floor,,,88mm THK MASS CONCRETE,,LCBC_Struct_Mass Concrete_50 mm,LCBC_Concrete,
Floors,Floor,LCBC_Struct_Mass Concrete_450 mm,Floor,,,102mm THK MASS CONCRETE,,LCBC_Struct_Mass Concrete_450 mm,LCBC_Concrete,
Floors,Floor,LCBC_Struct_Mass Concrete_50 mm_var,Floor,,,88mm THK MASS CONCRETE,,LCBC_Struct_Mass Concrete_50 mm_var,LCBC_Concrete,
Floors,Floor,LCBC_Struct_Mass Concrete_175 mm,Floor,,,252mm THK MASS CONCRETE,,LCBC_Struct_Mass Concrete_175 mm,LCBC_Concrete,
Floors,Floor,LCBC_Struct_Mass Concrete_250 mm var,Floor,,,252mm THK MASS CONCRETE,,LCBC_Struct_Mass Concrete_250 mm var,LCBC_Concrete,
Floors,Floor,LCBC_Struct_CTFL_20mm_Var,Floor,,,50mm THK RC FLOOR SLAB,,LCBC_Struct_CTFL_20mm_Var,LCBC_Concrete,
Floors,Floor,LCBC_Struct_FL_200 mm Variable,Floor,,,200mm THK RC FLOOR SLAB,,LCBC_Struct_FL_200 mm Variable,LCBC_Concrete,
Floors,Floor,LCBC_Struct_CTFL_108.85mm_Var,Floor,,,50mm THK RC FLOOR SLAB,,LCBC_Struct_CTFL_108.85mm_Var,LCBC_Concrete,
Floors,Floor,LCBC_Struct_CTFL_109mm_Var,Floor,,,50mm THK RC FLOOR SLAB,,LCBC_Struct_CTFL_109mm_Var,LCBC_Concrete,
Floors,Floor,LCBC_Struct_CTFL_270mm_Var,Floor,,,50mm THK RC FLOOR SLAB,,LCBC_Struct_CTFL_270mm_Var,LCBC_Concrete,
Floors,Floor,LCBC_Struct_CTFL_233.944mm_Var,Floor,,,50mm THK RC FLOOR SLAB,,LCBC_Struct_CTFL_233.944mm_Var,LCBC_Concrete,
Floors,Floor,LCBC_Struct_CTFL_233.875mm_Var,Floor,,,50mm THK RC FLOOR SLAB,,LCBC_Struct_CTFL_233.875mm_Var,LCBC_Concrete,
Floors,Floor,LCBC_Struct_FL_325mm_var,Floor,,,350mm THK RC FLOOR SLAB,,LCBC_Struct_FL_325mm_var,LCBC_Concrete,
Floors,Floor,LCBC_AR_FL_50mm(Planting Area),Floor,,,,,LCBC_AR_FL_50mm(Planting Area),L166_Plant,
Floors,Floor,LCBC_Struct_CTFL_199.29mm_Var,Floor,,,50mm THK RC FLOOR SLAB,,LCBC_Struct_CTFL_199.29mm_Var,LCBC_Concrete,
Floors,Floor,LCBC_Struct_FL_750 mm,Floor,,,650mm THK RC FLOOR SLAB,,LCBC_Struct_FL_750 mm,LCBC_Concrete,
Floors,Floor,LCBC_Struct_Ramp_250mm,Floor,,,250mm THK RC FLOOR SLAB,,LCBC_Struct_Ramp_250mm,LCBC_Concrete,
Floors,Floor,LCBC_Struct_FL_425 mm_Double Slab,Floor,,,200mm THK RC SLAB,,LCBC_Struct_FL_425 mm_Double Slab,LCBC_PLINTH,
Floors,Floor,LCBC_Struct_FL_125mm,Floor,,,350mm THK RC FLOOR SLAB,,LCBC_Struct_FL_125mm,LCBC_Concrete,
Floors,Floor,LCBC_Struct_CTFL_55mm_Var,Floor,,,50mm THK RC FLOOR SLAB,,LCBC_Struct_CTFL_55mm_Var,LCBC_Concrete,
Floors,Floor,LCBC_Struct_CTFL_80mm_Var 2,Floor,,,50mm THK RC FLOOR SLAB,,LCBC_Struct_CTFL_80mm_Var 2,LCBC_Concrete,
Floors,Floor,LCBC_Struct_Corbel_650 mm,Floor,,,650mm THK RC Corbel,,LCBC_Struct_Corbel_650 mm,LCBC_Concrete,
