Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Plumbing Fixtures,,,WASTE SUMP,,,,,,,
Plumbing Fixtures,,,"SQUARE IC(900,700)",,,,,,,
Plumbing Fixtures,,,WASTE SUMP.CW GULLY TRAP,,,,,,,
Plumbing Fixtures,,,SEEPAGE SUMP,,,,,,,
Plumbing Fixtures,,,Floor Waste,,,,,,,
Plumbing Fixtures,,,Floor Trap,,,,,,,
Plumbing Fixtures,,,LCBC_Drain Sump,,,,,,,
Plumbing Fixtures,,,L166_Floor Waste,,,,,,,
Plumbing Fixtures,,,SQUARE IC,,,,,,,
Plumbing Fixtures,,,PB_GAS_Chamber_Non-Hosted,,,,,,,
Plumbing Fixtures,,,PB_PLUM_Chamber_Non-Hosted1,,,,,,,
Plumbing Fixtures,,,"ROUND IC(1050,1350)",,,,,,,
Pipe Fittings,,,M_Elbow - PVC - Sch 40,,,,,,,
Structural Framing,LCBC_Concrete-Rectangular Beam,1500Dx1500W,LCBC_Concrete-Rectangular Beam,,,,,1500Dx1500W,<By Category>,
Structural Foundations,LCBC_Pile Cap-3 Pile,3P1B_1800,LCBC_Pile Cap-3 Pile,A1010130,Pile Caps,,,3P1B_1800,Concrete - Cast-in-Place Concrete,
Floors,Floor,Generic 1800mm,Floor,,,,,Generic 1800mm,<By Category>,
