Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Generic Models,Below Pit Safety Switch (L-BD1-11),Below Pit Safety Switch (L-BD2-12),Below Pit Safety Switch (L-BD1-11),,,,,Below Pit Safety Switch (L-BD2-12),,
Generic Models,Below Pit Safety Switch (L-BD1-11),Below Pit Safety Switch (L-BD1-11),Below Pit Safety Switch (L-BD1-11),,,,,Below Pit Safety Switch (L-BD1-11),,
Generic Models,Below Pit Safety Switch (L-BD1-11),Below Pit Safety Switch (L-BD1.04),Below Pit Safety Switch (L-BD1-11),,,,,Below Pit Safety Switch (L-BD1.04),,
Generic Models,Below Pit Safety Switch (L-BD1-11),"Below Pit Safety Switch (L-BD1.01, 02 & 03)",Below Pit Safety Switch (L-BD1-11),,,,,"Below Pit Safety Switch (L-BD1.01, 02 & 03)",,
Generic Models,Below Pit Safety Switch (L-BD1-11),"Below Pit Safety Switch (L-BD1.05, 06, 07 & 08)",Below Pit Safety Switch (L-BD1-11),,,,,"Below Pit Safety Switch (L-BD1.05, 06, 07 & 08)",,
Generic Models,Below Pit Safety Switch (L-BD1-12 & 13),Below Pit Safety Switch (L-BD1-11),Below Pit Safety Switch (L-BD1-12 & 13),,,,,Below Pit Safety Switch (L-BD1-11),,
Generic Models,Cat Ladder (L-BD1.11),Cat Ladder (L-BD1.11),Cat Ladder (L-BD1.11),,,,,Cat Ladder (L-BD1.11),,
Generic Models,Cat Ladder (L-BD1.11),Cat Ladder (L-BD1.04),Cat Ladder (L-BD1.11),,,,,Cat Ladder (L-BD1.04),,
Generic Models,Cat Ladder (L-BD1.11),"Cat Ladder (L-BD1.01, 02 & 03)",Cat Ladder (L-BD1.11),,,,,"Cat Ladder (L-BD1.01, 02 & 03)",,
Generic Models,Pit Governor (L-BD1.11),Pit Governor (L-BD1.11),Pit Governor (L-BD1.11),,,,,Pit Governor (L-BD1.11),,
Generic Models,Top Pit Safety Switch (L-BD1-11),Top Pit Safety Switch (L-BD1-11),Top Pit Safety Switch (L-BD1-11),,,,,Top Pit Safety Switch (L-BD1-11),,
Generic Models,Top Pit Safety Switch (L-BD1-11),Top Pit Safety Switch (L-BD1.04),Top Pit Safety Switch (L-BD1-11),,,,,Top Pit Safety Switch (L-BD1.04),,
Generic Models,Top Pit Safety Switch (L-BD1-11),"Top Pit Safety Switch (L-BD1.01, 02 & 03)",Top Pit Safety Switch (L-BD1-11),,,,,"Top Pit Safety Switch (L-BD1.01, 02 & 03)",,
Generic Models,Top Pit Safety Switch (L-BD1-11),"Top Pit Safety Switch (L-BD1.05, 06, 07 & 08)",Top Pit Safety Switch (L-BD1-11),,,,,"Top Pit Safety Switch (L-BD1.05, 06, 07 & 08)",,
Generic Models,Cwt (L-BD1.11),Cwt (L-BD1.11),Cwt (L-BD1.11),,,,,Cwt (L-BD1.11),,
Generic Models,L-BD1.11 (Basement),L-BD1.11 (Basement),L-BD1.11 (Basement),,,,,L-BD1.11 (Basement),,
Generic Models,Cat Ladder (L-BD1.12 & 13),Cat Ladder (L-BD1.12 & 13),Cat Ladder (L-BD1.12 & 13),,,,,Cat Ladder (L-BD1.12 & 13),,
Generic Models,UPS (L-BD1.12 & 13),UPS (L-BD1.12 & 13),UPS (L-BD1.12 & 13),,,,,UPS (L-BD1.12 & 13),,
Generic Models,Control Panel (L-BD1.12 & 13),Control Panel (L-BD1.12 & 13),Control Panel (L-BD1.12 & 13),,,,,Control Panel (L-BD1.12 & 13),,
Generic Models,Top Governor (L-BD1.12 & 13),Top Governor (L-BD1.12 & 13),Top Governor (L-BD1.12 & 13),,,,,Top Governor (L-BD1.12 & 13),,
Generic Models,Pit Governor (L-BD1.12 & 13),Pit Governor (L-BD1.12 & 13),Pit Governor (L-BD1.12 & 13),,,,,Pit Governor (L-BD1.12 & 13),,
Generic Models,Separator Beam (BD1.12 & 13),Separator Beam (BD1.12 & 13),Separator Beam (BD1.12 & 13),,,,,Separator Beam (BD1.12 & 13),,
Generic Models,Pit Governor (L-BD1.04),Pit Governor (L-BD1.04),Pit Governor (L-BD1.04),,,,,Pit Governor (L-BD1.04),,
