Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Generic Models,,,LCBC_Opening Floor Pipe,,,,,,,
Generic Models,,,L166_Ladder Roof,,,,,,,
Generic Models,,,LCBC_Opening Floor,,,,,,,
Generic Models,L166_Tactile,LCBC_4 Tactile,L166_Tactile,,,,,LCBC_4 Tactile,,<By Category>
Generic Models,,,LCBC_Opening Wall,,,,,,,
Walls,Basic Wall,LCBC_EX_W3C_25P_ALC_20P_195mm,Basic Wall,3C:CN60,,150mm THK PC WALL,,LCBC_EX_W3C_25P_ALC_20P_195mm,00_L166_PRECAST WALL,
Walls,Basic Wall,LCBC_EX_W2E_25P_ALC_25P_250mm,Basic Wall,04:MS13,,200mm THK PC WALL,,LCBC_EX_W2E_25P_ALC_25P_250mm,00_L166_BLOCK WALL,
Walls,Basic Wall,LCBC_PLASTER_20mm,Basic Wall,B2010120,Ext. Wall - Precast,10mm THK SKIM COAT,,LCBC_PLASTER_20mm,<By Category>,
Walls,Basic Wall,LCBC_PLASTER_25mm,Basic Wall,B2010120,Ext. Wall - Precast,10mm THK SKIM COAT,,LCBC_PLASTER_25mm,<By Category>,
Walls,Basic Wall,LCBC_PLASTER_15mm,Basic Wall,B2010120,Ext. Wall - Precast,10mm THK SKIM COAT,,LCBC_PLASTER_15mm,<By Category>,
Walls,Basic Wall,LCBC_EX_W3C_15P_ALC_15P_180mm,Basic Wall,3C:CN60,,150mm THK PC WALL,,LCBC_EX_W3C_15P_ALC_15P_180mm,00_L166_PRECAST WALL,
Walls,Basic Wall,LCBC_EX_W3C_25P_ALC_15P_190mm,Basic Wall,3C:CN60,,150mm THK PC WALL,,LCBC_EX_W3C_25P_ALC_15P_190mm,00_L166_PRECAST WALL,
Walls,Basic Wall,LCBC_EX_W3C_25P_ALC_175mm,Basic Wall,3C:CN60,,150mm THK PC WALL,,LCBC_EX_W3C_25P_ALC_175mm,00_L166_PRECAST WALL,
Walls,Basic Wall,LCBC_EX_W3C_ALC_150mm,Basic Wall,3C:CN60,,150mm THK PC WALL,,LCBC_EX_W3C_ALC_150mm,00_L166_PRECAST WALL,
Walls,Basic Wall,LCBC_PLASTER_10mm,Basic Wall,B2010120,Ext. Wall - Precast,10mm THK SKIM COAT,,LCBC_PLASTER_10mm,<By Category>,
Walls,Basic Wall,LCBC_EX_W3C_15P_ALC_20P_185mm,Basic Wall,3C:CN60,,150mm THK PC WALL,,LCBC_EX_W3C_15P_ALC_20P_185mm,00_L166_PRECAST WALL,
Walls,Basic Wall,LCBC_EX_W3C_20P_ALC_170mm,Basic Wall,3C:CN60,,150mm THK PC WALL,,LCBC_EX_W3C_20P_ALC_170mm,00_L166_PRECAST WALL,
Floors,Floor,LCBC_AR_FL_50mm,Floor,,,800mm THK RC FLOOR SLAB,,LCBC_AR_FL_50mm,Default,
Floors,Floor,LCBC_AR_FL_50mm STFL,Floor,,,800mm THK RC FLOOR SLAB,,LCBC_AR_FL_50mm STFL,Default,
Floors,Floor,LCBC_AR_FL_300mm,Floor,,,,,LCBC_AR_FL_300mm,Concrete - Cast In Situ,
Floors,Floor,LCBC_AR_FL_150mm_Variable Slope,Floor,,,,,LCBC_AR_FL_150mm_Variable Slope,Concrete - Cast In Situ,
Floors,Floor,LCBC_AR_FL_50mm Variable,Floor,,,800mm THK RC FLOOR SLAB,,LCBC_AR_FL_50mm Variable,Default,
Floors,Floor,LCBC_AR_FL_25mm (Variable),Floor,,,800mm THK RC FLOOR SLAB,,LCBC_AR_FL_25mm (Variable),FN-CONC SCREED,
Floors,Floor,LCBC_AR_FL_25mm,Floor,,,25mm,,LCBC_AR_FL_25mm,FN-CONC SCREED,
Doors,L166_DD_Metal Door,S1800w x 2100h,L166_DD_Metal Door,,,Double Leaf Door,,S1800w x 2100h,,
Doors,L166_Metal Door,1000W x 2100HT,L166_Metal Door,,,Single Leaf Door,General Aluminium Door (Where Expose to Weather),1000W x 2100HT,,
Doors,L166_UD_Metal Door,1500 x 2100,L166_UD_Metal Door,,,Double Leaf Door,,1500 x 2100,,
Plumbing Fixtures,,,LCBC_Floor Waste (260Ø),,,,,,,
