Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Structural Foundations,LCBC_Bored Pile,3P1A,LCBC_Bored Pile,A1020130,Piles - Steel Pipe,,,3P1A,LCBC - Concrete,
Structural Foundations,LCBC_Bored Pile,3P1C,LCBC_Bored Pile,A1020130,Piles - Steel Pipe,,,3P1C,LCBC - Concrete,
Structural Foundations,LCBC_Bored Pile,1TP1E,LCBC_Bored Pile,A1020130,Piles - Steel Pipe,,,1TP1E,LCBC - Concrete,
Structural Foundations,LCBC_Bored Pile,2P1C/2P1D/2TP1D,LCBC_Bored Pile,A1020130,Piles - Steel Pipe,,,2P1C/2P1D/2TP1D,LCBC - Concrete,
Structural Foundations,LCBC_Bored Pile,10P1D,LCBC_Bored Pile,A1020130,Piles - Steel Pipe,,,10P1D,LCBC - Concrete,
Structural Foundations,LCBC_Bored Pile,4P1C/4TP1C/4TP1D,LCBC_Bored Pile,A1020130,Piles - Steel Pipe,,,4P1C/4TP1C/4TP1D,LCBC - Concrete,
Structural Foundations,LCBC_Bored Pile,3P1D/3TP1D,LCBC_Bored Pile,A1020130,Piles - Steel Pipe,,,3P1D/3TP1D,LCBC - Concrete,
Structural Foundations,LCBC_Bored Pile,4P1A/4P1B,LCBC_Bored Pile,A1020130,Piles - Steel Pipe,,,4P1A/4P1B,LCBC - Concrete,
Structural Foundations,LCBC_Bored Pile,3P1B,LCBC_Bored Pile,A1020130,Piles - Steel Pipe,,,3P1B,LCBC - Concrete,
Structural Foundations,LCBC_Bored Pile,11TP1D,LCBC_Bored Pile,A1020130,Piles - Steel Pipe,,,11TP1D,LCBC - Concrete,
Structural Foundations,LCBC_Bored Pile,7TP1D_2500,LCBC_Bored Pile,A1020130,Piles - Steel Pipe,,,7TP1D_2500,LCBC - Concrete,
Structural Foundations,LCBC_Bored Pile,16P1D_2500,LCBC_Bored Pile,A1020130,Piles - Steel Pipe,,,16P1D_2500,LCBC - Concrete,
