Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Walls,Curtain Wall,Curtain Wall_CeramicPanel,JTC_PEPL_08 GL1 vision glass,,,,,JTC_PEPL_08 GL1 vision glass,,
Walls,Curtain Wall,Curtain Wall_CeramicPanel,Rectangular Mullion,,,,,300mm ceramic Stack Joint 02,,JTC_Aluminium Mullion
Walls,Curtain Wall,Curtain Wall_CeramicPanel,Rectangular Mullion,,,,,300mm Glass Stack Joint 01,,JTC_Aluminium Mullion
Walls,Curtain Wall,Curtain Wall_CeramicPanel,Rectangular Mullion,,,,,vision glass to vision glass _Mullion,,JTC_Aluminium Mullion
Walls,Curtain Wall,Curtain Wall_CeramicPanel,JTC_PEPL_Ceramic tile 09-T20,,,,,JTC_PEPL_Ceramic tile 09-T20,,
Walls,Curtain Wall,Curtain Wall_CeramicPanel,Rectangular Mullion,,,,,300mm Glass Stack Joint 02,,JTC_Aluminium Mullion
Walls,Curtain Wall,Curtain Wall_CeramicPanel,Rectangular Mullion,,,,,300mm Ceramic Stack Joint 01,,JTC_Aluminium Mullion
Walls,Curtain Wall,Curtain Wall_CeramicPanel,Rectangular Mullion,,,,,Tipical Mullion Ceramic infill (300mm+200mm)_R,,JTC_Aluminium Mullion
Walls,Curtain Wall,Curtain Wall_CeramicPanel,Rectangular Mullion,,,,,Tipical Mullion Ceramic infill (300mm+200mm)_L,,JTC_Aluminium Mullion
Walls,Curtain Wall,Curtain Wall_CeramicPanel,Rectangular Mullion,,,,,Tipical Mullion Ceramic infill (300mm),,JTC_Aluminium Mullion
Walls,Curtain Wall,Curtain Wall_CeramicPanel,JTC_PEPL_Spandrel Glass,,,,,JTC_PEPL_Spandrel Glass,,
Walls,Curtain Wall,Curtain Wall_CeramicPanel,Rectangular Mullion,,,,,Tipical Transom -Glass,,JTC_Aluminium Mullion
Walls,Curtain Wall,Curtain Wall_CeramicPanel,Rectangular Mullion,,,,,FACADE_TRANSOM CERAMIC TO CERAMIC,,JTC_Aluminium Mullion
Walls,Curtain Wall,Curtain Wall_CeramicPanel,Rectangular Mullion,,,,,Sloop Mullion-ceramic_Right A,,JTC_Aluminium Mullion
Walls,Curtain Wall,Curtain Wall_CeramicPanel,Curtain Wall,,,,,Curtain Wall_CeramicPanel,<By Category>,
Walls,Curtain Wall,Curtain Wall_CeramicPanel,JTC_PEPL_08 GL1 vision glass_CORNER,,,,,JTC_PEPL_08 GL1 vision glass_CORNER,,
Walls,Curtain Wall,Curtain Wall_CeramicPanel,JTC_PEPL_Spandrel Glass corner 1,,,,,JTC_PEPL_Spandrel Glass corner 1,,
