Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Generic Models,,,LCBC_Opening Floor,,,,,,,
Generic Models,,,LCBC_22FX71,,,,,,,
Generic Models,,,LCBC_22FX47,,,,,,,
Generic Models,,,LCBC_Opening Floor Pipe,,,,,,,
Generic Models,LCBC_Tactile,LCBC_4 Tactile,LCBC_Tactile,,,Ceramic Tactiles,,LCBC_4 Tactile,,<By Category>
Generic Models,,,LCBC_Opening Wall,,,,,,,
Generic Models,,,LCBC_Opening Wall Pipe,,,,,,,
Generic Models,,,LCBC_22FX41,,,,,,,
Generic Models,LCBC_FIXED MIRROR,LCBC_Toilet Mirror,LCBC_FIXED MIRROR,,,Toilet Mirror,,LCBC_Toilet Mirror,,
Generic Models,,,LCBC_10TA2,,,,,,,
Generic Models,,,LCBC_22FX49,,,,,,,
Generic Models,,,LCBC_22FX61,,,,,,,
Generic Models,,,LCBC_10TA82_650,,,,,,,
Generic Models,,,LCBC_22FX45A,,,,,,,
Generic Models,,,LCBC_22FX51,,,,,,,
Generic Models,,,LCBC_22FX1,,,,,,,
Generic Models,,,LCBC_10TA12,,,,,,,
Generic Models,,,LCBC_22FX11,,,,,,,
Generic Models,,,LCBC_Toilet Grating,,,,,,,
Generic Models,,,LCBC_22FX2,,,,,,,
Generic Models,,,LCBC_22FX32,,,,,,,
Generic Models,,,LCBC_10TA81_GB830,,,,,,,
Generic Models,,,LCBC_10TA13,,,,,,,
Generic Models,,,LCBC_10TA21,,,,,,,
Generic Models,,,LCBC_10TA81_GB620,,,,,,,
Generic Models,,,LCBC_22FX21,,,,,,,
Generic Models,,,LCBC_22FX31,,,,,,,
Generic Models,,,LCBC_10TA93,,,,,,,
Generic Models,,,LCBC_10TA83,,,,,,,
Generic Models,,,LCBC_10TA81_GB700,,,,,,,
Generic Models,,,LCBC_22FX45,,,,,,,
Generic Models,,,LCBC_Toilet Ledge,,,,,,,
Generic Models,,,LCBC_Modesty Panel,,,,,,,
Generic Models,,,LCBC_Lavatory Supply,,,,,,,
Generic Models,,,LCBC_Opening Wall Pipe2,,,,,,,
Generic Models,,,LCBC_Opening Wall1,,,,,,,
Generic Models,,,LCBC_Opening Floor1,,,,,,,
Generic Models,,,LCBC_Refuse Chute,,,,,,,
Walls,Basic Wall,LCBC_EX_W150_25P_ALC_175mm,Basic Wall,B2010120,Ext. Wall - Precast,150mm THK ALC PANEL WITH PLASTER ON ONE SIDE,,LCBC_EX_W150_25P_ALC_175mm,00_L166_PRECAST WALL,
Walls,Basic Wall,LCBC_EX_W150_25_ALC,Basic Wall,04:MS13,,150mm THK PC WALL,,LCBC_EX_W150_25_ALC,00_L166_PRECAST WALL,
Walls,Basic Wall,LCBC_EX_W150_25_ALC_15,Basic Wall,04:MS13,,150mm THK PC WALL,,LCBC_EX_W150_25_ALC_15,00_L166_PRECAST WALL,
Walls,Basic Wall,LCBC_Wall 2E_200mm(25-25mm),Basic Wall,04:MS13,,200mm THK PC WALL,,LCBC_Wall 2E_200mm(25-25mm),00_L166_BLOCK WALL,
Walls,Basic Wall,LCBC_Wall 3C_150mm(20 COAT),Basic Wall,3C:CN60,,150mm THK PC WALL,,LCBC_Wall 3C_150mm(20 COAT),00_L166_PRECAST WALL,
