Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Floors,Floor,LCBC_AR_FL_100mm_ST01,Floor,,,GRANITE,,LCBC_AR_FL_100mm_ST01,<By Category>,
Floors,Floor,LCBC_AR_FL_1050mm(Planting Area),Floor,,,,,LCBC_AR_FL_1050mm(Planting Area),L166_Plant,
Floors,Floor,LCBC_AR_FL_50mm,Floor,,,50mm THK CEMENT SCREED,,LCBC_AR_FL_50mm,<By Category>,
Floors,Floor,LCBC_AR_FL_450mm(Planting Area),Floor,,,,,LCBC_AR_FL_450mm(Planting Area),L166_Plant,
Floors,Floor,LCBC_AR_FL_100mm_ST03_With Module,Floor,,,GRANITE,,LCBC_AR_FL_100mm_ST03_With Module,<By Category>,
Floors,Floor,LCBC_AR_FL_100mm,Floor,,,100mm THK CEMENT SCREED,,LCBC_AR_FL_100mm,<By Category>,
Floors,Floor,LCBC_AR_FL_100mm_TL01_Variable,Floor,,,,,LCBC_AR_FL_100mm_TL01_Variable,Concrete - Cast In Situ,
Floors,Floor,LCBC_AR_FL_100mm_ST02,Floor,,,GRANITE,,LCBC_AR_FL_100mm_ST02,<By Category>,
Floors,Floor,LCBC_AR_FL_150mm,Floor,,,,,LCBC_AR_FL_150mm,Concrete - Cast In Situ,
Floors,Floor,LCBC_AR_FL_35mm(Vinyl),Floor,,,35mm THK Raised Floor,,LCBC_AR_FL_35mm(Vinyl),<By Category>,
Floors,Floor,LCBC_AR_FL_100mm_ST03_Variable_With Module New,Floor,,,,,LCBC_AR_FL_100mm_ST03_Variable_With Module New,Concrete - Cast In Situ,
Floors,Floor,LCBC_AR_FL_100mm(Planter),Floor,,,,,LCBC_AR_FL_100mm(Planter),L166_Plant,
Floors,Floor,LCBC_AR_FL_50mm(Planting Area),Floor,,,,,LCBC_AR_FL_50mm(Planting Area),L166_Plant,
Floors,Floor,LCBC_AR_FL_550mm(Planting Area),Floor,,,,,LCBC_AR_FL_550mm(Planting Area),L166_Plant,
Floors,Floor,LCBC_AR_FL_150mm(Planter),Floor,,,,,LCBC_AR_FL_150mm(Planter),L166_Plant,
Floors,Floor,LCBC_AR_FL_100mm_ST01_Variable,Floor,,,,,LCBC_AR_FL_100mm_ST01_Variable,Concrete - Cast In Situ,
Floors,Floor,LCBC_AR_FL_150mm_ST01_Variable,Floor,,,,,LCBC_AR_FL_150mm_ST01_Variable,Concrete - Cast In Situ,
Floors,Floor,LCBC_AR_FL_150mm_ST02_Variable,Floor,,,,,LCBC_AR_FL_150mm_ST02_Variable,Concrete - Cast In Situ,
Floors,Floor,LCBC_AR_FL_700mm(Planting Area),Floor,,,,,LCBC_AR_FL_700mm(Planting Area),L166_Plant,
Floors,Floor,LCBC_AR_FL_1200mm(Planting Area),Floor,,,,,LCBC_AR_FL_1200mm(Planting Area),L166_Plant,
Floors,Floor,LCBC_AR_FL_600mm(Planting Area),Floor,,,,,LCBC_AR_FL_600mm(Planting Area),L166_Plant,
Floors,Floor,LCBC_AR_FL_1000mm(Planting Area),Floor,,,,,LCBC_AR_FL_1000mm(Planting Area),L166_Plant,
Floors,Floor,LCBC_AR_FL_850mm(Planting Area),Floor,,,,,LCBC_AR_FL_850mm(Planting Area),L166_Plant,
Floors,Floor,LCBC_AR_FL_1450mm(Planting Area),Floor,,,,,LCBC_AR_FL_1450mm(Planting Area),L166_Plant,
Floors,Floor,LCBC_AR_FL_13000mm(Planting Area),Floor,,,,,LCBC_AR_FL_13000mm(Planting Area),L166_Plant,
Floors,Floor,LCBC_AR_FL_400mm(Planting Area),Floor,,,,,LCBC_AR_FL_400mm(Planting Area),L166_Plant,
Floors,Floor,LCBC_AR_FL_100mm_ST02_Variable,Floor,,,,,LCBC_AR_FL_100mm_ST02_Variable,Concrete - Cast In Situ,
Floors,Floor,LCBC_AR_FL_100mm_ST03_With Module New,Floor,,,GRANITE,,LCBC_AR_FL_100mm_ST03_With Module New,<By Category>,
Floors,Floor,LCBC_AR_FL_100mm_ST03_Pattern Extension New,Floor,,,GRANITE,,LCBC_AR_FL_100mm_ST03_Pattern Extension New,<By Category>,
Floors,Floor,LCBC_AR_FL_1100mm(Planting Area),Floor,,,,,LCBC_AR_FL_1100mm(Planting Area),L166_Plant,
