Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Structural Framing,LCBC_Universal Beams,UB914x305x201,LCBC_Universal Beams,,,,,UB914x305x201,Metal - Steel - 345 MPa,
Structural Framing,LCBC_Universal Beams,UB610x229x101,LCBC_Universal Beams,,,,,UB610x229x101,Metal - Steel - 345 MPa,
Structural Framing,LCBC_Universal Beams,UB762x267x134,LCBC_Universal Beams,,,,,UB762x267x134,Metal - Steel - 345 MPa,
Structural Framing,LCBC_Universal Beams,UB610x178x82,LCBC_Universal Beams,,,,,UB610x178x82,Metal - Steel - 345 MPa,
Structural Framing,LCBC_Universal Beams,UB686x254x125,LCBC_Universal Beams,,,,,UB686x254x125,Metal - Steel - 345 MPa,
Structural Framing,LCBC_Universal Beams,UB1016x406x443,LCBC_Universal Beams,,,,,UB1016x406x443,Metal - Steel - 345 MPa,
Structural Framing,LCBC_Universal Beams,UB914x305x253,LCBC_Universal Beams,,,,,UB914x305x253,Metal - Steel - 345 MPa,
Structural Framing,LCBC_Universal Beams,UB914x305x201 B91D,LCBC_Universal Beams,,,,,UB914x305x201 B91D,Metal - Steel - 345 MPa,
Structural Framing,LCBC_Universal Beams,UB254x146x31,LCBC_Universal Beams,,,,,UB254x146x31,Metal - Steel - 345 MPa,
Structural Framing,LCBC_Concrete-Rectangular Beam1,1100Dx300W (Coupling Beam),LCBC_Concrete-Rectangular Beam1,,,,,1100Dx300W (Coupling Beam),LCBC_Concrete,
Structural Framing,LCBC_Concrete-Rectangular Beam1,900Dx300W,LCBC_Concrete-Rectangular Beam1,,,,,900Dx300W,LCBC_Concrete,
Structural Framing,LCBC_Concrete-Rectangular Beam1,400Dx220W,LCBC_Concrete-Rectangular Beam1,,,,,400Dx220W,LCBC_Concrete,
Structural Framing,LCBC_Concrete-Rectangular Beam1,700Dx500W,LCBC_Concrete-Rectangular Beam1,,,,,700Dx500W,LCBC_Concrete,
Structural Framing,LCBC_Concrete-Rectangular Beam1,1000Dx300W,LCBC_Concrete-Rectangular Beam1,,,,,1000Dx300W,LCBC_Concrete,
Structural Framing,LCBC_Concrete-Rectangular Beam1,450Dx200W,LCBC_Concrete-Rectangular Beam1,,,,,450Dx200W,LCBC_Concrete,
Floors,Floor,STR-Conc Bondek (Composite) (150mm),Floor,,,,,STR-Conc Bondek (Composite) (150mm),Concrete - Insitu Nwt,
