"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Mechanical Equipment","PB_SANI_Ejector Pump_Vertical Discharge_Non-Hosted","SANI","PB_SANI_Ejector Pump_Vertical Discharge_Non-Hosted","[913675]","","","","","SANI","",""
"Mechanical Equipment","","","Calpeda Pump","[1196254]","","","","","","","",""
"Mechanical Equipment","","","Calpeda Pump","[1613609]","","","","","","","",""
"Mechanical Equipment","","","Calpeda Pump","[2379992]","","","","","","","",""
"Mechanical Equipment","","","Calpeda Pump","[2379993]","","","","","","","",""
"Mechanical Equipment","","","Pressure_Vessel","[1207961]","","","","","","","",""
"Mechanical Equipment","","","Pressure_Vessel","[2380000]","","","","","","","",""
"Mechanical Equipment","","","50mm Automatic Backwash Filter","[1276310]","","","","","","","",""
"Mechanical Equipment","","","50mm Automatic Backwash Filter","[2380012]","","","","","","","",""
"Pipes","","","Pipe Types","[946703]","","","","","","","",""
"Pipes","","","Pipe Types","[946704]","","","","","","","",""
"Pipes","","","Pipe Types","[946705]","","","","","","","",""
"Pipes","","","Pipe Types","[946706]","","","","","","","",""
"Pipes","","","Pipe Types","[946731]","","","","","","","",""
"Pipes","","","Pipe Types","[946732]","","","","","","","",""
"Pipes","","","Pipe Types","[946739]","","","","","","","",""
"Pipes","","","Pipe Types","[946740]","","","","","","","",""
"Pipes","","","Pipe Types","[946743]","","","","","","","",""
"Pipes","","","Pipe Types","[946744]","","","","","","","",""
"Pipes","","","Pipe Types","[946747]","","","","","","","",""
"Pipes","","","Pipe Types","[946748]","","","","","","","",""
"Pipes","","","Pipe Types","[946759]","","","","","","","",""
"Pipes","","","Pipe Types","[946760]","","","","","","","",""
"Pipes","","","Pipe Types","[946765]","","","","","","","",""
"Pipes","","","Pipe Types","[946766]","","","","","","","",""
"Pipes","","","Pipe Types","[946771]","","","","","","","",""
"Pipes","","","Pipe Types","[946772]","","","","","","","",""
"Pipes","","","Pipe Types","[946817]","","","","","","","",""
"Pipes","","","Pipe Types","[946818]","","","","","","","",""
"Pipes","","","Pipe Types","[946821]","","","","","","","",""
"Pipes","","","Pipe Types","[946822]","","","","","","","",""
"Pipes","","","Pipe Types","[951919]","","","","","","","",""
"Pipes","","","Pipe Types","[951920]","","","","","","","",""
"Pipes","","","Pipe Types","[951943]","","","","","","","",""
"Pipes","","","Pipe Types","[951944]","","","","","","","",""
"Pipes","","","Pipe Types","[951947]","","","","","","","",""
"Pipes","","","Pipe Types","[951948]","","","","","","","",""
"Pipes","","","Pipe Types","[951952]","","","","","","","",""
"Pipes","","","Pipe Types","[951953]","","","","","","","",""
"Pipes","","","Pipe Types","[951955]","","","","","","","",""
"Pipes","","","Pipe Types","[951956]","","","","","","","",""
"Pipes","","","Pipe Types","[951959]","","","","","","","",""
"Pipes","","","Pipe Types","[951960]","","","","","","","",""
"Pipes","","","Pipe Types","[951979]","","","","","","","",""
"Pipes","","","Pipe Types","[951980]","","","","","","","",""
"Pipes","","","Pipe Types","[951985]","","","","","","","",""
"Pipes","","","Pipe Types","[951986]","","","","","","","",""
"Pipes","","","Pipe Types","[951987]","","","","","","","",""
"Pipes","","","Pipe Types","[951988]","","","","","","","",""
"Pipes","","","Pipe Types","[951991]","","","","","","","",""
"Pipes","","","Pipe Types","[951992]","","","","","","","",""
"Pipes","","","Pipe Types","[951997]","","","","","","","",""
"Pipes","","","Pipe Types","[951998]","","","","","","","",""
"Pipes","","","Pipe Types","[951999]","","","","","","","",""
"Pipes","","","Pipe Types","[952000]","","","","","","","",""
"Pipes","","","Pipe Types","[952019]","","","","","","","",""
"Pipes","","","Pipe Types","[952020]","","","","","","","",""
"Pipes","","","Pipe Types","[952021]","","","","","","","",""
"Pipes","","","Pipe Types","[952022]","","","","","","","",""
"Pipes","","","Pipe Types","[952043]","","","","","","","",""
"Pipes","","","Pipe Types","[952044]","","","","","","","",""
"Pipes","","","Pipe Types","[952045]","","","","","","","",""
"Pipes","","","Pipe Types","[952046]","","","","","","","",""
"Pipes","","","Pipe Types","[952047]","","","","","","","",""
"Pipes","","","Pipe Types","[952048]","","","","","","","",""
"Pipes","","","Pipe Types","[952051]","","","","","","","",""
"Pipes","","","Pipe Types","[952052]","","","","","","","",""
"Pipes","","","Pipe Types","[952059]","","","","","","","",""
"Pipes","","","Pipe Types","[952060]","","","","","","","",""
"Pipes","","","Pipe Types","[952597]","","","","","","","",""
"Pipes","","","Pipe Types","[952598]","","","","","","","",""
"Pipes","","","Pipe Types","[952603]","","","","","","","",""
"Pipes","","","Pipe Types","[952604]","","","","","","","",""
"Pipes","","","Pipe Types","[952607]","","","","","","","",""
"Pipes","","","Pipe Types","[952608]","","","","","","","",""
"Pipes","","","Pipe Types","[952651]","","","","","","","",""
"Pipes","","","Pipe Types","[952652]","","","","","","","",""
"Pipes","","","Pipe Types","[952701]","","","","","","","",""
"Pipes","","","Pipe Types","[952702]","","","","","","","",""
"Pipes","","","Pipe Types","[952717]","","","","","","","",""
"Pipes","","","Pipe Types","[952718]","","","","","","","",""
"Pipes","","","Pipe Types","[952720]","","","","","","","",""
"Pipes","","","Pipe Types","[952721]","","","","","","","",""
"Pipes","","","Pipe Types","[952723]","","","","","","","",""
"Pipes","","","Pipe Types","[952724]","","","","","","","",""
"Pipes","","","Pipe Types","[952727]","","","","","","","",""
"Pipes","","","Pipe Types","[952728]","","","","","","","",""
"Pipes","","","Pipe Types","[952759]","","","","","","","",""
"Pipes","","","Pipe Types","[952760]","","","","","","","",""
"Pipes","","","Pipe Types","[952762]","","","","","","","",""
"Pipes","","","Pipe Types","[952763]","","","","","","","",""
"Pipes","","","Pipe Types","[952765]","","","","","","","",""
"Pipes","","","Pipe Types","[952766]","","","","","","","",""
"Pipes","","","Pipe Types","[952769]","","","","","","","",""
"Pipes","","","Pipe Types","[952770]","","","","","","","",""
"Pipes","","","Pipe Types","[952772]","","","","","","","",""
"Pipes","","","Pipe Types","[952773]","","","","","","","",""
"Pipes","","","Pipe Types","[952809]","","","","","","","",""
"Pipes","","","Pipe Types","[952810]","","","","","","","",""
"Pipes","","","Pipe Types","[952811]","","","","","","","",""
"Pipes","","","Pipe Types","[952812]","","","","","","","",""
"Pipes","","","Pipe Types","[952813]","","","","","","","",""
"Pipes","","","Pipe Types","[952814]","","","","","","","",""
"Pipes","","","Pipe Types","[952869]","","","","","","","",""
"Pipes","","","Pipe Types","[952870]","","","","","","","",""
"Pipes","","","Pipe Types","[952871]","","","","","","","",""
"Pipes","","","Pipe Types","[952872]","","","","","","","",""
"Pipes","","","Pipe Types","[952879]","","","","","","","",""
"Pipes","","","Pipe Types","[952880]","","","","","","","",""
"Pipes","","","Pipe Types","[952882]","","","","","","","",""
"Pipes","","","Pipe Types","[952883]","","","","","","","",""
"Pipes","","","Pipe Types","[952885]","","","","","","","",""
"Pipes","","","Pipe Types","[952886]","","","","","","","",""
"Pipes","","","Pipe Types","[952889]","","","","","","","",""
"Pipes","","","Pipe Types","[952890]","","","","","","","",""
"Pipes","","","Pipe Types","[952893]","","","","","","","",""
"Pipes","","","Pipe Types","[952894]","","","","","","","",""
"Pipes","","","Pipe Types","[952897]","","","","","","","",""
"Pipes","","","Pipe Types","[952898]","","","","","","","",""
"Pipes","","","Pipe Types","[952901]","","","","","","","",""
"Pipes","","","Pipe Types","[952902]","","","","","","","",""
"Pipes","","","Pipe Types","[952921]","","","","","","","",""
"Pipes","","","Pipe Types","[952922]","","","","","","","",""
"Pipes","","","Pipe Types","[952927]","","","","","","","",""
"Pipes","","","Pipe Types","[952928]","","","","","","","",""
"Pipes","","","Pipe Types","[952931]","","","","","","","",""
"Pipes","","","Pipe Types","[952932]","","","","","","","",""
"Pipes","","","Pipe Types","[952934]","","","","","","","",""
"Pipes","","","Pipe Types","[952935]","","","","","","","",""
"Pipes","","","Pipe Types","[952971]","","","","","","","",""
"Pipes","","","Pipe Types","[952972]","","","","","","","",""
"Pipes","","","Pipe Types","[952973]","","","","","","","",""
"Pipes","","","Pipe Types","[952974]","","","","","","","",""
"Pipes","","","Pipe Types","[952975]","","","","","","","",""
"Pipes","","","Pipe Types","[952976]","","","","","","","",""
"Pipes","","","Pipe Types","[953111]","","","","","","","",""
"Pipes","","","Pipe Types","[953112]","","","","","","","",""
"Pipes","","","Pipe Types","[953115]","","","","","","","",""
"Pipes","","","Pipe Types","[953116]","","","","","","","",""
"Pipes","","","Pipe Types","[953117]","","","","","","","",""
"Pipes","","","Pipe Types","[953118]","","","","","","","",""
"Pipes","","","Pipe Types","[953127]","","","","","","","",""
"Pipes","","","Pipe Types","[953128]","","","","","","","",""
"Pipes","","","Pipe Types","[953129]","","","","","","","",""
"Pipes","","","Pipe Types","[953130]","","","","","","","",""
"Pipes","","","Pipe Types","[953193]","","","","","","","",""
"Pipes","","","Pipe Types","[953194]","","","","","","","",""
"Pipes","","","Pipe Types","[953197]","","","","","","","",""
"Pipes","","","Pipe Types","[953198]","","","","","","","",""
"Pipes","","","Pipe Types","[953199]","","","","","","","",""
"Pipes","","","Pipe Types","[953200]","","","","","","","",""
"Pipes","","","Pipe Types","[953231]","","","","","","","",""
"Pipes","","","Pipe Types","[953232]","","","","","","","",""
"Pipes","","","Pipe Types","[953237]","","","","","","","",""
"Pipes","","","Pipe Types","[953238]","","","","","","","",""
"Pipes","","","Pipe Types","[953275]","","","","","","","",""
"Pipes","","","Pipe Types","[953276]","","","","","","","",""
"Pipes","","","Pipe Types","[953279]","","","","","","","",""
"Pipes","","","Pipe Types","[953280]","","","","","","","",""
"Pipes","","","Pipe Types","[953281]","","","","","","","",""
"Pipes","","","Pipe Types","[953282]","","","","","","","",""
"Pipes","","","Pipe Types","[953291]","","","","","","","",""
"Pipes","","","Pipe Types","[953292]","","","","","","","",""
"Pipes","","","Pipe Types","[953293]","","","","","","","",""
"Pipes","","","Pipe Types","[953294]","","","","","","","",""
"Pipes","","","Pipe Types","[953313]","","","","","","","",""
"Pipes","","","Pipe Types","[953314]","","","","","","","",""
"Pipes","","","Pipe Types","[953319]","","","","","","","",""
"Pipes","","","Pipe Types","[953320]","","","","","","","",""
"Pipes","","","Pipe Types","[965443]","","","","","","","",""
"Pipes","","","Pipe Types","[965444]","","","","","","","",""
"Pipes","","","Pipe Types","[965454]","","","","","","","",""
"Pipes","","","Pipe Types","[965455]","","","","","","","",""
"Pipes","","","Pipe Types","[965457]","","","","","","","",""
"Pipes","","","Pipe Types","[965458]","","","","","","","",""
"Pipes","","","Pipe Types","[966642]","","","","","","","",""
"Pipes","","","Pipe Types","[966643]","","","","","","","",""
"Pipes","","","Pipe Types","[975555]","","","","","","","",""
"Pipes","","","Pipe Types","[975556]","","","","","","","",""
"Pipes","","","Pipe Types","[980836]","","","","","","","",""
"Pipes","","","Pipe Types","[980837]","","","","","","","",""
"Pipes","","","Pipe Types","[981408]","","","","","","","",""
"Pipes","","","Pipe Types","[981409]","","","","","","","",""
"Pipes","","","Pipe Types","[982401]","","","","","","","",""
"Pipes","","","Pipe Types","[982402]","","","","","","","",""
"Pipes","","","Pipe Types","[982846]","","","","","","","",""
"Pipes","","","Pipe Types","[982847]","","","","","","","",""
"Pipes","","","Pipe Types","[982924]","","","","","","","",""
"Pipes","","","Pipe Types","[982925]","","","","","","","",""
"Pipes","","","Pipe Types","[982940]","","","","","","","",""
"Pipes","","","Pipe Types","[982941]","","","","","","","",""
"Pipes","","","Pipe Types","[982950]","","","","","","","",""
"Pipes","","","Pipe Types","[982951]","","","","","","","",""
"Pipes","","","Pipe Types","[982958]","","","","","","","",""
"Pipes","","","Pipe Types","[982959]","","","","","","","",""
"Pipes","","","Pipe Types","[982989]","","","","","","","",""
"Pipes","","","Pipe Types","[982990]","","","","","","","",""
"Pipes","","","Pipe Types","[1003531]","","","","","","","",""
"Pipes","","","Pipe Types","[1003532]","","","","","","","",""
"Pipes","","","Pipe Types","[1019399]","","","","","","","",""
"Pipes","","","Pipe Types","[1019400]","","","","","","","",""
"Pipes","","","Pipe Types","[1019676]","","","","","","","",""
"Pipes","","","Pipe Types","[1019677]","","","","","","","",""
"Pipes","","","Pipe Types","[1026204]","","","","","","","",""
"Pipes","","","Pipe Types","[1026205]","","","","","","","",""
"Pipes","","","Pipe Types","[1046684]","","","","","","","",""
"Pipes","","","Pipe Types","[1046685]","","","","","","","",""
"Pipes","","","Pipe Types","[1046686]","","","","","","","",""
"Pipes","","","Pipe Types","[1046687]","","","","","","","",""
"Pipes","","","Pipe Types","[1082468]","","","","","","","",""
"Pipes","","","Pipe Types","[1082469]","","","","","","","",""
"Pipes","","","Pipe Types","[1142890]","","","","","","","",""
"Pipes","","","Pipe Types","[1142891]","","","","","","","",""
"Pipes","","","Pipe Types","[1142922]","","","","","","","",""
"Pipes","","","Pipe Types","[1142923]","","","","","","","",""
"Pipes","","","Pipe Types","[1143161]","","","","","","","",""
"Pipes","","","Pipe Types","[1143162]","","","","","","","",""
"Pipes","","","Pipe Types","[1143457]","","","","","","","",""
"Pipes","","","Pipe Types","[1143458]","","","","","","","",""
"Pipes","","","Pipe Types","[1143871]","","","","","","","",""
"Pipes","","","Pipe Types","[1143872]","","","","","","","",""
"Pipes","","","Pipe Types","[1143909]","","","","","","","",""
"Pipes","","","Pipe Types","[1143910]","","","","","","","",""
"Pipes","","","Pipe Types","[1144003]","","","","","","","",""
"Pipes","","","Pipe Types","[1144004]","","","","","","","",""
"Pipes","","","Pipe Types","[1144011]","","","","","","","",""
"Pipes","","","Pipe Types","[1144012]","","","","","","","",""
"Pipes","","","Pipe Types","[1144667]","","","","","","","",""
"Pipes","","","Pipe Types","[1144668]","","","","","","","",""
"Pipes","","","Pipe Types","[1144680]","","","","","","","",""
"Pipes","","","Pipe Types","[1144681]","","","","","","","",""
"Pipes","","","Pipe Types","[1145373]","","","","","","","",""
"Pipes","","","Pipe Types","[1145374]","","","","","","","",""
"Pipes","","","Pipe Types","[1145510]","","","","","","","",""
"Pipes","","","Pipe Types","[1145511]","","","","","","","",""
"Pipes","","","Pipe Types","[1145818]","","","","","","","",""
"Pipes","","","Pipe Types","[1145819]","","","","","","","",""
"Pipes","","","Pipe Types","[1146247]","","","","","","","",""
"Pipes","","","Pipe Types","[1146248]","","","","","","","",""
"Pipes","","","Pipe Types","[1146255]","","","","","","","",""
"Pipes","","","Pipe Types","[1146256]","","","","","","","",""
"Pipes","","","Pipe Types","[1259154]","","","","","","","",""
"Pipes","","","Pipe Types","[1259155]","","","","","","","",""
"Pipes","","","Pipe Types","[1259724]","","","","","","","",""
"Pipes","","","Pipe Types","[1259725]","","","","","","","",""
"Pipes","","","Pipe Types","[1285798]","","","","","","","",""
"Pipes","","","Pipe Types","[1285799]","","","","","","","",""
"Pipes","","","Pipe Types","[1289060]","","","","","","","",""
"Pipes","","","Pipe Types","[1289061]","","","","","","","",""
"Pipes","","","Pipe Types","[1289351]","","","","","","","",""
"Pipes","","","Pipe Types","[1289352]","","","","","","","",""
"Pipes","","","Pipe Types","[1310238]","","","","","","","",""
"Pipes","","","Pipe Types","[1310239]","","","","","","","",""
"Pipes","","","Pipe Types","[1310250]","","","","","","","",""
"Pipes","","","Pipe Types","[1310251]","","","","","","","",""
"Pipes","","","Pipe Types","[1310489]","","","","","","","",""
"Pipes","","","Pipe Types","[1310490]","","","","","","","",""
"Pipes","","","Pipe Types","[1310498]","","","","","","","",""
"Pipes","","","Pipe Types","[1310499]","","","","","","","",""
"Pipes","","","Pipe Types","[1310541]","","","","","","","",""
"Pipes","","","Pipe Types","[1310542]","","","","","","","",""
"Pipes","","","Pipe Types","[1310550]","","","","","","","",""
"Pipes","","","Pipe Types","[1310551]","","","","","","","",""
"Pipes","","","Pipe Types","[1310630]","","","","","","","",""
"Pipes","","","Pipe Types","[1310631]","","","","","","","",""
"Pipes","","","Pipe Types","[1310862]","","","","","","","",""
"Pipes","","","Pipe Types","[1310863]","","","","","","","",""
"Pipes","","","Pipe Types","[1311089]","","","","","","","",""
