"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Cable Trays","","","Cable Tray with Fittings","[3181568]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3182063]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3184948]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3188520]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3193764]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3430589]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3430782]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3447909]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3448299]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3459888]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3460044]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3460898]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3461412]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3462400]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3462435]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3462665]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3462674]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3463058]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3468828]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3470462]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3470519]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3471631]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3471691]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3471886]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3473780]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3473992]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3474428]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3474476]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3493575]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3495636]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3495680]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3495768]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3495850]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3496064]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3503291]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3523509]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3528161]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3534225]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3534696]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3534998]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3538296]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3538299]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3538300]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3538302]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3538307]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3538321]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3538323]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3538326]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3548880]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3551452]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3553308]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3553442]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3554080]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3554273]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3556162]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3557505]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3558349]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3563993]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3564053]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3579819]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3580696]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3589359]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3590165]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3590924]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3593378]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3593665]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3593751]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3601815]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3601933]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3601995]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3613325]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3613338]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3614645]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3614690]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3615445]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3615515]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3615648]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3616721]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3616875]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3616906]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3620551]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3620602]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3621538]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3622717]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3622793]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3623074]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3623110]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3624582]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3624898]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3625705]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3626381]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3626713]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3626814]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3627378]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3627425]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3629759]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3630109]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3630119]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3630525]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3630541]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3633538]","","","","","","","",""
