"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Plumbing Fixtures","","","WASTE SUMP","[2415923]","","","","","","","",""
"Plumbing Fixtures","","","WASTE SUMP","[2419670]","","","","","","","",""
"Plumbing Fixtures","","","WASTE SUMP","[2419767]","","","","","","","",""
"Plumbing Fixtures","","","WASTE SUMP","[2420011]","","","","","","","",""
"Plumbing Fixtures","","","WASTE SUMP","[2420139]","","","","","","","",""
"Plumbing Fixtures","","","WASTE SUMP","[2420317]","","","","","","","",""
"Plumbing Fixtures","","","WASTE SUMP","[2426541]","","","","","","","",""
"Plumbing Fixtures","","","WASTE SUMP","[2426763]","","","","","","","",""
"Plumbing Fixtures","","","WASTE SUMP","[2427223]","","","","","","","",""
"Plumbing Fixtures","","","WASTE SUMP","[2427937]","","","","","","","",""
"Plumbing Fixtures","","","WASTE SUMP","[2428152]","","","","","","","",""
"Plumbing Fixtures","","","WASTE SUMP","[2428332]","","","","","","","",""
"Plumbing Fixtures","","","WASTE SUMP","[2428552]","","","","","","","",""
"Plumbing Fixtures","","","WASTE SUMP","[2429312]","","","","","","","",""
"Plumbing Fixtures","","","WASTE SUMP","[2429483]","","","","","","","",""
"Plumbing Fixtures","","","WASTE SUMP","[2430504]","","","","","","","",""
"Plumbing Fixtures","","","WASTE SUMP","[2435611]","","","","","","","",""
"Plumbing Fixtures","","","WASTE SUMP","[2435843]","","","","","","","",""
"Plumbing Fixtures","","","WASTE SUMP","[2436270]","","","","","","","",""
"Plumbing Fixtures","","","WASTE SUMP","[2436471]","","","","","","","",""
"Plumbing Fixtures","","","WASTE SUMP","[2436733]","","","","","","","",""
"Plumbing Fixtures","","","WASTE SUMP","[2437051]","","","","","","","",""
"Plumbing Fixtures","","","WASTE SUMP","[2437123]","","","","","","","",""
"Plumbing Fixtures","","","WASTE SUMP","[2437267]","","","","","","","",""
"Plumbing Fixtures","","","WASTE SUMP","[2444743]","","","","","","","",""
"Plumbing Fixtures","","","WASTE SUMP","[2444895]","","","","","","","",""
"Plumbing Fixtures","","","WASTE SUMP","[2445522]","","","","","","","",""
"Plumbing Fixtures","","","WASTE SUMP","[2445848]","","","","","","","",""
"Plumbing Fixtures","","","WASTE SUMP","[2446242]","","","","","","","",""
"Plumbing Fixtures","","","WASTE SUMP","[2446680]","","","","","","","",""
"Plumbing Fixtures","","","WASTE SUMP","[2447343]","","","","","","","",""
"Plumbing Fixtures","","","WASTE SUMP","[2447701]","","","","","","","",""
"Plumbing Fixtures","","","WASTE SUMP","[2447867]","","","","","","","",""
"Plumbing Fixtures","","","WASTE SUMP","[2448090]","","","","","","","",""
"Plumbing Fixtures","","","WASTE SUMP","[2448556]","","","","","","","",""
"Plumbing Fixtures","","","WASTE SUMP","[2448727]","","","","","","","",""
"Plumbing Fixtures","","","WASTE SUMP","[2448887]","","","","","","","",""
"Plumbing Fixtures","","","WASTE SUMP","[2449391]","","","","","","","",""
