"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Generic Models","Below Pit Safety Switch (L-BD1-11)","Below Pit Safety Switch (L-BD2-12)","Below Pit Safety Switch (L-BD1-11)","[5506676]","","","","","Below Pit Safety Switch (L-BD2-12)","",""
"Generic Models","Below Pit Safety Switch (L-BD1-11)","Below Pit Safety Switch (L-BD2-12)","Below Pit Safety Switch (L-BD1-11)","[5533140]","","","","","Below Pit Safety Switch (L-BD2-12)","",""
"Generic Models","Below Pit Safety Switch (L-BD1-11)","Below Pit Safety Switch (L-BD1-11)","Below Pit Safety Switch (L-BD1-11)","[5563720]","","","","","Below Pit Safety Switch (L-BD1-11)","",""
"Generic Models","Below Pit Safety Switch (L-BD1-11)","Below Pit Safety Switch (L-BD1.04)","Below Pit Safety Switch (L-BD1-11)","[5566436]","","","","","Below Pit Safety Switch (L-BD1.04)","",""
"Generic Models","Below Pit Safety Switch (L-BD1-11)","Below Pit Safety Switch (L-BD1.01, 02 & 03)","Below Pit Safety Switch (L-BD1-11)","[5566481]","","","","","Below Pit Safety Switch (L-BD1.01, 02 & 03)","",""
"Generic Models","Below Pit Safety Switch (L-BD1-11)","Below Pit Safety Switch (L-BD1.01, 02 & 03)","Below Pit Safety Switch (L-BD1-11)","[5566548]","","","","","Below Pit Safety Switch (L-BD1.01, 02 & 03)","",""
"Generic Models","Below Pit Safety Switch (L-BD1-11)","Below Pit Safety Switch (L-BD1.01, 02 & 03)","Below Pit Safety Switch (L-BD1-11)","[5566552]","","","","","Below Pit Safety Switch (L-BD1.01, 02 & 03)","",""
"Generic Models","Below Pit Safety Switch (L-BD1-11)","Below Pit Safety Switch (L-BD1.05, 06, 07 & 08)","Below Pit Safety Switch (L-BD1-11)","[5593214]","","","","","Below Pit Safety Switch (L-BD1.05, 06, 07 & 08)","",""
"Generic Models","Below Pit Safety Switch (L-BD1-11)","Below Pit Safety Switch (L-BD1.05, 06, 07 & 08)","Below Pit Safety Switch (L-BD1-11)","[5593216]","","","","","Below Pit Safety Switch (L-BD1.05, 06, 07 & 08)","",""
"Generic Models","Below Pit Safety Switch (L-BD1-11)","Below Pit Safety Switch (L-BD1.05, 06, 07 & 08)","Below Pit Safety Switch (L-BD1-11)","[5593349]","","","","","Below Pit Safety Switch (L-BD1.05, 06, 07 & 08)","",""
"Generic Models","Below Pit Safety Switch (L-BD1-11)","Below Pit Safety Switch (L-BD1.05, 06, 07 & 08)","Below Pit Safety Switch (L-BD1-11)","[5593351]","","","","","Below Pit Safety Switch (L-BD1.05, 06, 07 & 08)","",""
"Generic Models","Below Pit Safety Switch (L-BD1-12 & 13)","Below Pit Safety Switch (L-BD1-11)","Below Pit Safety Switch (L-BD1-12 & 13)","[5539434]","","","","","Below Pit Safety Switch (L-BD1-11)","",""
"Generic Models","Below Pit Safety Switch (L-BD1-12 & 13)","Below Pit Safety Switch (L-BD1-11)","Below Pit Safety Switch (L-BD1-12 & 13)","[5539435]","","","","","Below Pit Safety Switch (L-BD1-11)","",""
"Generic Models","Cat Ladder (L-BD1.11)","Cat Ladder (L-BD1.11)","Cat Ladder (L-BD1.11)","[5563719]","","","","","Cat Ladder (L-BD1.11)","",""
"Generic Models","Cat Ladder (L-BD1.11)","Cat Ladder (L-BD1.04)","Cat Ladder (L-BD1.11)","[5566435]","","","","","Cat Ladder (L-BD1.04)","",""
"Generic Models","Cat Ladder (L-BD1.11)","Cat Ladder (L-BD1.01, 02 & 03)","Cat Ladder (L-BD1.11)","[5566480]","","","","","Cat Ladder (L-BD1.01, 02 & 03)","",""
"Generic Models","Cat Ladder (L-BD1.11)","Cat Ladder (L-BD1.01, 02 & 03)","Cat Ladder (L-BD1.11)","[5566546]","","","","","Cat Ladder (L-BD1.01, 02 & 03)","",""
"Generic Models","Cat Ladder (L-BD1.11)","Cat Ladder (L-BD1.01, 02 & 03)","Cat Ladder (L-BD1.11)","[5566550]","","","","","Cat Ladder (L-BD1.01, 02 & 03)","",""
"Generic Models","Pit Governor (L-BD1.11)","Pit Governor (L-BD1.11)","Pit Governor (L-BD1.11)","[5563721]","","","","","Pit Governor (L-BD1.11)","",""
"Generic Models","Top Pit Safety Switch (L-BD1-11)","Top Pit Safety Switch (L-BD1-11)","Top Pit Safety Switch (L-BD1-11)","[5563723]","","","","","Top Pit Safety Switch (L-BD1-11)","",""
"Generic Models","Top Pit Safety Switch (L-BD1-11)","Top Pit Safety Switch (L-BD1-11)","Top Pit Safety Switch (L-BD1-11)","[5564459]","","","","","Top Pit Safety Switch (L-BD1-11)","",""
"Generic Models","Top Pit Safety Switch (L-BD1-11)","Top Pit Safety Switch (L-BD1-11)","Top Pit Safety Switch (L-BD1-11)","[5564460]","","","","","Top Pit Safety Switch (L-BD1-11)","",""
"Generic Models","Top Pit Safety Switch (L-BD1-11)","Top Pit Safety Switch (L-BD1.04)","Top Pit Safety Switch (L-BD1-11)","[5566437]","","","","","Top Pit Safety Switch (L-BD1.04)","",""
"Generic Models","Top Pit Safety Switch (L-BD1-11)","Top Pit Safety Switch (L-BD1.01, 02 & 03)","Top Pit Safety Switch (L-BD1-11)","[5566482]","","","","","Top Pit Safety Switch (L-BD1.01, 02 & 03)","",""
"Generic Models","Top Pit Safety Switch (L-BD1-11)","Top Pit Safety Switch (L-BD1.01, 02 & 03)","Top Pit Safety Switch (L-BD1-11)","[5566549]","","","","","Top Pit Safety Switch (L-BD1.01, 02 & 03)","",""
"Generic Models","Top Pit Safety Switch (L-BD1-11)","Top Pit Safety Switch (L-BD1.01, 02 & 03)","Top Pit Safety Switch (L-BD1-11)","[5566553]","","","","","Top Pit Safety Switch (L-BD1.01, 02 & 03)","",""
"Generic Models","Top Pit Safety Switch (L-BD1-11)","Top Pit Safety Switch (L-BD1.05, 06, 07 & 08)","Top Pit Safety Switch (L-BD1-11)","[5593218]","","","","","Top Pit Safety Switch (L-BD1.05, 06, 07 & 08)","",""
"Generic Models","Top Pit Safety Switch (L-BD1-11)","Top Pit Safety Switch (L-BD1.05, 06, 07 & 08)","Top Pit Safety Switch (L-BD1-11)","[5593219]","","","","","Top Pit Safety Switch (L-BD1.05, 06, 07 & 08)","",""
"Generic Models","Top Pit Safety Switch (L-BD1-11)","Top Pit Safety Switch (L-BD1.05, 06, 07 & 08)","Top Pit Safety Switch (L-BD1-11)","[5593352]","","","","","Top Pit Safety Switch (L-BD1.05, 06, 07 & 08)","",""
"Generic Models","Top Pit Safety Switch (L-BD1-11)","Top Pit Safety Switch (L-BD1.05, 06, 07 & 08)","Top Pit Safety Switch (L-BD1-11)","[5593353]","","","","","Top Pit Safety Switch (L-BD1.05, 06, 07 & 08)","",""
"Generic Models","Cwt (L-BD1.11)","Cwt (L-BD1.11)","Cwt (L-BD1.11)","[5563724]","","","","","Cwt (L-BD1.11)","",""
"Generic Models","L-BD1.11 (Basement)","L-BD1.11 (Basement)","L-BD1.11 (Basement)","[5563760]","","","","","L-BD1.11 (Basement)","",""
"Generic Models","Cat Ladder (L-BD1.12 & 13)","Cat Ladder (L-BD1.12 & 13)","Cat Ladder (L-BD1.12 & 13)","[5564451]","","","","","Cat Ladder (L-BD1.12 & 13)","",""
"Generic Models","Cat Ladder (L-BD1.12 & 13)","Cat Ladder (L-BD1.12 & 13)","Cat Ladder (L-BD1.12 & 13)","[5564452]","","","","","Cat Ladder (L-BD1.12 & 13)","",""
"Generic Models","UPS (L-BD1.12 & 13)","UPS (L-BD1.12 & 13)","UPS (L-BD1.12 & 13)","[5564455]","","","","","UPS (L-BD1.12 & 13)","",""
"Generic Models","UPS (L-BD1.12 & 13)","UPS (L-BD1.12 & 13)","UPS (L-BD1.12 & 13)","[5564456]","","","","","UPS (L-BD1.12 & 13)","",""
"Generic Models","Control Panel (L-BD1.12 & 13)","Control Panel (L-BD1.12 & 13)","Control Panel (L-BD1.12 & 13)","[5564457]","","","","","Control Panel (L-BD1.12 & 13)","",""
"Generic Models","Control Panel (L-BD1.12 & 13)","Control Panel (L-BD1.12 & 13)","Control Panel (L-BD1.12 & 13)","[5564458]","","","","","Control Panel (L-BD1.12 & 13)","",""
"Generic Models","Top Governor (L-BD1.12 & 13)","Top Governor (L-BD1.12 & 13)","Top Governor (L-BD1.12 & 13)","[5564465]","","","","","Top Governor (L-BD1.12 & 13)","",""
"Generic Models","Top Governor (L-BD1.12 & 13)","Top Governor (L-BD1.12 & 13)","Top Governor (L-BD1.12 & 13)","[5564466]","","","","","Top Governor (L-BD1.12 & 13)","",""
