"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","JTC_PEPL_Ceramic tile 09-T20","[2080557]","","","","","JTC_PEPL_Ceramic tile 09-T20","",""
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","JTC_PEPL_Ceramic tile 09-T20","[2080559]","","","","","JTC_PEPL_Ceramic tile 09-T20","",""
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","Rectangular Mullion","[2080561]","","","","","JTC_PEPL_300mm Ceramic Stack Joint","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","JTC_PEPL_Ceramic tile 09-T20","[2080563]","","","","","JTC_PEPL_Ceramic tile 09-T20","",""
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","Rectangular Mullion","[2080565]","","","","","JTC_PEPL_300mm Ceramic Stack Joint","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","Rectangular Mullion","[2080566]","","","","","Tipical Mullion Ceramic infill (300mm)","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","JTC_PEPL_Ceramic tile 09-T20","[2080570]","","","","","JTC_PEPL_Ceramic tile 09-T20","",""
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","Rectangular Mullion","[2080572]","","","","","JTC_PEPL_300mm Ceramic Stack Joint","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","JTC_PEPL_05 DM1 perforated panel","[2080574]","","","","","JTC_PEPL_05 DM1 perforated panel","",""
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","Rectangular Mullion","[2080576]","","","","","JTC_PEPL_300mm Glass Stack Joint","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","JTC_PEPL_Ceramic tile 09-T20","[2080578]","","","","","JTC_PEPL_Ceramic tile 09-T20","",""
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","Rectangular Mullion","[2080580]","","","","","JTC_PEPL_300mm Ceramic Stack Joint","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","JTC_PEPL_Ceramic tile 09-T20","[2080582]","","","","","JTC_PEPL_Ceramic tile 09-T20","",""
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","Rectangular Mullion","[2080584]","","","","","JTC_PEPL_300mm Ceramic Stack Joint","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","JTC_PEPL_Ceramic tile 09-T20","[2080586]","","","","","JTC_PEPL_Ceramic tile 09-T20","",""
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","Rectangular Mullion","[2080588]","","","","","JTC_PEPL_300mm Ceramic Stack Joint","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","JTC_PEPL_Ceramic tile 09-T20","[2080590]","","","","","JTC_PEPL_Ceramic tile 09-T20","",""
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","Rectangular Mullion","[2080592]","","","","","JTC_PEPL_300mm Ceramic Stack Joint","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","JTC_PEPL_05 DM1 perforated panel","[2080594]","","","","","JTC_PEPL_05 DM1 perforated panel","",""
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","Rectangular Mullion","[2080596]","","","","","JTC_PEPL_300mm Glass Stack Joint","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","Rectangular Mullion","[2080597]","","","","","Tipical Mullion Ceramic infill (300mm)","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","Rectangular Mullion","[2080599]","","","","","Tipical Mullion Ceramic infill (300mm+200mm)_R","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","Rectangular Mullion","[2080600]","","","","","Tipical Mullion Ceramic infill (300mm+200mm)_L","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","Rectangular Mullion","[2080601]","","","","","Tipical Mullion Ceramic infill (300mm)","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","Rectangular Mullion","[2080602]","","","","","Tipical Mullion Ceramic infill (300mm)","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","Rectangular Mullion","[2080603]","","","","","Tipical Mullion Ceramic infill (300mm)","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","Rectangular Mullion","[2080604]","","","","","Tipical Mullion Ceramic infill (300mm+200mm)_R","","JTC_Aluminium Mullion"
