"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Generic Models","","","LCBC_Opening Floor Pipe","[4833394]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor Pipe","[4833578]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor Pipe","[4874560]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor Pipe","[4988141]","","","","","","","",""
"Generic Models","","","L166_Ladder Roof","[4858661]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4879114]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4879768]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4879887]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4961756]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4962050]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4962090]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4962132]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4962182]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4962308]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4962340]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4962372]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4962414]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4962442]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4962470]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4962502]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4962544]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4962586]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4962636]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4962705]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4962885]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4962917]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4962918]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4962945]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4963058]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4963090]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4963118]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4965505]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4965654]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4965741]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4965820]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4965898]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4965976]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4966042]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4966109]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4966195]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4966331]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4966402]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4966541]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4966640]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4966752]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4966824]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4967048]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4967207]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4967393]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4967486]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4967617]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4967767]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4967833]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4968082]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4968214]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4968393]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4968613]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4968706]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4968871]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4968972]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4969090]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4969206]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4969305]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4969467]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4969705]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4969892]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4970026]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4970170]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4970333]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4970422]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4970509]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4970606]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4970706]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4970801]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4970898]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4970994]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4971630]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4971737]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4971832]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4971928]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4972025]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4972120]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4972215]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4972312]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4978949]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4979189]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4979237]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4979331]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4979384]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4979460]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4979571]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4979689]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4983435]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4989196]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4989421]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4989588]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[5001386]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[5004993]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[5005374]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[5008630]","","","","","","","",""
"Generic Models","L166_Tactile","LCBC_4 Tactile","L166_Tactile","[4880040]","","","","","LCBC_4 Tactile","","<By Category>"
"Generic Models","L166_Tactile","LCBC_4 Tactile","L166_Tactile","[4880090]","","","","","LCBC_4 Tactile","","<By Category>"
"Generic Models","","","LCBC_Opening Wall","[4972929]","","","","","","","",""
"Generic Models","","","LCBC_Opening Wall","[4973260]","","","","","","","",""
"Generic Models","","","LCBC_Opening Wall","[4973399]","","","","","","","",""
"Generic Models","","","LCBC_Opening Wall","[4973624]","","","","","","","",""
"Generic Models","","","LCBC_Opening Wall","[4973768]","","","","","","","",""
"Generic Models","","","LCBC_Opening Wall","[4974027]","","","","","","","",""
"Generic Models","","","LCBC_Opening Wall","[4980365]","","","","","","","",""
"Generic Models","","","LCBC_Opening Wall","[4980866]","","","","","","","",""
"Walls","Basic Wall","LCBC_EX_W3C_25P_ALC_20P_195mm","Basic Wall","[4816925]","3C:CN60","","150mm THK PC WALL","","LCBC_EX_W3C_25P_ALC_20P_195mm","00_L166_PRECAST WALL",""
"Walls","Basic Wall","LCBC_EX_W3C_25P_ALC_20P_195mm","Basic Wall","[4816926]","3C:CN60","","150mm THK PC WALL","","LCBC_EX_W3C_25P_ALC_20P_195mm","00_L166_PRECAST WALL",""
"Walls","Basic Wall","LCBC_EX_W3C_25P_ALC_20P_195mm","Basic Wall","[4816930]","3C:CN60","","150mm THK PC WALL","","LCBC_EX_W3C_25P_ALC_20P_195mm","00_L166_PRECAST WALL",""
"Walls","Basic Wall","LCBC_EX_W3C_25P_ALC_20P_195mm","Basic Wall","[4816931]","3C:CN60","","150mm THK PC WALL","","LCBC_EX_W3C_25P_ALC_20P_195mm","00_L166_PRECAST WALL",""
"Walls","Basic Wall","LCBC_EX_W3C_25P_ALC_20P_195mm","Basic Wall","[4816933]","3C:CN60","","150mm THK PC WALL","","LCBC_EX_W3C_25P_ALC_20P_195mm","00_L166_PRECAST WALL",""
"Walls","Basic Wall","LCBC_EX_W3C_25P_ALC_20P_195mm","Basic Wall","[4817591]","3C:CN60","","150mm THK PC WALL","","LCBC_EX_W3C_25P_ALC_20P_195mm","00_L166_PRECAST WALL",""
"Walls","Basic Wall","LCBC_EX_W3C_25P_ALC_20P_195mm","Basic Wall","[4908371]","3C:CN60","","150mm THK PC WALL","","LCBC_EX_W3C_25P_ALC_20P_195mm","00_L166_PRECAST WALL",""
"Walls","Basic Wall","LCBC_EX_W3C_25P_ALC_20P_195mm","Basic Wall","[5006860]","3C:CN60","","150mm THK PC WALL","","LCBC_EX_W3C_25P_ALC_20P_195mm","00_L166_PRECAST WALL",""
"Walls","Basic Wall","LCBC_EX_W2E_25P_ALC_25P_250mm","Basic Wall","[4816953]","04:MS13","","200mm THK PC WALL","","LCBC_EX_W2E_25P_ALC_25P_250mm","00_L166_BLOCK WALL",""
"Walls","Basic Wall","LCBC_PLASTER_20mm","Basic Wall","[4818587]","B2010120","Ext. Wall - Precast","10mm THK SKIM COAT","","LCBC_PLASTER_20mm","<By Category>",""
