"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Structural Foundations","LCBC_Bored Pile","3P1A","LCBC_Bored Pile","[1259877]","A1020130","Piles - Steel Pipe","","","3P1A","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1A","LCBC_Bored Pile","[1259879]","A1020130","Piles - Steel Pipe","","","3P1A","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1A","LCBC_Bored Pile","[1259881]","A1020130","Piles - Steel Pipe","","","3P1A","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1A","LCBC_Bored Pile","[1259883]","A1020130","Piles - Steel Pipe","","","3P1A","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1A","LCBC_Bored Pile","[1259885]","A1020130","Piles - Steel Pipe","","","3P1A","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1A","LCBC_Bored Pile","[1259887]","A1020130","Piles - Steel Pipe","","","3P1A","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1A","LCBC_Bored Pile","[1260049]","A1020130","Piles - Steel Pipe","","","3P1A","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1A","LCBC_Bored Pile","[1260051]","A1020130","Piles - Steel Pipe","","","3P1A","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1A","LCBC_Bored Pile","[1260053]","A1020130","Piles - Steel Pipe","","","3P1A","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1A","LCBC_Bored Pile","[1260067]","A1020130","Piles - Steel Pipe","","","3P1A","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1A","LCBC_Bored Pile","[1260069]","A1020130","Piles - Steel Pipe","","","3P1A","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1A","LCBC_Bored Pile","[1260071]","A1020130","Piles - Steel Pipe","","","3P1A","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1A","LCBC_Bored Pile","[1260117]","A1020130","Piles - Steel Pipe","","","3P1A","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1A","LCBC_Bored Pile","[1260119]","A1020130","Piles - Steel Pipe","","","3P1A","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1A","LCBC_Bored Pile","[1260121]","A1020130","Piles - Steel Pipe","","","3P1A","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1A","LCBC_Bored Pile","[1260145]","A1020130","Piles - Steel Pipe","","","3P1A","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1A","LCBC_Bored Pile","[1260147]","A1020130","Piles - Steel Pipe","","","3P1A","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1A","LCBC_Bored Pile","[1260149]","A1020130","Piles - Steel Pipe","","","3P1A","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1A","LCBC_Bored Pile","[1260163]","A1020130","Piles - Steel Pipe","","","3P1A","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1A","LCBC_Bored Pile","[1260165]","A1020130","Piles - Steel Pipe","","","3P1A","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1A","LCBC_Bored Pile","[1260167]","A1020130","Piles - Steel Pipe","","","3P1A","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1A","LCBC_Bored Pile","[1260181]","A1020130","Piles - Steel Pipe","","","3P1A","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1A","LCBC_Bored Pile","[1260183]","A1020130","Piles - Steel Pipe","","","3P1A","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1A","LCBC_Bored Pile","[1260185]","A1020130","Piles - Steel Pipe","","","3P1A","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1A","LCBC_Bored Pile","[1260393]","A1020130","Piles - Steel Pipe","","","3P1A","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1A","LCBC_Bored Pile","[1260395]","A1020130","Piles - Steel Pipe","","","3P1A","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1A","LCBC_Bored Pile","[1260397]","A1020130","Piles - Steel Pipe","","","3P1A","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1A","LCBC_Bored Pile","[1260399]","A1020130","Piles - Steel Pipe","","","3P1A","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1A","LCBC_Bored Pile","[1260401]","A1020130","Piles - Steel Pipe","","","3P1A","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1A","LCBC_Bored Pile","[1260403]","A1020130","Piles - Steel Pipe","","","3P1A","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1A","LCBC_Bored Pile","[1260405]","A1020130","Piles - Steel Pipe","","","3P1A","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1A","LCBC_Bored Pile","[1260407]","A1020130","Piles - Steel Pipe","","","3P1A","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1A","LCBC_Bored Pile","[1260409]","A1020130","Piles - Steel Pipe","","","3P1A","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1C","LCBC_Bored Pile","[1259889]","A1020130","Piles - Steel Pipe","","","3P1C","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1C","LCBC_Bored Pile","[1259891]","A1020130","Piles - Steel Pipe","","","3P1C","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1C","LCBC_Bored Pile","[1259893]","A1020130","Piles - Steel Pipe","","","3P1C","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1C","LCBC_Bored Pile","[1259923]","A1020130","Piles - Steel Pipe","","","3P1C","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1C","LCBC_Bored Pile","[1259925]","A1020130","Piles - Steel Pipe","","","3P1C","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1C","LCBC_Bored Pile","[1259927]","A1020130","Piles - Steel Pipe","","","3P1C","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1C","LCBC_Bored Pile","[1259929]","A1020130","Piles - Steel Pipe","","","3P1C","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1C","LCBC_Bored Pile","[1259931]","A1020130","Piles - Steel Pipe","","","3P1C","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1C","LCBC_Bored Pile","[1259933]","A1020130","Piles - Steel Pipe","","","3P1C","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1C","LCBC_Bored Pile","[1259939]","A1020130","Piles - Steel Pipe","","","3P1C","LCBC - Concrete",""
"Structural Foundations","LCBC_Bored Pile","3P1C","LCBC_Bored Pile","[1259941]","A1020130","Piles - Steel Pipe","","","3P1C","LCBC - Concrete",""
