"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Generic Models","","","Family3","[4700190]","","","","","","","",""
"Generic Models","","","Family3","[5263088]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4705531]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4705532]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4705544]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4705618]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4705619]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4705620]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4705621]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4705624]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4705625]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4705626]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4705627]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4705628]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4705665]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4706426]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4706438]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4706458]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4706473]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4706728]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4706729]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4707915]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4707936]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4715067]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4715091]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4792948]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4828502]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4828705]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4828725]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4828745]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4828765]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4828844]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4828888]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4828910]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4935323]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4935324]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4935339]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4935340]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[4935419]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[5174014]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[5174054]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[5175367]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[5287107]","","","","","","","",""
"Generic Models","","","LCBC_Opening Floor","[5287108]","","","","","","","",""
