"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","JTC_PEPL_08 GL1 vision glass","[1831505]","","","","","JTC_PEPL_08 GL1 vision glass","",""
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","Rectangular Mullion","[1831506]","","","","","300mm Stack Joint 02","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","JTC_PEPL_08 GL1 vision glass","[1831965]","","","","","JTC_PEPL_08 GL1 vision glass","",""
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","Rectangular Mullion","[1831966]","","","","","300mm Glass Stack Joint 01","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","Rectangular Mullion","[1831967]","","","","","vision glass to vision glass _Mullion","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","JTC_PEPL_08 GL1 vision glass","[1831969]","","","","","JTC_PEPL_08 GL1 vision glass","",""
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","Rectangular Mullion","[1831970]","","","","","300mm Glass Stack Joint 02","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","Rectangular Mullion","[1831971]","","","","","300mm Glass Stack Joint 01","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","Rectangular Mullion","[1831972]","","","","","vision glass to vision glass _Mullion","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","JTC_PEPL_Ceramic tile 09-T20","[1831974]","","","","","JTC_PEPL_Ceramic tile 09-T20","",""
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","Rectangular Mullion","[1831975]","","","","","300mm Glass Stack Joint 02","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","Rectangular Mullion","[1831976]","","","","","300mm Ceramic Stack Joint 01","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","Rectangular Mullion","[1831977]","","","","","Tipical Mullion Ceramic infill (300mm+200mm)_L","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","JTC_PEPL_Ceramic tile 09-T20","[1831979]","","","","","JTC_PEPL_Ceramic tile 09-T20","",""
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","Rectangular Mullion","[1831980]","","","","","300mm Stack Joint 02","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","Rectangular Mullion","[1831981]","","","","","300mm Ceramic Stack Joint 01","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","Rectangular Mullion","[1831982]","","","","","Tipical Mullion Ceramic infill (300mm)","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","JTC_PEPL_08 GL1 vision glass","[1831984]","","","","","JTC_PEPL_08 GL1 vision glass","",""
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","Rectangular Mullion","[1831985]","","","","","300mm Stack Joint 02","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","Rectangular Mullion","[1831986]","","","","","300mm Glass Stack Joint 01","","JTC_Aluminium Mullion"
"Walls","Curtain Wall","Curtain Wall_CeramicPanel","Rectangular Mullion","[1831987]","","","","","Tipical Mullion Ceramic infill (300mm+200mm)_R","","JTC_Aluminium Mullion"
