Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Parking,SITE-PK-VCLE,SITE-PK-2400W*4800L_CAR,SITE-PK-VCLE,,,Car Parking Standard Lot (Perforated_Slab),Outdoor vehicle parking spaces,SITE-PK-2400W*4800L_CAR,,Interlocking Concrete Pavers
Parking,SITE-PK-VCLE,SITE-PK-3600W*4800L 4800L_HANDICAP,SITE-PK-VCLE,,,Handicap Car Parking Standard Lot (Perforated_Slab),Accessible parking spaces,SITE-PK-3600W*4800L 4800L_HANDICAP,,Interlocking Concrete Pavers
Parking,SITE-PK-VCLE,SITE-PK-3000W*12000L_LORRY,SITE-PK-VCLE,,,Lorry Parking Lot,Non Perforated,SITE-PK-3000W*12000L_LORRY,,White Paint
Parking,SITE-PK-BICYCLE,SITE-PK-700W*1800L_BICYCLE,SITE-PK-BICYCLE,,,Single Tier Rack with Two Bicycle Parking Capacity,Cycle parking spaces,SITE-PK-700W*1800L_BICYCLE,,White Paint
Floors,Floor,FL-CON-SSLB-200THK,Floor,,,,N.A.,FL-CON-SSLB-200THK,"Concrete, Sand/Cement Screed",Concrete - Cast In Situ
Floors,Floor,IDA - Footpath - 200mm,Floor,,,,,IDA - Footpath - 200mm,<By Category>,<By Category>
Floors,Floor,SITE-SFLS-200THK,Floor,,,,,SITE-SFLS-200THK,<By Category>,<By Category>
Floors,Floor,SITE-RD-300THK,Floor,,,,N.A.,SITE-RD-300THK,<By Category>,Concrete - Cast In Situ
Floors,Floor,SITE-SFLS-100THK,Floor,,,,,SITE-SFLS-100THK,<By Category>,<By Category>
Floors,Floor,FL-CON-SSLB-150THK,Floor,,,,N.A.,FL-CON-SSLB-150THK,<By Category>,Concrete - Cast In Situ
Floors,Floor,IDA - Drain Cover,Floor,,,,,IDA - Drain Cover,<By Category>,<By Category>
Floors,Floor,FL-CON-SSLB-275THK,Floor,,,,N.A.,FL-CON-SSLB-275THK,"Concrete, Sand/Cement Screed",Concrete - Cast In Situ
