Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Furniture,,,SIGN_ME Room Signage_Single Line,,,,,,,
Furniture,,,SIGN_ME Room Signage_Double Line,,,,,,,
Furniture,,,SIGN_Type 5_Accessible Toilet Logo Signage,,,,,,,
Furniture,,,SIGN_Type 2_Male Toilet Logo Signage,,,,,,,
Furniture,,,SIGN_Type 3_Female Toilet Logo Signage,,,,,,,
Furniture,,,SIGN_ME Room Signage_Triple Line,,,,,,,
Furniture,,,SIGN_Type 1_Staircase Level Signage,,,,,,,
Furniture,,,SIGN_F2_Turn On Inlet Valve Before Unwinding The Hose Signage,,,,,,,
Furniture,,,SIGN_F3_Fire Extinguisher Logo Signage,,,,,,,
Furniture,,,SIGN_F1_Hosereel Logo Signage,,,,,,,
Furniture,,,SIGN_Type 7_Handicap Direction Signage,,,,,,,
Furniture,,,SIGN_V5_Fire Fighting Accessway Keep Clear,,,,,,,
Furniture,,,SIGN_F10_Fire Hydrant Tank Signage,,,,,,,
Furniture,,,SIGN_F9_Sprinkler Tank Signage,,,,,,,
Furniture,,,SIGN_F11_Fire Command Centre Signage,,,,,,,
Furniture,,,SIGN_V4_Wall Mounted Warning Notice Signage,,,,,,,
Furniture,,,SIGN_V4_Freestanding Warning Notice Signage,,,,,,,
Furniture,,,SIGN_V2_Bicycle Parking Signage_No pole,,,,,,,
Furniture,,,SIGN_V3_Handicapped Parking Vertical Signage,,,,,,,
Furniture,,,SIGN_V3_Handicapped Parking Signage_Wall Mounted,,,,,,,
Furniture,,,SIGN_R20_ME Room Signage,,,,,,,
Furniture,,,SIGN_F12_Fire Shutter Do Not Obstruct Signage,,,,,,,
Furniture,,,SIGN_F6_In Case of Fire Break Glass Signage,,,,,,,
Furniture,,,SIGN_Type 6_Loading and Unloading Area Signage,,,,,,,
Furniture,,,SIGN_Type 8_Escape Route Diagram Signage,,,,,,,
Furniture,,,SIGN_F4_Fire Fighting Access Do Not Obstruct,,,,,,,
Furniture,,,SIGN_Type 9_Floor Loading & BFA Route Signage,,,,,,,
Furniture,,,SIGN_V1_4.5M Height Clearance,,,,,,,
Furniture,,,SIGN_V3_Handicapped Vertical Signage,,,,,,,
Furniture,,,SIGN_V3_Handicapped Signage_Wall Mounted,,,,,,,
Furniture,,,SIGN_VO_Road Stop Signage_600 x 600,,,,,,,
