"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Pipes","","","Pipe Types","[6227192]","","","","","","","",""
"Pipes","","","Pipe Types","[6227193]","","","","","","","",""
"Pipes","","","Pipe Types","[6227194]","","","","","","","",""
"Pipes","","","Pipe Types","[6227195]","","","","","","","",""
"Pipes","","","Pipe Types","[6227199]","","","","","","","",""
"Pipes","","","Pipe Types","[6227200]","","","","","","","",""
"Pipes","","","Pipe Types","[6227201]","","","","","","","",""
"Pipes","","","Pipe Types","[6227202]","","","","","","","",""
"Pipes","","","Pipe Types","[6227234]","","","","","","","",""
"Pipes","","","Pipe Types","[6227235]","","","","","","","",""
"Pipes","","","Pipe Types","[6227273]","","","","","","","",""
"Pipes","","","Pipe Types","[6227274]","","","","","","","",""
"Pipes","","","Pipe Types","[6227279]","","","","","","","",""
"Pipes","","","Pipe Types","[6227280]","","","","","","","",""
"Pipes","","","Pipe Types","[6227289]","","","","","","","",""
"Pipes","","","Pipe Types","[6227290]","","","","","","","",""
"Pipes","","","Pipe Types","[6227415]","","","","","","","",""
"Pipes","","","Pipe Types","[6227416]","","","","","","","",""
"Pipes","","","Pipe Types","[6227447]","","","","","","","",""
"Pipes","","","Pipe Types","[6227448]","","","","","","","",""
"Pipes","","","Pipe Types","[6227460]","","","","","","","",""
"Pipes","","","Pipe Types","[6227461]","","","","","","","",""
"Pipes","","","Pipe Types","[6227591]","","","","","","","",""
"Pipes","","","Pipe Types","[6227592]","","","","","","","",""
"Pipes","","","Pipe Types","[6227607]","","","","","","","",""
"Pipes","","","Pipe Types","[6227608]","","","","","","","",""
"Pipes","","","Pipe Types","[7954016]","","","","","","","",""
"Pipes","","","Pipe Types","[7954018]","","","","","","","",""
"Pipes","","","Pipe Types","[8015080]","","","","","","","",""
"Pipes","","","Pipe Types","[8015081]","","","","","","","",""
"Pipes","","","Pipe Types","[8018503]","","","","","","","",""
"Pipes","","","Pipe Types","[8018504]","","","","","","","",""
"Pipes","","","Pipe Types","[8018507]","","","","","","","",""
"Pipes","","","Pipe Types","[8018508]","","","","","","","",""
"Pipes","","","Pipe Types","[8024929]","","","","","","","",""
"Pipes","","","Pipe Types","[8024930]","","","","","","","",""
"Pipes","","","Pipe Types","[8035487]","","","","","","","",""
"Pipes","","","Pipe Types","[8035488]","","","","","","","",""
"Pipes","","","Pipe Types","[8183585]","","","","","","","",""
"Pipes","","","Pipe Types","[8183586]","","","","","","","",""
"Pipes","","","Pipe Types","[8183587]","","","","","","","",""
"Pipes","","","Pipe Types","[8183588]","","","","","","","",""
"Pipes","","","Pipe Types","[8195069]","","","","","","","",""
"Pipes","","","Pipe Types","[8195070]","","","","","","","",""
"Pipes","","","Pipe Types","[8386351]","","","","","","","",""
"Pipes","","","Pipe Types","[8386352]","","","","","","","",""
"Pipes","","","Pipe Types","[8388700]","","","","","","","",""
"Pipes","","","Pipe Types","[8388701]","","","","","","","",""
"Pipes","","","Pipe Types","[8389850]","","","","","","","",""
"Pipes","","","Pipe Types","[8389851]","","","","","","","",""
"Pipes","","","Pipe Types","[8484449]","","","","","","","",""
"Pipes","","","Pipe Types","[8484450]","","","","","","","",""
"Pipes","","","Pipe Types","[8484463]","","","","","","","",""
"Pipes","","","Pipe Types","[8484464]","","","","","","","",""
"Pipes","","","Pipe Types","[8484465]","","","","","","","",""
"Pipes","","","Pipe Types","[8484466]","","","","","","","",""
"Pipes","","","Pipe Types","[8484471]","","","","","","","",""
"Pipes","","","Pipe Types","[8484472]","","","","","","","",""
"Pipes","","","Pipe Types","[8484475]","","","","","","","",""
"Pipes","","","Pipe Types","[8484476]","","","","","","","",""
"Pipes","","","Pipe Types","[8484481]","","","","","","","",""
"Pipes","","","Pipe Types","[8484482]","","","","","","","",""
"Pipes","","","Pipe Types","[8487254]","","","","","","","",""
"Pipes","","","Pipe Types","[8487255]","","","","","","","",""
"Pipes","","","Pipe Types","[8487303]","","","","","","","",""
"Pipes","","","Pipe Types","[8487304]","","","","","","","",""
"Pipes","","","Pipe Types","[8487464]","","","","","","","",""
"Pipes","","","Pipe Types","[8487465]","","","","","","","",""
"Pipes","","","Pipe Types","[8488354]","","","","","","","",""
"Pipes","","","Pipe Types","[8488355]","","","","","","","",""
"Pipes","","","Pipe Types","[8488645]","","","","","","","",""
"Pipes","","","Pipe Types","[8488646]","","","","","","","",""
"Pipes","","","Pipe Types","[8490177]","","","","","","","",""
"Pipes","","","Pipe Types","[8490178]","","","","","","","",""
"Pipes","","","Pipe Types","[8490183]","","","","","","","",""
"Pipes","","","Pipe Types","[8490184]","","","","","","","",""
"Pipes","","","Pipe Types","[8499945]","","","","","","","",""
"Pipes","","","Pipe Types","[8499946]","","","","","","","",""
"Pipes","","","Pipe Types","[8500641]","","","","","","","",""
"Pipes","","","Pipe Types","[8500642]","","","","","","","",""
"Pipes","","","Pipe Types","[8501183]","","","","","","","",""
"Pipes","","","Pipe Types","[8501184]","","","","","","","",""
"Pipes","","","Pipe Types","[8501756]","","","","","","","",""
"Pipes","","","Pipe Types","[8501757]","","","","","","","",""
"Pipes","","","Pipe Types","[8506247]","","","","","","","",""
"Pipes","","","Pipe Types","[8506248]","","","","","","","",""
"Pipes","","","Pipe Types","[9297023]","","","","","","","",""
"Pipes","","","Pipe Types","[9297024]","","","","","","","",""
"Pipes","","","Pipe Types","[9389596]","","","","","","","",""
"Pipes","","","Pipe Types","[9389597]","","","","","","","",""
"Pipes","","","Pipe Types","[9389782]","","","","","","","",""
"Pipes","","","Pipe Types","[9389783]","","","","","","","",""
"Pipes","","","Pipe Types","[9389877]","","","","","","","",""
"Pipes","","","Pipe Types","[9389878]","","","","","","","",""
"Pipes","","","Pipe Types","[9389901]","","","","","","","",""
"Pipes","","","Pipe Types","[9389902]","","","","","","","",""
"Pipes","","","Pipe Types","[9399303]","","","","","","","",""
"Pipes","","","Pipe Types","[9399304]","","","","","","","",""
"Pipes","","","Pipe Types","[9399305]","","","","","","","",""
"Pipes","","","Pipe Types","[9399306]","","","","","","","",""
"Pipes","","","Pipe Types","[9399312]","","","","","","","",""
"Pipes","","","Pipe Types","[9399313]","","","","","","","",""
"Pipes","","","Pipe Types","[9399314]","","","","","","","",""
"Pipes","","","Pipe Types","[9399315]","","","","","","","",""
"Pipes","","","Pipe Types","[9399322]","","","","","","","",""
"Pipes","","","Pipe Types","[9399323]","","","","","","","",""
"Pipes","","","Pipe Types","[9399329]","","","","","","","",""
"Pipes","","","Pipe Types","[9399330]","","","","","","","",""
"Pipes","","","Pipe Types","[9399334]","","","","","","","",""
"Pipes","","","Pipe Types","[9399335]","","","","","","","",""
"Pipes","","","Pipe Types","[9399367]","","","","","","","",""
"Pipes","","","Pipe Types","[9399368]","","","","","","","",""
"Pipes","","","Pipe Types","[9399445]","","","","","","","",""
"Pipes","","","Pipe Types","[9399446]","","","","","","","",""
"Pipes","","","Pipe Types","[9403418]","","","","","","","",""
"Pipes","","","Pipe Types","[9403420]","","","","","","","",""
"Pipes","","","Pipe Types","[9413041]","","","","","","","",""
"Pipes","","","Pipe Types","[9413042]","","","","","","","",""
"Pipes","","","Pipe Types","[9413635]","","","","","","","",""
"Pipes","","","Pipe Types","[9413636]","","","","","","","",""
"Pipes","","","Pipe Types","[9415943]","","","","","","","",""
"Pipes","","","Pipe Types","[9415944]","","","","","","","",""
"Pipes","","","Pipe Types","[9415959]","","","","","","","",""
"Pipes","","","Pipe Types","[9415960]","","","","","","","",""
"Pipes","","","Pipe Types","[9432038]","","","","","","","",""
"Pipes","","","Pipe Types","[9432039]","","","","","","","",""
"Pipes","","","Pipe Types","[9432165]","","","","","","","",""
"Pipes","","","Pipe Types","[9432166]","","","","","","","",""
"Pipes","","","Pipe Types","[9432987]","","","","","","","",""
"Pipes","","","Pipe Types","[9432988]","","","","","","","",""
"Pipes","","","Pipe Types","[9436623]","","","","","","","",""
"Pipes","","","Pipe Types","[9436624]","","","","","","","",""
"Pipes","","","Pipe Types","[9436858]","","","","","","","",""
"Pipes","","","Pipe Types","[9436859]","","","","","","","",""
"Pipes","","","Pipe Types","[9769281]","","","","","","","",""
"Pipes","","","Pipe Types","[9769282]","","","","","","","",""
"Pipes","","","Pipe Types","[6226813]","","","","","","","",""
"Pipes","","","Pipe Types","[6226814]","","","","","","","",""
"Pipes","","","Pipe Types","[6227672]","","","","","","","",""
"Pipes","","","Pipe Types","[6227673]","","","","","","","",""
"Pipes","","","Pipe Types","[6227674]","","","","","","","",""
"Pipes","","","Pipe Types","[6227675]","","","","","","","",""
"Pipes","","","Pipe Types","[6227678]","","","","","","","",""
"Pipes","","","Pipe Types","[6227679]","","","","","","","",""
"Pipes","","","Pipe Types","[7039242]","","","","","","","",""
"Pipes","","","Pipe Types","[7039243]","","","","","","","",""
"Pipes","","","Pipe Types","[7115857]","","","","","","","",""
"Pipes","","","Pipe Types","[7115858]","","","","","","","",""
"Pipes","","","Pipe Types","[7115861]","","","","","","","",""
"Pipes","","","Pipe Types","[7115862]","","","","","","","",""
"Pipes","","","Pipe Types","[7115863]","","","","","","","",""
"Pipes","","","Pipe Types","[7115864]","","","","","","","",""
"Pipes","","","Pipe Types","[7115865]","","","","","","","",""
"Pipes","","","Pipe Types","[7115866]","","","","","","","",""
"Pipes","","","Pipe Types","[7211457]","","","","","","","",""
"Pipes","","","Pipe Types","[7211458]","","","","","","","",""
"Pipes","","","Pipe Types","[7212085]","","","","","","","",""
"Pipes","","","Pipe Types","[7212086]","","","","","","","",""
"Pipes","","","Pipe Types","[7212556]","","","","","","","",""
"Pipes","","","Pipe Types","[7212557]","","","","","","","",""
"Pipes","","","Pipe Types","[7314336]","","","","","","","",""
"Pipes","","","Pipe Types","[7314337]","","","","","","","",""
"Pipes","","","Pipe Types","[7314339]","","","","","","","",""
"Pipes","","","Pipe Types","[7314340]","","","","","","","",""
"Pipes","","","Pipe Types","[7314342]","","","","","","","",""
"Pipes","","","Pipe Types","[7314343]","","","","","","","",""
