"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Structural Columns","COL-CON-STC-REC","450 x 450mm_PC (Type 15)","COL-CON-STC-REC","[159596]","","","","450x450","450 x 450mm_PC (Type 15)","OOG_Concrete Precast",""
"Structural Columns","COL-CON-STC-REC","450 x 450mm_PC (Type 15)","COL-CON-STC-REC","[159600]","","","","450x450","450 x 450mm_PC (Type 15)","OOG_Concrete Precast",""
"Structural Columns","COL-CON-STC-REC","450 x 450mm_PC (Type 15)","COL-CON-STC-REC","[159606]","","","","450x450","450 x 450mm_PC (Type 15)","OOG_Concrete Precast",""
"Structural Columns","COL-CON-STC-REC","450 x 450mm_PC (Type 15)","COL-CON-STC-REC","[159612]","","","","450x450","450 x 450mm_PC (Type 15)","OOG_Concrete Precast",""
"Structural Columns","COL-CON-STC-REC","450 x 450mm_PC (Type 15)","COL-CON-STC-REC","[159614]","","","","450x450","450 x 450mm_PC (Type 15)","OOG_Concrete Precast",""
"Structural Columns","COL-CON-STC-REC","450 x 450mm_PC (Type 15)","COL-CON-STC-REC","[159616]","","","","450x450","450 x 450mm_PC (Type 15)","OOG_Concrete Precast",""
"Structural Columns","COL-CON-STC-REC","450 x 450mm_PC (Type 15)","COL-CON-STC-REC","[180576]","","","","450x450","450 x 450mm_PC (Type 15)","OOG_Concrete Precast",""
"Structural Columns","COL-CON-STC-REC","450 x 450mm_PC (Type 15)","COL-CON-STC-REC","[180580]","","","","450x450","450 x 450mm_PC (Type 15)","OOG_Concrete Precast",""
"Structural Columns","COL-CON-STC-REC","450 x 450mm_PC (Type 15)","COL-CON-STC-REC","[180584]","","","","450x450","450 x 450mm_PC (Type 15)","OOG_Concrete Precast",""
"Structural Columns","COL-CON-STC-REC","450 x 450mm_PC (Type 15)","COL-CON-STC-REC","[180588]","","","","450x450","450 x 450mm_PC (Type 15)","OOG_Concrete Precast",""
"Structural Columns","COL-CON-STC-REC","450 x 450mm_PC (Type 15)","COL-CON-STC-REC","[180590]","","","","450x450","450 x 450mm_PC (Type 15)","OOG_Concrete Precast",""
"Structural Columns","COL-CON-STC-REC","450 x 450mm_PC (Type 15)","COL-CON-STC-REC","[180592]","","","","450x450","450 x 450mm_PC (Type 15)","OOG_Concrete Precast",""
"Structural Columns","COL-CON-STC-REC","450 x 450mm_PC (Type 15b)","COL-CON-STC-REC","[159598]","","","","450x450","450 x 450mm_PC (Type 15b)","OOG_Concrete Precast",""
"Structural Columns","COL-CON-STC-REC","450 x 450mm_PC (Type 15b)","COL-CON-STC-REC","[180578]","","","","450x450","450 x 450mm_PC (Type 15b)","OOG_Concrete Precast",""
