Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Specialty Equipment,,,Cap plate,,,,,,,
Specialty Equipment,,,Cap plate 190,,,,,,,
Specialty Equipment,,,Cap plate 210,,,,,,,
Specialty Equipment,,,Cap plate 227,,,,,,,
Specialty Equipment,,,Cap plate 250,,,,,,,
Specialty Equipment,,,Cap plate 271,,,,,,,
Specialty Equipment,,,Cap plate 327,,,,,,,
Specialty Equipment,,,Cap plate 387,,,,,,,
Specialty Equipment,,,Cap plate 411,,,,,,,
Specialty Equipment,,,Cap plate 429,,,,,,,
Specialty Equipment,,,Cap plate 444,,,,,,,
Specialty Equipment,,,Cap plate 478,,,,,,,
Specialty Equipment,,,Cap plate 510,,,,,,,
Specialty Equipment,,,Cap plate 532,,,,,,,
Specialty Equipment,,,Cap plate 554,,,,,,,
Specialty Equipment,,,Cap plate 587,,,,,,,
Specialty Equipment,,,Cap plate 610,,,,,,,
Specialty Equipment,,,Cap plate 640,,,,,,,
Specialty Equipment,,,Cap plate 667,,,,,,,
Specialty Equipment,,,Bolt assembly,,,,,,,
Specialty Equipment,,,NUT,,,,,,,
Specialty Equipment,,,NUT 816,,,,,,,
Specialty Equipment,,,NUT 950,,,,,,,
Specialty Equipment,,,NUT 983,,,,,,,
Specialty Equipment,,,NUT 1082,,,,,,,
Specialty Equipment,,,NUT 1117,,,,,,,
Specialty Equipment,,,NUT 1217,,,,,,,
Specialty Equipment,,,NUT 1252,,,,,,,
Specialty Equipment,,,NUT 1350,,,,,,,
Specialty Equipment,,,NUT 1385,,,,,,,
Specialty Equipment,,,NUT 1483,,,,,,,
Specialty Equipment,,,NUT 1516,,,,,,,
Specialty Equipment,,,Bolt assembly 1609,,,,,,,
Specialty Equipment,,,NUT 1623,,,,,,,
Specialty Equipment,,,NUT 1656,,,,,,,
Specialty Equipment,,,NUT 1744,,,,,,,
Specialty Equipment,,,NUT 1778,,,,,,,
Specialty Equipment,,,NUT 1861,,,,,,,
Specialty Equipment,,,NUT 1893,,,,,,,
Specialty Equipment,,,NUT 1979,,,,,,,
Specialty Equipment,,,NUT 2012,,,,,,,
Specialty Equipment,,,NUT 2097,,,,,,,
Specialty Equipment,,,NUT 2130,,,,,,,
Specialty Equipment,,,NUT 2224,,,,,,,
Specialty Equipment,,,NUT 2255,,,,,,,
Specialty Equipment,,,NUT 2325,,,,,,,
Specialty Equipment,,,NUT 2349,,,,,,,
Specialty Equipment,,,NUT 2412,,,,,,,
Specialty Equipment,,,NUT 2436,,,,,,,
Specialty Equipment,,,Bolt assembly 2519,,,,,,,
Specialty Equipment,,,Bolt assembly 2553,,,,,,,
Specialty Equipment,,,Bolt assembly 2576,,,,,,,
Specialty Equipment,,,Bolt assembly 2596,,,,,,,
Specialty Equipment,,,Bolt assembly 2610,,,,,,,
Specialty Equipment,,,Bolt assembly 2629,,,,,,,
Specialty Equipment,,,Bolt assembly 2647,,,,,,,
Specialty Equipment,,,Bolt assembly 2659,,,,,,,
Specialty Equipment,,,Bolt assembly 2669,,,,,,,
Specialty Equipment,,,Bolt assembly 2689,,,,,,,
Specialty Equipment,,,Bolt assembly 2709,,,,,,,
Specialty Equipment,,,Bolt assembly 2742,,,,,,,
Specialty Equipment,,,Bolt assembly 2859,,,,,,,
Specialty Equipment,,,NUT 2873,,,,,,,
Specialty Equipment,,,NUT 2906,,,,,,,
Specialty Equipment,,,Bolt assembly 3058,,,,,,,
Specialty Equipment,,,Bolt assembly 3128,,,,,,,
Specialty Equipment,,,Bolt assembly 3280,,,,,,,
Specialty Equipment,,,NUT 3290,,,,,,,
Specialty Equipment,,,NUT 3314,,,,,,,
Specialty Equipment,,,Bolt assembly 3385,,,,,,,
Specialty Equipment,,,Bolt assembly 3427,,,,,,,
Specialty Equipment,,,Bolt assembly 3477,,,,,,,
Specialty Equipment,,,Bolt assembly 3510,,,,,,,
Specialty Equipment,,,Bolt assembly 3553,,,,,,,
Specialty Equipment,,,NUT 3566,,,,,,,
Specialty Equipment,,,NUT 3598,,,,,,,
Specialty Equipment,,,Bolt assembly 3714,,,,,,,
Specialty Equipment,,,NUT 3722,,,,,,,
Specialty Equipment,,,NUT 3746,,,,,,,
Specialty Equipment,,,Bolt assembly 3832,,,,,,,
Specialty Equipment,,,Bolt assembly 3872,,,,,,,
Specialty Equipment,,,NUT 3885,,,,,,,
Specialty Equipment,,,NUT 3915,,,,,,,
Specialty Equipment,,,NUT 3993,,,,,,,
Specialty Equipment,,,NUT 4027,,,,,,,
Specialty Equipment,,,NUT 4118,,,,,,,
Specialty Equipment,,,NUT 4151,,,,,,,
Specialty Equipment,,,NUT 4238,,,,,,,
Specialty Equipment,,,NUT 4271,,,,,,,
Specialty Equipment,,,Bolt assembly 4355,,,,,,,
Specialty Equipment,,,NUT 4366,,,,,,,
Specialty Equipment,,,NUT 4399,,,,,,,
Specialty Equipment,,,Bolt assembly 4586,,,,,,,
Specialty Equipment,,,Bolt assembly 4814,,,,,,,
Specialty Equipment,,,Bolt assembly 4848,,,,,,,
Specialty Equipment,,,NUT 4858,,,,,,,
Specialty Equipment,,,NUT 4882,,,,,,,
Specialty Equipment,,,NUT 4947,,,,,,,
Specialty Equipment,,,NUT 4971,,,,,,,
Specialty Equipment,,,NUT 5049,,,,,,,
Specialty Equipment,,,NUT 5082,,,,,,,
Specialty Equipment,,,NUT 5179,,,,,,,
Specialty Equipment,,,NUT 5209,,,,,,,
Specialty Equipment,,,NUT 5285,,,,,,,
Specialty Equipment,,,NUT 5317,,,,,,,
Specialty Equipment,,,NUT 5386,,,,,,,
Specialty Equipment,,,NUT 5410,,,,,,,
Specialty Equipment,,,NUT 5471,,,,,,,
Specialty Equipment,,,NUT 5495,,,,,,,
Specialty Equipment,,,NUT 5556,,,,,,,
Specialty Equipment,,,NUT 5580,,,,,,,
Specialty Equipment,,,NUT 5640,,,,,,,
Specialty Equipment,,,NUT 5664,,,,,,,
Specialty Equipment,,,NUT 5731,,,,,,,
Specialty Equipment,,,NUT 5755,,,,,,,
Specialty Equipment,,,Bolt assembly 5853,,,,,,,
Specialty Equipment,,,Bolt assembly 5864,,,,,,,
Specialty Equipment,,,Bolt assembly 5874,,,,,,,
Specialty Equipment,,,Bolt assembly 5882,,,,,,,
Specialty Equipment,,,Bolt assembly 5890,,,,,,,
Specialty Equipment,,,Bolt assembly 5898,,,,,,,
Specialty Equipment,,,Bolt assembly 5909,,,,,,,
Specialty Equipment,,,Bolt assembly 5917,,,,,,,
Specialty Equipment,,,Bolt assembly 5925,,,,,,,
Specialty Equipment,,,Bolt assembly 5933,,,,,,,
Specialty Equipment,,,Bolt assembly 5941,,,,,,,
Specialty Equipment,,,Bolt assembly 5949,,,,,,,
Specialty Equipment,,,Bolt assembly 5982,,,,,,,
Specialty Equipment,,,NUT 5994,,,,,,,
Specialty Equipment,,,NUT 6024,,,,,,,
Specialty Equipment,,,NUT 6051,,,,,,,
Specialty Equipment,,,NUT 6071,,,,,,,
Specialty Equipment,,,NUT 6182,,,,,,,
Specialty Equipment,,,NUT 6212,,,,,,,
Specialty Equipment,,,NUT 6239,,,,,,,
Specialty Equipment,,,NUT 6259,,,,,,,
Specialty Equipment,,,Bolt assembly 6334,,,,,,,
Specialty Equipment,,,NUT 6342,,,,,,,
Specialty Equipment,,,NUT 6366,,,,,,,
Specialty Equipment,,,NUT 6390,,,,,,,
Specialty Equipment,,,NUT 6404,,,,,,,
Specialty Equipment,,,NUT 6468,,,,,,,
Specialty Equipment,,,NUT 6494,,,,,,,
Specialty Equipment,,,NUT 6518,,,,,,,
