Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Structural Framing,Rectangular and Square Hollow Sections,RHS200x150x6 Lintel,Rectangular and Square Hollow Sections,,,,,RHS200x150x6 Lintel,Metal - Steel - 345 MPa,
Structural Framing,Rectangular and Square Hollow Sections,SHS75x75x4,Rectangular and Square Hollow Sections,,,,,SHS75x75x4,Metal - Steel - 345 MPa,
Structural Framing,Rectangular and Square Hollow Sections,SHS50x50x3,Rectangular and Square Hollow Sections,,,,,SHS50x50x3,Metal - Steel - 345 MPa,
Structural Framing,L-Angles,L50x50x3,L-Angles,,,,,L50x50x3,Metal - Steel - 345 MPa,
Structural Framing,L-Angles,L38x38x3 2,L-Angles,,,,,L38x38x3 2,Metal - Steel - 345 MPa,
Structural Framing,L-Angles,L38x38x3-bracket,L-Angles,,,,,L38x38x3-bracket,Metal - Steel - 345 MPa,
Structural Framing,L-Angles,L75x50x3,L-Angles,,,,,L75x50x3,Metal - Steel - 345 MPa,
Structural Framing,L-Angles,L38x38x3-RUNNERS,L-Angles,,,,,L38x38x3-RUNNERS,Metal - Steel - 345 MPa,
Structural Framing,L-Angles,L75x50x6 bracket,L-Angles,,,,,L75x50x6 bracket,Metal - Steel - 345 MPa,
Structural Framing,L-Angles,L150x75x6_angle bar bracket top,L-Angles,,,,,L150x75x6_angle bar bracket top,Metal - Steel - 345 MPa,
Structural Framing,L-Angles,L38x38x3 BRACKET 2,L-Angles,,,,,L38x38x3 BRACKET 2,Metal - Steel - 345 MPa,
Structural Framing,L-Angles,L38x38x3-bracket 2,L-Angles,,,,,L38x38x3-bracket 2,Metal - Steel - 345 MPa,
Structural Framing,L-Angles,L75x75x6_angle bar bracket,L-Angles,,,,,L75x75x6_angle bar bracket,Metal - Steel - 345 MPa,
Structural Framing,L-Angles,L75x150x6_angle bar bracket 2,L-Angles,,,,,L75x150x6_angle bar bracket 2,Metal - Steel - 345 MPa,
Structural Framing,L-Angles,L50x50x3-trimmed,L-Angles,,,,,L50x50x3-trimmed,Metal - Steel - 345 MPa,
Structural Framing,C-Channels,60x30x2.3T bracket,C-Channels,,,,,60x30x2.3T bracket,Metal - Steel - 345 MPa,
Walls,Curtain Wall,WALL-CLAD-3THK_-,Solid Panel_P1,,,,,WALL-CLAD-3THK,,3mmT Aluminum bent panel (RAL 9006)
Walls,Curtain Wall,WALL-CLAD-3THK_-,Curtain Wall,,,,,WALL-CLAD-3THK_-,<By Category>,
Walls,Curtain Wall,WALL-CW-142THK,Glazing 1bb,,,,,WALL-CW-24THK,,24mmT DGU glazing
Walls,Curtain Wall,WALL-CW-142THK,Rectangular Mullion,,,,,WALL-CW-50THK.,,Aluminoum profile extrusion mullion (RAL 7016)
Walls,Curtain Wall,WALL-CW-142THK,Rectangular Mullion,,,,,WALL-CW-50THK,,Aluminoum profile extrusion mullion (RAL 7016)
Walls,Curtain Wall,WALL-CW-142THK,Glazing 1b,,,,,WALL-CW-24THK,,24mmT DGU glazing
Walls,Curtain Wall,WALL-CW-142THK,Glazing 1bbb,,,,,WALL-CW-24THK,,24mmT DGU glazing
Walls,Curtain Wall,WALL-CW-142THK,Backpan-1b,,,,,WALL-CW-520THK,,3mmT Aluminium bent panel (RAL 7016)
Walls,Curtain Wall,WALL-CW-142THK,Spring-BTS-80,,,,,BTS80 EMB EN4,,
Walls,Curtain Wall,WALL-CW-142THK,DR-GDI-GLS-2P_,,,,,995W+995W*2470H,,
Walls,Curtain Wall,WALL-CW-142THK,Curtain Wall,,,,,WALL-CW-142THK,<By Category>,
Walls,Curtain Wall,WALL-CW-142THK,Glazing 1e,,,,,WALL-CW-25.52THK,,25.52mmT DGU glazing
Walls,Curtain Wall,WALL-CLAD-3THK,WALL-CLAD-3THK,,,,,WALL-CLAD-3THK,,3mmT Aluminum bent panel (RAL 9006)
Walls,Curtain Wall,WALL-CLAD-3THK,Curtain Wall,,,,,WALL-CLAD-3THK,<By Category>,
Walls,Curtain Wall,WALL-CLAD-3THK,Solid Panel_P3,,,,,WALL-CLAD-3THK,,3mmT Aluminum bent panel (RAL 9006)
Walls,Curtain Wall,WALL-CLAD-3THK,Solid Panel_P2,,,,,WALL-CLAD-3THK,,3mmT Aluminum bent panel (RAL 9006)
Walls,Curtain Wall,"WALL-CLAD-25THK,.",Aluminium panel 4ee,,,,,WALL-CLAD-25THK,,3mmT aluminium bent panel (RAL7004)
Walls,Curtain Wall,"WALL-CLAD-25THK,.",Curtain Wall,,,,,"WALL-CLAD-25THK,.",<By Category>,
