Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Walls,Unnamed,Unnamed,Unnamed,,,,,Unnamed,<By Category>,
Walls,Unnamed 171,Unnamed 171,Unnamed 171,,,,,Unnamed 171,<By Category>,
Walls,Unnamed 195,Unnamed 195,Unnamed 195,,,,,Unnamed 195,<By Category>,
Walls,Unnamed 209,Unnamed 209,Unnamed 209,,,,,Unnamed 209,<By Category>,
Walls,Unnamed 253,Unnamed 253,Unnamed 253,,,,,Unnamed 253,<By Category>,
Walls,Unnamed 302,Unnamed 302,Unnamed 302,,,,,Unnamed 302,<By Category>,
Walls,Unnamed 344,Unnamed 344,Unnamed 344,,,,,Unnamed 344,<By Category>,
Walls,Unnamed 358,Unnamed 358,Unnamed 358,,,,,Unnamed 358,<By Category>,
Walls,Unnamed 367,Unnamed 367,Unnamed 367,,,,,Unnamed 367,<By Category>,
Walls,Unnamed 398,Unnamed 398,Unnamed 398,,,,,Unnamed 398,<By Category>,
Walls,Unnamed 435,Unnamed 435,Unnamed 435,,,,,Unnamed 435,<By Category>,
Walls,Unnamed 476,Unnamed 476,Unnamed 476,,,,,Unnamed 476,<By Category>,
Walls,Unnamed 491,Unnamed 491,Unnamed 491,,,,,Unnamed 491,<By Category>,
Walls,Unnamed 500,Unnamed 500,Unnamed 500,,,,,Unnamed 500,<By Category>,
Walls,Unnamed 532,Unnamed 532,Unnamed 532,,,,,Unnamed 532,<By Category>,
Walls,PANEL,PANEL,PANEL,,,,,PANEL,<By Category>,
Walls,PANEL 686,PANEL 686,PANEL 686,,,,,PANEL 686,<By Category>,
Walls,Unnamed 744,Unnamed 744,Unnamed 744,,,,,Unnamed 744,<By Category>,
Walls,Unnamed 766,Unnamed 766,Unnamed 766,,,,,Unnamed 766,<By Category>,
Walls,Unnamed 784,Unnamed 784,Unnamed 784,,,,,Unnamed 784,<By Category>,
Walls,Unnamed 798,Unnamed 798,Unnamed 798,,,,,Unnamed 798,<By Category>,
Walls,Unnamed 840,Unnamed 840,Unnamed 840,,,,,Unnamed 840,<By Category>,
Walls,Unnamed 883,Unnamed 883,Unnamed 883,,,,,Unnamed 883,<By Category>,
Walls,Unnamed 896,Unnamed 896,Unnamed 896,,,,,Unnamed 896,<By Category>,
