Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Generic Models,FT02-FW5A,NL-WD-LW-1P-FP-1050W*2900H,FT02-FW5A,,,1050X2900,Louver with Vision Glass,NL-WD-LW-1P-FP-1050W*2900H,,Aluminum
Generic Models,FT02-FW5A,NL-WD-LW-1P-FP-1050W*2900W,FT02-FW5A,,,1050X2900,Louver with Vision Glass,NL-WD-LW-1P-FP-1050W*2900W,,Aluminum
Generic Models,FT02-LV2,NL-WD-LW-1P-FP-1050W*2285H,FT02-LV2,,,1050 X 2285,,NL-WD-LW-1P-FP-1050W*2285H,,Aluminum
Generic Models,FT02-LV2,NL-WD-LW-1P-FP-1050W*1775H,FT02-LV2,,,1050 X 1775,,NL-WD-LW-1P-FP-1050W*1775H,,Aluminum
Generic Models,FT02-LV2,NL-WD-LW-1P-FP-1050W*2300H,FT02-LV2,,,1050 X 2300,,NL-WD-LW-1P-FP-1050W*2300H,,Aluminum
Generic Models,FT02-LV2,NL-WD-LW-1P-FP-1050W*2900H,FT02-LV2,,,1050 X 2900,,NL-WD-LW-1P-FP-1050W*2900H,,Aluminum
Generic Models,FT02-LV2,NL-WD-LW-1P-FP-750W*2900H,FT02-LV2,,,750 X 2900,,NL-WD-LW-1P-FP-750W*2900H,,Aluminum
Generic Models,FT02-LV2,NL-WD-LW-1P-FP-1050W*1760H,FT02-LV2,,,1050 X 1760,,NL-WD-LW-1P-FP-1050W*1760H,,Aluminum
Generic Models,FT02-LV2,NL-WD-LW-1P-FP-1378W*960H,FT02-LV2,,,1378 x 960,,NL-WD-LW-1P-FP-1378W*960H,,Aluminum
Generic Models,FT02-LV1,NL-WD-LW-1P-FP-1050W*2750H,FT02-LV1,,,1050 X 2750,,NL-WD-LW-1P-FP-1050W*2750H,,Aluminum
Generic Models,FT02-LV1,NL-WD-LW-1P-FP-750W*2750H,FT02-LV1,,,750 X 2750,,NL-WD-LW-1P-FP-750W*2750H,,Aluminum
Generic Models,FT02-FAP-1,NL-WD-LW-1P-FP/SL-1050W*2750H,FT02-FAP-1,,,1050 X 2750,,NL-WD-LW-1P-FP/SL-1050W*2750H,,Aluminum
Generic Models,FT02-FAP-1,NL-WD-LW-1P-FP/SH-1050W*2750H,FT02-FAP-1,,,1050 X 2750,,NL-WD-LW-1P-FP/SH-1050W*2750H,,Aluminum
Generic Models,FT02-FAP-2,NL-WD-LW-1P-FP/SH-1050W*2900H,FT02-FAP-2,,,1050X2900,,NL-WD-LW-1P-FP/SH-1050W*2900H,,Aluminum
Generic Models,FT02-FAP-2,NL-WD-LW-1P-FP-1050W*2900H,FT02-FAP-2,,,1050X2900,,NL-WD-LW-1P-FP-1050W*2900H,,Aluminum
Generic Models,FT01-LV3,NL-WD-LW-3P-FP-2630W*1037H,FT01-LV3,,,2630 X 1037,,NL-WD-LW-3P-FP-2630W*1037H,,Aluminum
Generic Models,FT01-LV3,NL-WD-LW-2P-FP-2550W*1900H,FT01-LV3,,,1037 x 1900,,NL-WD-LW-2P-FP-2550W*1900H,,Aluminum
Generic Models,FT01-LV1A,NL-WD-LW-3P-FP-3160W*2230H,FT01-LV1A,,,3160 X 2230,,NL-WD-LW-3P-FP-3160W*2230H,,Aluminum
Generic Models,FT01-LV2-S-FAP2B,NL-WD-LW-3P-FP/SL-3160W*2230H,FT01-LV2-S-FAP2B,,,3160X2230,,NL-WD-LW-3P-FP/SL-3160W*2230H,,Aluminum
Generic Models,FT01-LV2-SA,NL-WD-LW-3P-FP/SL-3115W*2230H,FT01-LV2-SA,,,3115 X 2230,,NL-WD-LW-3P-FP/SL-3115W*2230H,,Aluminum
Generic Models,FT01-LV1B,FT01-LV1B,FT01-LV1B,,,3160 X 2230,,FT01-LV1B,,Aluminum
