Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Mechanical Equipment,PB_SANI_Ejector Pump_Vertical Discharge_Non-Hosted,SANI,PB_SANI_Ejector Pump_Vertical Discharge_Non-Hosted,,,,,SANI,,
Mechanical Equipment,,,Calpeda Pump,,,,,,,
Mechanical Equipment,,,Pressure_Vessel,,,,,,,
Mechanical Equipment,,,50mm Automatic Backwash Filter,,,,,,,
Pipes,,,Pipe Types,,,,,,,
Pipe Fittings,,,M_Tee - PVC - Sch 40,,,,,,,
Pipe Fittings,,,M_Elbow - PVC - Sch 40,,,,,,,
Pipe Fittings,,,M_Coupling Reducing - PVC - Sch 40,,,,,,,
Pipe Fittings,,,M_Cap - PVC - Sch 40,,,,,,,
Pipe Fittings,,,M_Coupling - PVC - Sch 40 - DWV,,,,,,,
Pipe Fittings,,,M_Cross - PVC - Sch 40,,,,,,,
Pipe Accessories,M_Gate Valve - 50-300 mm,25 mm,M_Gate Valve - 50-300 mm,,,GATE VALVE,,25 mm,,
Pipe Accessories,M_Gate Valve - 50-300 mm,50 mm,M_Gate Valve - 50-300 mm,,,,,50 mm,,
Pipe Accessories,M_Solenoid Valve - 15-80 mm,25 mm,M_Solenoid Valve - 15-80 mm,,,SOLENOID VALVE,,25 mm,,
Pipe Accessories,M_Solenoid Valve - 15-80 mm,50 mm,M_Solenoid Valve - 15-80 mm,,,MASTER VALVE,,50 mm,,
Pipe Accessories,M_Check Valve - 50-300 mm - Flanged,50 mm,M_Check Valve - 50-300 mm - Flanged,,,,,50 mm,,
Generic Models,Plinth,Plinth,Plinth,,,,,Plinth,,
Generic Models,,,IRR Wall Circle Opening,,,,,,,
Generic Models,,,IRR Slab Circle Opening,,,,,,,
Generic Models,,,Pipe Floor Support,,,,,,,
Electrical Equipment,,,Generic Control Panel,,,,,,,
Electrical Equipment,,,ICC2 Hydrawise,,,,,,,
