Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Fire Alarm Devices,,,PB_FIRE_Detector_Ceiling Surface,,,,,,,
Fire Alarm Devices,PB_FIRE_MCP With Bell_Wall Mounted,Indoor MCP with Bell,PB_FIRE_MCP With Bell_Wall Mounted,,,,,Indoor MCP with Bell,,
Fire Alarm Devices,,,PB_FIRE_Light_Wall Mounted,,,,,,,
Fire Alarm Devices,,,PB_FIREGAS_Warning Signage_Wall Mounted,,,,,,,
Fire Alarm Devices,,,PB_FIREGAS_Siren_Wall Mounted,,,,,,,
Fire Alarm Devices,PB_FIRE_Alarm Bell_Wall Mounted(GAS),FIREGAS_Indoor Alarm Bell,PB_FIRE_Alarm Bell_Wall Mounted(GAS),,,,,FIREGAS_Indoor Alarm Bell,,
Fire Alarm Devices,,,PB_FIRE_Fire Alarm Panel_Wall Mounted (GAS),,,,,,,
Fire Alarm Devices,,,PB_FIRE_Fire Alarm Device_Wall Mounted_GAS,,,,,,,
Fire Alarm Devices,,,PB_FIRE_Fire Alarm Device_Wall Mounted,,,,,,,
Fire Alarm Devices,,,PB_FIRE_Light_Ceiling Mounted,,,,,,,
Fire Alarm Devices,,,PB_FIRE_Fire Alarm Panel_Wall Mounted,,,,,,,
Fire Alarm Devices,,,PB_FIREGAS_Detector_Face Mounted,,,,,,,
Fire Alarm Devices,,,Sunken Pit 100 ,,,,,,,
Pipe Accessories,,,PB_FIRE_WET_Sprinkler cw Elbow_Non-Hosted,,,,,,,
Pipe Accessories,,,PB_FIRE_Subsidiary Valve_Welded_65-300mm,,,,,,,
Pipe Accessories,,,PB_FIRE_Switch,,,,,,,
Pipe Accessories,,,PB_FIRE_Riser Landing Valve,,,,,,,
Pipe Accessories,,,PB_FIRE_Control Valve_Welded_65-500mm,,,,,,,
Pipe Accessories,,,PB_FIRE_Breeching Inlet - 4 Way,,,,,,,
Pipe Accessories,,,PB_FIRE_Breeching Inlet - 2 Way,,,,,,,
Pipe Accessories,,,PB_FIRE_Gate Valve_Threaded_15-65mm,,,,,,,
Pipe Accessories,,,PB_FIRE_Drain Off Valve_Threaded_25mm,,,,,,,
Pipe Accessories,PB_FIRE_Gate Valve_Flanged_65-500mm,Gate Valve,PB_FIRE_Gate Valve_Flanged_65-500mm,,,,,Gate Valve,,
Pipe Accessories,,,PB_FIRE_Automatic Air Release Valve_25mm,,,,,,,
Pipe Accessories,,,Fire_Pipe_STR Wall_Opening,,,,,,,
Pipe Accessories,,,PB_FIRE_Flexible Connection_Threaded_20-65mm,,,,,,,
Pipe Accessories,,,PB_FIRE_Y Strainer_Threaded_15-65mm,,,,,,,
Pipe Accessories,,,PB_FIRE_Gauge,,,,,,,
Pipe Accessories,PB_FIRE_Sluice Valve_Flanged_65-500mm,Sluice Valve,PB_FIRE_Sluice Valve_Flanged_65-500mm,,,,,Sluice Valve,,
