Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Electrical Fixtures,TEE_Electrical Fixture_SSO_Wall Recessed,230V 13A SSO Metalclad,TEE_Electrical Fixture_SSO_Wall Recessed,,,,,230V 13A SSO Metalclad,,
Electrical Fixtures,TEE_Electrical Fixture_SSO_Wall Recessed,230V 13A SSO (2G) Standard,TEE_Electrical Fixture_SSO_Wall Recessed,,,,,230V 13A SSO (2G) Standard,,
Electrical Fixtures,TEE_Electrical Fixture_SSO_Wall Recessed,230V 13A SSO Standard,TEE_Electrical Fixture_SSO_Wall Recessed,,,,,230V 13A SSO Standard,,
Electrical Fixtures,TEE_Electrical Fixture_SSO_Wall Recessed,230V 15A SSO (2G) Metalclad,TEE_Electrical Fixture_SSO_Wall Recessed,,,,,230V 15A SSO (2G) Metalclad,,
Electrical Fixtures,TEE_Electrical Fixture_SSO_Wall Recessed,230V 13A SSO (2G) Metalclad,TEE_Electrical Fixture_SSO_Wall Recessed,,,,,230V 13A SSO (2G) Metalclad,,
Electrical Fixtures,TEE_Electrical Fixture_SSO_Wall Recessed,230V 15A SSO (2G) Metalclad (WP),TEE_Electrical Fixture_SSO_Wall Recessed,,,,,230V 15A SSO (2G) Metalclad (WP),,
Electrical Fixtures,,,PB_ELEC_GEN_Isolator_Wall Surface,,,,,,,
Electrical Fixtures,,,PB_ELEC_GEN_Earth Bar_Wall Mounted,,,,,,,
Electrical Fixtures,,,PB_ELEC_GEN_Ceeform_Wall Mounted,,,,,,,
Electrical Fixtures,TEE_Electrical Fixture_SSO_Weatherproof,230V 13A SSO (2G) Standard (WP),TEE_Electrical Fixture_SSO_Weatherproof,,,,,230V 13A SSO (2G) Standard (WP),,
Electrical Fixtures,TEE_Electrical Fixture_SSO_Weatherproof,230V 13A SSO (2G) Metalclad (WP),TEE_Electrical Fixture_SSO_Weatherproof,,,,,230V 13A SSO (2G) Metalclad (WP),,
Electrical Fixtures,TEE_Electrical Fixture_SSO_Weatherproof,230V 13A SSO Metalclad (WP),TEE_Electrical Fixture_SSO_Weatherproof,,,,,230V 13A SSO Metalclad (WP),,
Electrical Fixtures,TEE_Electrical Fixture_SSO_Exposed,230V 13A SSO (2G) Metalclad,TEE_Electrical Fixture_SSO_Exposed,,,,,230V 13A SSO (2G) Metalclad,,
