Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Generic Models,LCBC Bollard,LCBC Bollard,LCBC Bollard,,,,,LCBC Bollard,,
Floors,Floor,LCBC_AR_CARPARK_100mm Var,Floor,,,,,LCBC_AR_CARPARK_100mm Var,FLOOR ASPHALT,
Floors,Floor,LCBC_AR_FL_600mm(Planting Area),Floor,,,,,LCBC_AR_FL_600mm(Planting Area),L166_Plant,
Floors,Floor,LCBC_AR_CARPARK_100mm,Floor,,,,,LCBC_AR_CARPARK_100mm,FLOOR ASPHALT,
Floors,Floor,LCBC_AR_ROADMARK_5mm,Floor,,,,,LCBC_AR_ROADMARK_5mm,PARKING-STRIP (YELLOW),
Floors,Floor,LCBC_Arch_Screed_100mm,Floor,,,100mm THK CEMENT SCREED,,LCBC_Arch_Screed_100mm,LCBC_Concrete Screed,
Floors,Floor,LCBC_AR_FL_200mm(Planting Area),Floor,,,,,LCBC_AR_FL_200mm(Planting Area),L166_Plant,
Floors,Floor,LCBC_AR_FL_25mm,Floor,,,800mm THK RC FLOOR SLAB,,LCBC_AR_FL_25mm,FN-CONC SCREED,
Floors,Floor,LCBC_AR_FL_5mm,Floor,,,800mm THK RC FLOOR SLAB,,LCBC_AR_FL_5mm,Default,
Parking,L166_Parking,2400x4800_Single,L166_Parking,,,,,2400x4800_Single,,<By Category>
Parking,L166_No Parking,Type 1,L166_No Parking,,,,,Type 1,,<By Category>
Parking,,,Removable Hump_4,,,,,,,
Parking,,,Removable Hump_1,,,,,,,
Parking,,,Removable Hump_5,,,,,,,
Parking,,,Removable Hump_2,,,,,,,
Parking,,,Removable Hump_8,,,,,,,
Parking,,,Removable Hump_9,,,,,,,
Parking,,,Removable Hump_10,,,,,,,
Parking,,,Removable Hump_3,,,,,,,
Plumbing Fixtures,,,L166_Parametric Drain_(600W),,,,,,,
Site,,,LCBC_Left Right Turn Arrow,,,,,,,
Site,,,LCBC_Straight On Arrow,,,,,,,
Site,,,LCBC_Straight w Turn,,,,,,,
Site,,,LCBC_Addaptive point,,,,,,,
Site,Barricade,Small,Barricade,,,,,Small,,
Site,,,BENCH_1,,,,,,,
Site,,,BENCH_2,,,,,,,
Planting,,,RPC Tree - Deciduous,,,,,,,
Walls,Basic Wall,LCBC_Skimcoat_10mm,Basic Wall,B2010120,Ext. Wall - Precast,10mm THK SKIM COAT,,LCBC_Skimcoat_10mm,Skimcoat,
