Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Walls,Curtain Wall,BLDG 2_External CW-downhung,JTC_PEPL_B2_GL1-VISION GLASS,,,,,JTC_PEPL_B2_GL1-VISION GLASS,,
Walls,Curtain Wall,BLDG 2_External CW-downhung,Rectangular Mullion,,,,,B2_Mullion glass to glass,,JTC_Aluminium Mullion
Walls,Curtain Wall,BLDG 2_External CW-downhung,Rectangular Mullion,,,,,JTC-B2_Left mullion border,,JTC_Aluminium Mullion
Walls,Curtain Wall,BLDG 2_External CW-downhung,Rectangular Mullion,,,,,B2_Transom Downhung,,JTC_Aluminium Mullion
Walls,Curtain Wall,BLDG 2_External CW-downhung,Rectangular Mullion,,,,,BLDG 2_CW_STACKJOINT TOP,,JTC_Aluminium Mullion
Walls,Curtain Wall,BLDG 2_External CW-downhung,Rectangular Mullion,,,,,B2_Mullion_Corner Left,,JTC_Aluminium Mullion
Walls,Curtain Wall,BLDG 2_External CW-downhung,Rectangular Mullion,,,,,B2_Transom Glass to glass,,JTC_Aluminium Mullion
Walls,Curtain Wall,BLDG 2_External CW-downhung,JTC_PEPL_B2_GL1-SPANDREL GLASS,,,,,JTC_PEPL_B2_GL1-SPANDREL GLASS,,
Walls,Curtain Wall,BLDG 2_External CW-downhung,Curtain Wall,,,,,BLDG 2_External CW-downhung,<By Category>,
Walls,Curtain Wall,BLDG 2_External CW-downhung,Rectangular Mullion,,,,,JTC-B2_Right mullion border,,JTC_Aluminium Mullion
Walls,Curtain Wall,BLDG 2_External CW-downhung,Rectangular Mullion,,,,,B2_Mullion_Corner right,,JTC_Aluminium Mullion
Walls,Curtain Wall,BLDG 2_External CW-downhung,JTC_PEPL_Vision Glass 17.5mm,,,,,JTC_PEPL_Vision Glass 17.5mm,,
Walls,Curtain Wall,BLDG 2_Window Strip (WD-2),JTC_PEPL_B2_GL1-LAMINATED GLASS,,,,,JTC_PEPL_B2_GL1-LAMINATED GLASS,,
Walls,Curtain Wall,BLDG 2_Window Strip (WD-2),Rectangular Mullion,,,,,B2_Mullion window type LEFT BORDER,,JTC_Aluminium Mullion
Walls,Curtain Wall,BLDG 2_Window Strip (WD-2),Rectangular Mullion,,,,,B2_Mullion window type RIGHT BORDER,,JTC_Aluminium Mullion
Walls,Curtain Wall,BLDG 2_Window Strip (WD-2),Rectangular Mullion,,,,,B2_Downhung Strip Window Bottom transom with bent cover,,JTC_Aluminium Mullion
Walls,Curtain Wall,BLDG 2_Window Strip (WD-2),Curtain Wall,,,,,BLDG 2_Window Strip (WD-2),<By Category>,
Walls,Curtain Wall,BLDG 2_Window Strip (WD-1),JTC_PEPL_B2_GL1-LAMINATED GLASS,,,,,JTC_PEPL_B2_GL1-LAMINATED GLASS,,
Walls,Curtain Wall,BLDG 2_Window Strip (WD-1),Rectangular Mullion,,,,,B2_Mullion window type LEFT BORDER,,JTC_Aluminium Mullion
Walls,Curtain Wall,BLDG 2_Window Strip (WD-1),Rectangular Mullion,,,,,B2_Mullion window type RIGHT BORDER,,JTC_Aluminium Mullion
Walls,Curtain Wall,BLDG 2_Window Strip (WD-1),Rectangular Mullion,,,,,B2_Window Transom 122X80mm Glass to glass,,JTC_Aluminium Mullion
Walls,Curtain Wall,BLDG 2_Window Strip (WD-1),Curtain Wall,,,,,BLDG 2_Window Strip (WD-1),<By Category>,
Walls,Curtain Wall,BLDG 2_Window Strip (WD-1),Rectangular Mullion,,,,,B2_Mullion window type side border,,JTC_Aluminium Mullion
Walls,Curtain Wall,BLDG 2_Window Strip (WD-1),JTC_PEPL_B2_GL1R-VISION LAMINATED HS GLASS,,,,,JTC_PEPL_B2_GL1R-VISION LAMINATED HS GLASS,,
Walls,Curtain Wall,BLDG 2_Window Strip (WD-2A),JTC_PEPL_B2_GL1-LAMINATED GLASS,,,,,JTC_PEPL_B2_GL1-LAMINATED GLASS,,
