Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Walls,Basic Wall,L166_PLASTER_10mm,Basic Wall,B2010120,Ext. Wall - Precast,10mm THK SKIM COAT,,L166_PLASTER_10mm,L166_Plaster,
Walls,Basic Wall,L166_PLASTER_20mm,Basic Wall,B2010120,Ext. Wall - Precast,20mm THK Plaster,,L166_PLASTER_20mm,L166_Plaster,
Walls,Basic Wall,L166_Wall_150mm ALC PANEL EXT (0-25),Basic Wall,3C:CN60,,150mm THK ALC WALL,,L166_Wall_150mm ALC PANEL EXT (0-25),00_L166_PRECAST WALL,
Walls,Basic Wall,L166_Wall_150mm_ALC PANEL EXT (15-25mm),Basic Wall,03:CN60,,150mm THK ALC WALL,,L166_Wall_150mm_ALC PANEL EXT (15-25mm),00_L166_PRECAST WALL,
Walls,Basic Wall,L166_Wall 3C_150mm(15-95mm),Basic Wall,3C:CN60,,150mm THK PC WALL,,L166_Wall 3C_150mm(15-95mm),00_L166_PRECAST WALL,
Walls,Basic Wall,L166_Wall 3C_150mm(20-95 COAT),Basic Wall,3C:CN60,,150mm THK PC WALL,,L166_Wall 3C_150mm(20-95 COAT),00_L166_PRECAST WALL,
Walls,Basic Wall,L166_Wall 3C_150mm(15-25 COAT),Basic Wall,3C:CN60,,150mm THK PC WALL,,L166_Wall 3C_150mm(15-25 COAT),00_L166_PRECAST WALL,
Walls,Basic Wall,L166_Wall 3C_150mm(15-20 COAT),Basic Wall,3C:CN60,,150mm THK PC WALL,,L166_Wall 3C_150mm(15-20 COAT),00_L166_PRECAST WALL,
Walls,Basic Wall,L166_Wall 3C_150mm(one side 15mm),Basic Wall,3C:CN60,,150mm THK PC WALL,,L166_Wall 3C_150mm(one side 15mm),00_L166_PRECAST WALL,
Walls,Basic Wall,L166_Wall 3C_150mm,Basic Wall,3C:CN60,,150mm THK PC WALL,,L166_Wall 3C_150mm,00_L166_PRECAST WALL,
Walls,Basic Wall,L166_Wall_100mm (0-0 COAT),Basic Wall,3C:CN60,,100mm THK PC WALL,,L166_Wall_100mm (0-0 COAT),00_L166_PRECAST WALL,
Walls,Basic Wall,L166_Wall 3C_150mm(95mm),Basic Wall,3C:CN60,,150mm THK PC WALL,,L166_Wall 3C_150mm(95mm),00_L166_PRECAST WALL,
Walls,Basic Wall,L166_Wall 3C_150mm(20 COAT),Basic Wall,3C:CN60,,150mm THK PC WALL,,L166_Wall 3C_150mm(20 COAT),00_L166_PRECAST WALL,
Walls,Basic Wall,L166_Wall 3C_150mm(no plaster),Basic Wall,3C:CN60,,150mm THK PC WALL,,L166_Wall 3C_150mm(no plaster),00_L166_PRECAST WALL,
Walls,Basic Wall,L166_Wall_100mm (20-15 COAT),Basic Wall,3C:CN60,,100mm THK PC WALL,,L166_Wall_100mm (20-15 COAT),00_L166_PRECAST WALL,
Walls,Basic Wall,L166_Wall_100mm (20-0 COAT),Basic Wall,3C:CN60,,100mm THK PC WALL,,L166_Wall_100mm (20-0 COAT),00_L166_PRECAST WALL,
Walls,Basic Wall,L166_Wall_100mm (15-15 COAT),Basic Wall,3C:CN60,,100mm THK PC WALL,,L166_Wall_100mm (15-15 COAT),00_L166_PRECAST WALL,
Walls,Basic Wall,L166_Wall_100mm (15-0 COAT),Basic Wall,3C:CN60,,100mm THK PC WALL,,L166_Wall_100mm (15-0 COAT),00_L166_PRECAST WALL,
Walls,Basic Wall,L166_PLASTER_25mm,Basic Wall,B2010120,Ext. Wall - Precast,25mm THK Plaster,,L166_PLASTER_25mm,L166_Plaster,
Walls,Basic Wall,L166_PLASTER_15mm,Basic Wall,B2010120,Ext. Wall - Precast,15mm THK Plaster,,L166_PLASTER_15mm,L166_Plaster,
Walls,Basic Wall,L166_TILE_50mm LIFT,Basic Wall,B2010120,Ext. Wall - Precast,1200x600x11mm Ceramic Wall Tiles,,L166_TILE_50mm LIFT,TILES 1200x600x3mmGrout,
Walls,Basic Wall,L166_Tiles_35mm (Staggered),Basic Wall,B2010120,Ext. Wall - Precast,300x600 Polished Porcelain Wall Tiles,,L166_Tiles_35mm (Staggered),Toilet Staggered Tile,
Walls,Basic Wall,L166_TILE_35mm LIFT,Basic Wall,B2010120,Ext. Wall - Precast,1200x600x11mm Ceramic Wall Tiles,,L166_TILE_35mm LIFT,TILES 1200x600x3mmGrout,
Walls,Basic Wall,L166_Wall 3C_150mm(20-95mm),Basic Wall,3C:CN60,,150mm THK PC WALL,,L166_Wall 3C_150mm(20-95mm),00_L166_PRECAST WALL,
Walls,Basic Wall,L166_Plaster_95mm,Basic Wall,B2010120,Ext. Wall - Precast,95mmThk Drywall Lining,,L166_Plaster_95mm,L166_Plaster,
Walls,Basic Wall,L166_Wall 3C_150mm (One Side 25mm Coat),Basic Wall,3C:CN60,,150mm THK PC WALL,,L166_Wall 3C_150mm (One Side 25mm Coat),00_L166_PRECAST WALL,
Walls,Basic Wall,L166_Wall 2D_100mm,Basic Wall,04:MS13,,100mm THK PC WALL,,L166_Wall 2D_100mm,00_L166_BLOCK WALL,
Walls,Basic Wall,L166_Wall 3B_150mm (NO PLASTER),Basic Wall,3C:CN60,,150mm THK PC WALL,,L166_Wall 3B_150mm (NO PLASTER),00_L166_PRECAST WALL,
Walls,Basic Wall,L166_Host,Basic Wall,,,Stainless Steel Strip,,L166_Host,Default,
Walls,Basic Wall,L166_Wall 2C_100mm (No Plaster),Basic Wall,04:MS13,,100mm THK PC WALL,,L166_Wall 2C_100mm (No Plaster),00_L166_BLOCK WALL,
Walls,Basic Wall,L166_Wall 3C_150mm(25-95 COAT),Basic Wall,3C:CN60,,150mm THK PC WALL,,L166_Wall 3C_150mm(25-95 COAT),00_L166_PRECAST WALL,
Walls,Basic Wall,L166_Wall_150mm ALC PANEL EXT (25-25),Basic Wall,3C:CN60,,150mm THK ALC WALL,,L166_Wall_150mm ALC PANEL EXT (25-25),00_L166_PRECAST WALL,
Walls,Basic Wall,L166_Wall_150mm ALC PANEL EXT (0-0),Basic Wall,3C:CN60,,150mm THK ALC WALL,,L166_Wall_150mm ALC PANEL EXT (0-0),00_L166_PRECAST WALL,
Walls,Basic Wall,L166_Wall 3C_150mm(15-25 COAT) 150,Basic Wall,3C:CN60,,150mm THK PC WALL,,L166_Wall 3C_150mm(15-25 COAT) 150,00_L166_PRECAST WALL,
Walls,Basic Wall,L166_Wall_150mm_ALC PANEL EXT (25-15mm),Basic Wall,3C:CN60,,150mm THK PC WALL,,L166_Wall_150mm_ALC PANEL EXT (25-15mm),00_L166_PRECAST WALL,
Walls,Basic Wall,L166_Wall 4C_76.5mm,Basic Wall,04:MS13,,76.5mm THK DRYWALL,,L166_Wall 4C_76.5mm,Default,
Walls,Basic Wall,L166_Wall 3A_150mm(one side coat),Basic Wall,03:CN60,,150mm THK PC WALL,,L166_Wall 3A_150mm(one side coat),00_L166_PRECAST WALL,
Walls,Basic Wall,L166_Toe Plate_10mm,Basic Wall,B2010120,Ext. Wall - Precast,Stainless Steel Strip,,L166_Toe Plate_10mm,L166_Plaster,
Walls,Basic Wall,L166_Plasterboard_12mm,Basic Wall,B2010120,Ext. Wall - Precast,12mm THK PlasterBoard,,L166_Plasterboard_12mm,L166_Plaster,
Walls,Basic Wall,L166_Wall_150mm_ALC PANEL EXT (No Plaster),Basic Wall,3C:CN60,,150mm THK PC WALL,,L166_Wall_150mm_ALC PANEL EXT (No Plaster),00_L166_PRECAST WALL,
Walls,Basic Wall,L166_Wall 2C_100mm,Basic Wall,04:MS13,,100mm THK PC WALL,,L166_Wall 2C_100mm,00_L166_BLOCK WALL,
Walls,Basic Wall,L166_Wall_12mm,Basic Wall,04:MS13,,Toilet Phenolic Cubicle Partition,,L166_Wall_12mm,Paint - White,
Walls,Basic Wall,LCBC_Backsplash 15mm,Basic Wall,B2010120,Ext. Wall - Precast,Simulated Stone- Surface Backsplash,,LCBC_Backsplash 15mm,L166_Plaster,
Walls,Curtain Wall,Curtain Panel_Perforated wall,CurtainPanel,,,,,Clear Panel_3mm,,
Walls,Curtain Wall,Curtain Panel_Perforated wall,Curtain Wall,,,,,Curtain Panel_Perforated wall,<By Category>,
Walls,Curtain Wall,Curtain Panel_Perforated wall,LCBC_Curtain Wall Door,B2030110,Exterior Glazed Doors - Aluminum,Double Leaf Door,,M&E Room,,Metal - Aluminum
Walls,Curtain Wall,Curtain Panel_63mm,LCBC_Curtain Wall Door,B2030110,Exterior Glazed Doors - Aluminum,Double Leaf Door,,M&E Room,,Metal - Aluminum
Walls,Curtain Wall,Curtain Panel_63mm,Curtain Wall,,,,,Curtain Panel_63mm,<By Category>,
Floors,Floor,LCBC_AR_FL_200mm,Floor,,,200mmTHK Cement Sand Screed Topping,,LCBC_AR_FL_200mm,Concrete - Cast In Situ,
Floors,Floor,LCBC_AR_FL_50mm,Floor,,,50mmTHK Cement Sand Screed Topping,,LCBC_AR_FL_50mm,Default,
Floors,Floor,LCBC_AR_FL_50mm STFL,Floor,,,50mmTHK Cement Sand Screed Topping,,LCBC_AR_FL_50mm STFL,Default,
Floors,Floor,LCBC_AR_FL_600mm(Planting Area),Floor,,,600mm Thk Planting,,LCBC_AR_FL_600mm(Planting Area),L166_Plant,
Floors,Floor,LCBC_AR_FL_150mm,Floor,,,150mmTHK Cement Sand Screed Topping,,LCBC_AR_FL_150mm,Concrete - Cast In Situ,
Floors,Floor,LCBC_AR_FL_175mm,Floor,,,175mmTHK Cement Sand Screed Topping,,LCBC_AR_FL_175mm,Default,
Floors,Floor,LCBC_AR_FL_25mm,Floor,,,25mmTHK Cement Sand Screed Topping,,LCBC_AR_FL_25mm,FN-CONC SCREED,
Floors,Floor,LCBC_AR_FL_100mm,Floor,,,100mmTHK Cement Sand Screed Topping,,LCBC_AR_FL_100mm,Concrete - Cast In Situ,
Floors,Floor,LCBC_AR_STFL_100mm,Floor,,,100mmTHK Cement Sand Screed Topping,,LCBC_AR_STFL_100mm,Concrete - Cast In Situ,
Floors,Floor,LCBC_AR_PLINTH,Floor,,,25mmTHK Cement Sand Screed Topping,,LCBC_AR_PLINTH,00_L166_PLINTH,
Floors,Floor,LCBC_AR_STFL_200mm,Floor,,,200mmTHK Cement Sand Screed Topping,,LCBC_AR_STFL_200mm,Concrete - Cast In Situ,
Floors,Floor,LCBC_AR_FL_75mm,Floor,,,75mmTHK Cement Sand Screed Topping,,LCBC_AR_FL_75mm,Glass Fiber Reinforced Gypsum,
Floors,Floor,LCBC_AR_STFL_50mm TL-01,Floor,,,150x600 Timberlook-Alike Floor Tiles,,LCBC_AR_STFL_50mm TL-01,150x600mm TILES staggered,
Floors,Floor,LCBC_AR_FL_20mm,Floor,,,MESH,,LCBC_AR_FL_20mm,FN-CONC SCREED,
Floors,Floor,FINISH_75,Floor,,,MESH,,FINISH_75,Concrete - Cast In Situ,
Floors,Floor,LCBC_AR_FL_5mm MESH,Floor,,,MESH,,LCBC_AR_FL_5mm MESH,Welded Mesh Fence,
Floors,Floor,LCBC_AR_FL_20mm STFL TILES,Floor,,,600x600x9.5mm Unglazed Porcelain Floor Tiles,,LCBC_AR_FL_20mm STFL TILES,TILES 600x600,
Floors,Floor,LCBC_AR_FL_50mm TILES (600x600mm),Floor,,,600x600x9.5mm Unglazed Porcelain Floor Tiles,,LCBC_AR_FL_50mm TILES (600x600mm),Default,
Floors,Floor,LCBC_AR_FL_50mm Strip,Floor,,,MESH,,LCBC_AR_FL_50mm Strip,Default,
Floors,Floor,LCBC_AR_FL_50mm_1200x600,Floor,,,1200x600x11mm Ceramic Floor Tiles,,LCBC_AR_FL_50mm_1200x600,<By Category>,
Floors,Floor,LCBC_AR_FL_50mm_TOILET,Floor,,,300x600 Unglazed Porcelain Floor Tiles,,LCBC_AR_FL_50mm_TOILET,Concrete - Cast In Situ,
Floors,Floor,LCBC_AR_FL_50mm_TOILET 2,Floor,,,600x300 Unglazed Porcelain Floor Tiles,,LCBC_AR_FL_50mm_TOILET 2,Concrete - Cast In Situ,
Floors,Floor,LCBC_AR_FL_15mm (Countertop),Floor,,,Simulated Stone - Surface Countertop,,LCBC_AR_FL_15mm (Countertop),<By Category>,
Floors,Floor,LCBC_AR_FL_390mm (Countertop) 2,Floor,,,Simulated Stone - Surface Countertop,,LCBC_AR_FL_390mm (Countertop) 2,<By Category>,
Generic Models,L166_Tactile1,LCBC_4 Tactile 2,L166_Tactile1,,,Ceramic Tactiles,,LCBC_4 Tactile 2,,<By Category>
Generic Models,,,L166_Exit Sign (not hosted),,,,,,,
Generic Models,,,LCBC_Opening Wall Pipe,,,,,,,
Generic Models,,,LCBC_Opening Wall,,,,,,,
Generic Models,,,LCBC_Opening Floor Pipe,,,,,,,
Generic Models,,,LCBC_Fire_Exit Sign,,,,,,,
Generic Models,,,22FX1,,,,,,,
Generic Models,,,10TA12,,,,,,,
Generic Models,,,10TA82_1,,,,,,,
Generic Models,,,22FX51,,,,,,,
Generic Models,,,22FX45A,,,,,,,
Generic Models,,,22FX5,,,,,,,
Generic Models,,,22FX4,,,,,,,
Generic Models,,,10TA2,,,,,,,
Generic Models,,,22FX11,,,,,,,
Generic Models,Toilet Grating,Toilet Grating,Toilet Grating,,,Toilet Scupper Drain Grating,,Toilet Grating,,
Generic Models,FIXED MIRROR,LCBC_Toilet Mirror,FIXED MIRROR,,,Toilet Mirror,,LCBC_Toilet Mirror,,
Generic Models,,,22FX3,,,,,,,
Generic Models,,,22FX2,,,,,,,
Generic Models,,,10TA81_GB2,,,,,,,
Generic Models,,,10TA13,,,,,,,
Generic Models,,,10TA21,,,,,,,
Generic Models,,,22FX32_New1,,,,,,,
Generic Models,,,22FX81,,,,,,,
Generic Models,,,22FX46,,,,,,,
Generic Models,,,22FX45,,,,,,,
Generic Models,,,10TA83_2,,,,,,,
Generic Models,,,Lavatory Supply,,,,,,,
Doors,LCBC_DD_Door,S1800w x 2100h,LCBC_DD_Door,,,Double Leaf Door,,S1800w x 2100h,,
Doors,LCBC_DD_Door,S1200w x 2100h,LCBC_DD_Door,,,Double Leaf Door,,S1200w x 2100h,,
Doors,LCBC_DD_Door,S1500w x 2100h,LCBC_DD_Door,,,Double Leaf Door,,S1500w x 2100h,,
Doors,LCBC_DD_Door,S1450w x 2100h (2275 S.O.),LCBC_DD_Door,,,Double Leaf Door,,S1450w x 2100h (2275 S.O.),,
Doors,LCBC_DD_Door,S800w x 2500h (2690 SO),LCBC_DD_Door,,,Double Leaf Door,,S800w x 2500h (2690 SO),,
Doors,LCBC_DD_Door,S1000w x 2500h (2690 SO),LCBC_DD_Door,,,Double Leaf Door,,S1000w x 2500h (2690 SO),,
Doors,LCBC_DD_Door,S1150w x 2500h (2690 SO),LCBC_DD_Door,,,Double Leaf Door,,S1150w x 2500h (2690 SO),,
Doors,LCBC_DD_Door,S2500w x 2500h (2590 SO),LCBC_DD_Door,,,Double Leaf Door,,S2500w x 2500h (2590 SO),,
Doors,LCBC_DD_Door,S1800w x 2500h (2690 SO),LCBC_DD_Door,,,Double Leaf Door,,S1800w x 2500h (2690 SO),,
Doors,LCBC_DD_Door,S800w x 2500h,LCBC_DD_Door,,,Double Leaf Door,,S800w x 2500h,,
Doors,LCBC_DD_Door,S1200w x 2500h (2690 SO),LCBC_DD_Door,,,Double Leaf Door,,S1200w x 2500h (2690 SO),,
