Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Walls,Curtain Wall,Curtain Wall_CeramicPanel,JTC_PEPL_Ceramic tile 09-T20,,,,,JTC_PEPL_Ceramic tile 09-T20,,
Walls,Curtain Wall,Curtain Wall_CeramicPanel,Rectangular Mullion,,,,,JTC_PEPL_300mm Ceramic Stack Joint,,JTC_Aluminium Mullion
Walls,Curtain Wall,Curtain Wall_CeramicPanel,Rectangular Mullion,,,,,Tipical Mullion Ceramic infill (300mm),,JTC_Aluminium Mullion
Walls,Curtain Wall,Curtain Wall_CeramicPanel,JTC_PEPL_05 DM1 perforated panel,,,,,JTC_PEPL_05 DM1 perforated panel,,
Walls,Curtain Wall,Curtain Wall_CeramicPanel,Rectangular Mullion,,,,,JTC_PEPL_300mm Glass Stack Joint,,JTC_Aluminium Mullion
Walls,Curtain Wall,Curtain Wall_CeramicPanel,Rectangular Mullion,,,,,Tipical Mullion Ceramic infill (300mm+200mm)_R,,JTC_Aluminium Mullion
Walls,Curtain Wall,Curtain Wall_CeramicPanel,Rectangular Mullion,,,,,Tipical Mullion Ceramic infill (300mm+200mm)_L,,JTC_Aluminium Mullion
Walls,Curtain Wall,Curtain Wall_CeramicPanel,Rectangular Mullion,,,,,vision glass to vision glass _Mullion,,JTC_Aluminium Mullion
Walls,Curtain Wall,Curtain Wall_CeramicPanel,Rectangular Mullion,,,,,FACADE_TRANSOM CERAMIC TO CERAMIC,,JTC_Aluminium Mullion
Walls,Curtain Wall,Curtain Wall_CeramicPanel,Rectangular Mullion,,,,,Tipical Transom -Glass,,JTC_Aluminium Mullion
Walls,Curtain Wall,Curtain Wall_CeramicPanel,System Panel,,,,,05 DM1 PERFORATED,,JTC_alum perforated
Walls,Curtain Wall,Curtain Wall_CeramicPanel,JTC_PEPL_Ceramic tile 09-T20_CORNER,,,,,JTC_PEPL_Ceramic tile 09-T20_CORNER,,
Walls,Curtain Wall,Curtain Wall_CeramicPanel,Rectangular Mullion,,,,,Sloop Mullion-ceramic_Right A,,JTC_Aluminium Mullion
Walls,Curtain Wall,Curtain Wall_CeramicPanel,Rectangular Mullion,,,,,CERAMIC Stack Joint with copping,,JTC_Aluminium Mullion
Walls,Curtain Wall,Curtain Wall_CeramicPanel,Rectangular Mullion,,,,,Glass Stack Joint with copping,,JTC_Aluminium Mullion
Walls,Curtain Wall,Curtain Wall_CeramicPanel,Curtain Wall,,,,,Curtain Wall_CeramicPanel,<By Category>,
Walls,Curtain Wall,Curtain Wall_CeramicPanel,JTC_PEPL_Ceramic tile 09-T20_CORNER 4,,,,,JTC_PEPL_Ceramic tile 09-T20_CORNER 4,,
Walls,Curtain Wall,Curtain Wall_CeramicPanel,System Panel,,,,,09-T20 CERAMIC DEFAULT,,JTC_ceramic_09-T20
