Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Ducts,,,Rectangular Duct,,,,,,,
Ducts,,,Round Duct,,,,,,,
Mechanical Equipment,,,PB_ACMV_Axial Fan with Flex Connector_Horizontal_Non-Hosted (Dual Purpose),,,,,,,
Mechanical Equipment,,,PB_ACMV_Axial Fan_Horizontal_Non-Hosted (Dual Purpose),,,,,,,
Mechanical Equipment,,,PB_ACMV_FCU_Non-Hosted,,,,,,,
Mechanical Equipment,,,PB_ACMV_Axial Fan_Horizontal_Non-Hosted,,,,,,,
Mechanical Equipment,,,PB_ACMV_Axial Fan with Flex Connector_Horizontal_Non-Hosted,,,,,,,
Mechanical Equipment,,,PB_ACMV_Cage Ladder_Non-Hosted,,,,,,,
Duct Accessories,,,PB_ACMV_Silencer Round (Specific Loss),,,,,,,
Duct Accessories,PB_ACMV_Fire Damper_Horizontal_Rectangular (Coefficient),Fire Damper,PB_ACMV_Fire Damper_Horizontal_Rectangular (Coefficient),,,,,Fire Damper,,
Duct Accessories,PB_ACMV_Fire Damper_Horizontal_Rectangular (Coefficient),Volume Control Damper,PB_ACMV_Fire Damper_Horizontal_Rectangular (Coefficient),,,,,Volume Control Damper,,
Duct Accessories,PB_ACMV_Fire Damper_Horizontal_Rectangular (Specific Loss),230V Motorised Damper (N/C),PB_ACMV_Fire Damper_Horizontal_Rectangular (Specific Loss),,,,,230V Motorised Damper (N/C),,
Duct Accessories,PB_ACMV_Fire Damper_Horizontal_Rectangular (Specific Loss),230V Motorised Damper (N/O),PB_ACMV_Fire Damper_Horizontal_Rectangular (Specific Loss),,,,,230V Motorised Damper (N/O),,
Duct Accessories,PB_ACMV_Fire Damper_Horizontal_Rectangular (Specific Loss),230V Non-Return Damper (N/O),PB_ACMV_Fire Damper_Horizontal_Rectangular (Specific Loss),,,,,230V Non-Return Damper (N/O),,
Duct Accessories,PB_ACMV_Fire Damper_Horizontal_Round (Specific Loss),Motorised Damper (N/O),PB_ACMV_Fire Damper_Horizontal_Round (Specific Loss),,,,,Motorised Damper (N/O),,
Duct Accessories,PB_ACMV_Fire Damper_Horizontal_Round (Specific Loss),Motorised Damper (N/C),PB_ACMV_Fire Damper_Horizontal_Round (Specific Loss),,,,,Motorised Damper (N/C),,
Duct Accessories,,,PB_ACMV_Rubber Expansion Joint,,,,,,,
Duct Accessories,,,PB_ACMV_Silencer Rectangular (Specific Loss),,,,,,,
Duct Accessories,,,Box Up,,,,,,,
Duct Accessories,,,Box Up1,,,,,,,
Duct Accessories,,,Box Up2,,,,,,,
Duct Accessories,,,Box Up3,,,,,,,
Duct Accessories,,,hanger rod48,,,,,,,
Duct Accessories,,,hanger rod52,,,,,,,
Duct Accessories,,,hanger rod54,,,,,,,
Duct Accessories,,,hanger rod63,,,,,,,
Duct Accessories,,,hanger rod71,,,,,,,
Duct Accessories,,,hanger rod72,,,,,,,
Duct Fittings,,,PB_ACMV_Round Transition - Angle,,,,,,,
Duct Fittings,,,M_Round to Rectangular Transition - Length,,,,,,,
Duct Fittings,,,PB_ACMV_Rectangular Endcap,,,,,,,
Duct Fittings,,,PB_ACMV_Rectangular Elbow - Radius,,,,,,,
Duct Fittings,,,PB_ACMV_Rectangular to Round Transition - Angle,,,,,,,
Duct Fittings,,,PB_ACMV_Rectangular Transition - Angle,,,,,,,
Duct Fittings,,,PB_ACMV_Rectangular Eccentric Tap,,,,,,,
Duct Fittings,,,PB_ACMV_Rectangular_Splitter with Diff Size,,,,,,,
Duct Fittings,,,PB_ACMV_Round Endcap,,,,,,,
Duct Fittings,,,PB_ACMV_Round Elbow,,,,,,,
Duct Fittings,,,PB_ACMV_Rectangular Union,,,,,,,
Duct Fittings,,,PB_ACMV_Rectangular Elbow - Mitered,,,,,,,
Duct Fittings,,,PB_ACMV_Round Takeoff,,,,,,,
Duct Fittings,,,PB_ACMV_Round Union,,,,,,,
Duct Fittings,,,PB_ACMV_Rectangular Tee,,,,,,,
Duct Fittings,,,M_Round Transition - Length,,,,,,,
Pipes,,,Pipe Types,,,,,,,
Air Terminals,,,PB_ACMV_Return Grille_Horizontal_Non-Hosted,,,,,,,
Air Terminals,,,PB_ACMV_Supply Grille_Vertical_Non-Hosted,,,,,,,
Air Terminals,,,PB_ACMV_Exhaust Grille_Horizontal_Non-Hosted,,,,,,,
Air Terminals,,,PB_ACMV_Supply Grille_Horizontal_Non-Hosted,,,,,,,
Air Terminals,,,PB_ACMV_Transfer Grille_Vertical_Non-Hosted,,,,,,,
Air Terminals,,,PB_ACMV_Supply Grille_Wall Recessed,,,,,,,
Air Terminals,,,PB_ACMV_Outlet Wire Mesh_Vertical_Non-Hosted,,,,,,,
Air Terminals,,,PB_ACMV_Exhaust Grille_Vertical_Non-Hosted,,,,,,,
Air Terminals,,,PB_ACMV_Inlet Wire Mesh_Vertical_Non-Hosted,,,,,,,
Data Devices,PB_ACMV_Room Thermostat_Wall Recessed,Thermostat,PB_ACMV_Room Thermostat_Wall Recessed,,,,,Thermostat,,Plastic - White
Pipe Fittings,,,PB_ACMV_Generic_Equal Tee,,,,,,,
Pipe Fittings,,,PB_ACMV_Generic_End Cap,,,,,,,
Pipe Fittings,,,PB_ACMV_Generic_Elbow,,,,,,,
Pipe Fittings,,,PB_ACMV_Flanged_Elbow,,,,,,,
Pipe Fittings,,,PB_ACMV_Flange,,,,,,,
Pipe Fittings,,,PB_Flanged_Reduce Tee,,,,,,,
Pipe Fittings,,,PB_ACMV_Flanged_Equal Tee,,,,,,,
Pipe Fittings,,,PB_ACMV_Flanged_Adaptor,,,,,,,
Pipe Fittings,,,PB_ACMV_Generic_Reducer,,,,,,,
Pipe Fittings,,,PB_ACMV_Flanged_End Cap,,,,,,,
Pipe Fittings,,,PB_ACMV_Generic_Union,,,,,,,
Pipe Fittings,,,PB_ACMV_Flanged_Reducer,,,,,,,
Electrical Equipment,,,PB_ACMV_Three Phase Panel_Non-Hosted,,,,,,,
Electrical Equipment,,,PB_ACMV_Three Phase Panel_Wall Mounted,,,,,,,
Electrical Equipment,,,PB_ACMV_Single Phase Panel_Wall Mounted,,,,,,,
Pipe Accessories,,,PB_ACMV_British Thermal Unit_Threaded_15-65mm,,,,,,,
Pipe Accessories,,,PB_ACMV_British Thermal Unit_Flanged_65-300mm,,,,,,,
Pipe Accessories,,,PB_ACMV_Butterfly Valve_Flanged_65-300mm,,,,,,,
Pipe Accessories,,,PB_ACMV_Modulating Pressure Independent Control Valve_Flaged_50-400mm,,,,,,,
Pipe Accessories,ACMV-Gate Valve - 20-300 mm,50 mm,ACMV-Gate Valve - 20-300 mm,,,,,50 mm,,
Pipe Accessories,ACMV-Gate Valve - 20-300 mm,40 mm 2,ACMV-Gate Valve - 20-300 mm,,,,,40 mm 2,,
Pipe Accessories,ACMV Temperature Sensor,ACMV Temperature Sensor,ACMV Temperature Sensor,,,,,ACMV Temperature Sensor,,
Pipe Accessories,,,ACMV Ball Valve,,,,,,,
Pipe Accessories,ACMV Balancing Valve - Flanged (DRV),Dia 300mm,ACMV Balancing Valve - Flanged (DRV),,,"Balancing valve with flanges according to DIN, PN 16",,Dia 300mm,,
Pipe Accessories,ACMV Balancing Valve - Flanged (DRV),Dia 80mm 2,ACMV Balancing Valve - Flanged (DRV),,,"Balancing valve with flanges according to DIN, PN 16",,Dia 80mm 2,,
Pipe Accessories,ACMV Balancing Valve - Flanged (DRV),Dia 65mm 2,ACMV Balancing Valve - Flanged (DRV),,,"Balancing valve with flanges according to DIN, PN 16",,Dia 65mm 2,,
Generic Models,,,ACMV Slab Opening,,,,,,,
Generic Models,,,ACMV Slab Opening_circle,,,,,,,
Generic Models,,,ACMV Wall Opening,,,,,,,
Generic Models,,,ACMV Wall Opening - Circular1,,,,,,,
Casework,PB_ME_Plinth_Non-Hosted,Plinth,PB_ME_Plinth_Non-Hosted,,,,,Plinth,,
Cable Trays,,,Cable Tray with Fittings,,,,,,,
Cable Tray Fittings,,,Cable Tray Vertical Outside Bend,,,,,,,
Cable Tray Fittings,,,Cable Tray Horizontal Bend,,,,,,,
Cable Tray Fittings,,,Cable Tray Horizontal Tee,,,,,,,
Cable Tray Fittings,,,Cable Tray Vertical Inside Bend,,,,,,,
Specialty Equipment,,,Steel C Channel - Vertical(65X100),,,,,,,
Specialty Equipment,,,Steel C Channel,,,,,,,
Specialty Equipment,,,Steel Base Plate (250x250x12mm),,,,,,,
Specialty Equipment,,,Steel C Channel (100X65),,,,,,,
Specialty Equipment,,,Belt Support - Dia 700,,,,,,,
Specialty Equipment,,,Steel Beam-EDITED,,,,,,,
Specialty Equipment,,,Steel Beam,,,,,,,
