Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Structural Framing,LCBC_Universal Beams,UB457x191x67,LCBC_Universal Beams,,,,,UB457x191x67,Metal - Steel - 345 MPa,
Structural Framing,LCBC_Universal Beams,UB254x146x31,LCBC_Universal Beams,,,,,UB254x146x31,Metal - Steel - 345 MPa,
Structural Framing,LCBC_Universal Beams,UB203x133x25,LCBC_Universal Beams,,,,,UB203x133x25,Metal - Steel - 345 MPa,
Structural Framing,LCBC_Rectangular and Square Hollow Sections1,RHS250x65x6,LCBC_Rectangular and Square Hollow Sections1,,,,,RHS250x65x6,Metal - Steel - 345 MPa,
Structural Framing,LCBC_Rectangular and Square Hollow Sections,RHS200x200x6,LCBC_Rectangular and Square Hollow Sections,,,,,RHS200x200x6,Metal - Steel - 345 MPa,
Structural Framing,LCBC_Rectangular and Square Hollow Sections,SHS300x300x12,LCBC_Rectangular and Square Hollow Sections,,,,A,SHS300x300x12,Metal - Steel - 345 MPa,
Structural Framing,LCBC_Rectangular and Square Hollow Sections,SHS100x100x6,LCBC_Rectangular and Square Hollow Sections,,,,C,SHS100x100x6,Metal - Steel - 345 MPa,
Structural Framing,LCBC_Rectangular and Square Hollow Sections,RHS250x150x10,LCBC_Rectangular and Square Hollow Sections,,,,B,RHS250x150x10,Metal - Steel - 345 MPa,
Structural Framing,I-Beams,I150x150x31,I-Beams,,,,,I150x150x31,Metal - Steel - 345 MPa,
Structural Framing,I-Beams,I100x100x14.8,I-Beams,,,,,I100x100x14.8,Metal - Steel - 345 MPa,
Structural Framing,I-Beams,I100x100x8,I-Beams,,,,,I100x100x8,Metal - Steel - 345 MPa,
Structural Columns,LCBC_UC-Universal Columns-Column,UC254x254x73,LCBC_UC-Universal Columns-Column,,,,,UC254x254x73,Metal - Steel - 345 MPa,
Structural Columns,LCBC_BMU_Frame,LCBC_BMU_Frame,LCBC_BMU_Frame,,,,,LCBC_BMU_Frame,PAINT-WHITE,
Structural Columns,LCBC_BMU_Frame,LCBC_BMU_Frame,LCBC_BMU_Frame,,,,,LCBC_BMU_Frame,<By Category>,
Structural Columns,LCBC_BMU_Frame Top Frame,LCBC_BMU_Frame Top Frame,LCBC_BMU_Frame Top Frame,,,,,LCBC_BMU_Frame Top Frame,<By Category>,
Structural Columns,LCBC_RHS and SHS-Column,SHS300x300x12,LCBC_RHS and SHS-Column,,,,,SHS300x300x12,Metal - Steel - 345 MPa,
Structural Columns,LCBC_RHS and SHS-Column,SHS150x150x6,LCBC_RHS and SHS-Column,,,,,SHS150x150x6,Metal - Steel - 345 MPa,
