Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Pipes,,,Pipe Types,,,,,,,
Pipe Fittings,,,M_Elbow Reducing - Threaded - MI - Class 1.(15-20),,,,,,,
Pipe Fittings,,,M_Elbow Reducing - Threaded - MI - Class 1,,,,,,,
Pipe Fittings,,,PB_PS_Generic_Elbow,,,,,,,
Pipe Fittings,,,PB_PS_Flanged_Elbow,,,,,,,
Pipe Fittings,,,PB_PS_Flange,,,,,,,
Pipe Fittings,,,PB_PS_Flanged_Equal Tee,,,,,,,
Pipe Fittings,,,M_Tee Reducing - Flanged - GI - Class 125,,,,,,,
Pipe Fittings,,,PB_PS_Flanged_Reducer,,,,,,,
Pipe Fittings,,,PB_PS_Generic_Equal Tee,,,,,,,
Pipe Fittings,,,M_Tee Reducing - Flanged - GI - Class 1,,,,,,,
Pipe Fittings,,,M_Tee Reducing Sanitary - PVC - Sch 40 - DWV(CAST IRON),,,,,,,
Pipe Fittings,,,M_Tee Reducing - Threaded - MI - Class 1,,,,,,,
Pipe Fittings,,,PB_PS_Generic_End Cap,,,,,,,
Pipe Fittings,,,PB_PS_Generic_Reducer,,,,,,,
Pipe Fittings,,,PB_PS_Flanged_Adaptor,,,,,,,
Pipe Fittings,,,M_Tee - PVC - Sch 40,,,,,,,
Pipe Fittings,,,M_Elbow - PVC - Sch 40(cast iron),,,,,,,
Pipe Fittings,,,M_Elbow - PVC - Sch 40(Upvc),,,,,,,
Pipe Fittings,,,M_Tee Reducing Sanitary - PVC - Sch 40 - DWV,,,,,,,
Pipe Fittings,,,PB_PS_Flanged_End Cap,,,,,,,
Pipe Fittings,,,M_Coupling Concentric Reducing - Threaded - MI - Class 1(copper),,,,,,,
Pipe Fittings,,,PB_DI-PN16_Flanged_Bend,,,,,,,
Pipe Fittings,,,PB_DI-PN16_Flange,,,,,,,
Pipe Fittings,,,M_Reducer - PVC - Sch 40 - DWV,,,,,,,
Pipe Fittings,,,M_Elbow - Flanged - CS - Class 150,,,,,,,
Pipe Fittings,,,M_Elbow - Threaded - MI - Class 1(copper),,,,,,,
Pipe Fittings,,,M_Coupling Concentric Reducing - Threaded - MI - Class 1,,,,,,,
Pipe Fittings,,,M_Coupling Concentric Reducing - Threaded - MI - Class 1(API),,,,,,,
Pipe Fittings,,,PB_PS_Generic_Union,,,,,,,
Pipe Fittings,,,PB_DI-PN16_Flanged_Tee,,,,,,,
Pipe Fittings,,,M_Tee Reducing - Threaded - MI - Class 150,,,,,,,
Pipe Fittings,,,M_Tee Reducing Sanitary - PVC - Sch 40 - DWV1,,,,,,,
Pipe Fittings,,,M_Cap - Welded - Generic1,,,,,,,
Pipe Fittings,,,P&S_Vent Cowl,,,,,,,
Pipe Fittings,,,M_Elbow - PVC - Sch 40,,,,,,,
Pipe Fittings,,,PB_DI-PN16_Flanged_Union,,,,,,,
Pipe Fittings,,,M_Coupling - Threaded - MI - Class 150,,,,,,,
Pipe Fittings,,,M_Reducer - PVC - Sch 40 - DWV(upvc),,,,,,,
